Species	Status	min_age	max_age
Prozaedius_impressus	extinct	23.03	27.82
Prozaedius_planus	extinct	23.03	27.82
Prozaedyus	extinct	23.03	33.9
Prozaedyus aff. impressus	extinct	23.03	27.82
Prozaedyus aff. impressus	extinct	23.03	27.82
Prozaedyus aff. impressus	extinct	23.03	27.82
Stenotatus	extinct	23.03	27.82
Stenotatus	extinct	27.82	33.9
Stenotatus	extinct	23.03	27.82
Stenotatus	extinct	23.03	27.82
Stenotatus	extinct	23.03	27.82
Stenotatus	extinct	23.03	27.82
Stenotatus aff. nornatus	extinct	23.03	27.82
Stenotatus ornatus	extinct	23.03	27.82
Clypeotherium	extinct	23.03	27.82
Glyptatelus_tatusinus	extinct	23.03	27.82
? Eocoleophorus_glyptodontoides	extinct	37.71	47.8
Clypeotherium_magnum	extinct	23.03	27.82
Glyptatelus	extinct	23.03	27.82
Glyptatelus	extinct	23.03	27.82
Glyptatelus	extinct	23.03	27.82
Glyptatelus_fractus	extinct	37.71	47.8
Lomaphorelus_depstus	extinct	37.71	47.8
Palaeopeltis_inornatus	extinct	23.03	27.82
Palaeopeltis_inornatus	extinct	23.03	27.82
Palaeopeltis_inornatus	extinct	23.03	27.82
Palaeopeltis_inornatus	extinct	23.03	27.82
Vassallia	extinct	23.03	27.82
Peltephilus	extinct	23.03	27.82
Peltephilus	extinct	23.03	27.82
Peltephilus	extinct	23.03	27.82
Peltephilus	extinct	23.03	27.82
Peltephilus_undulatus	extinct	23.03	33.9
Peltephilus_undulatus	extinct	23.03	27.82
Peltephilus_undulatus	extinct	23.03	27.82
Ronwolffia_pacifica	extinct	23.03	27.82
Proeocoleophorus_carlinii	extinct	37.71	47.8
Saltatherium_rosaurae	extinct	40	46
Yuruatherium_tropicalis	extinct	27.82	33.9
cf. Yuruatherium	extinct	27.82	33.9
Noatherium_emilioi	extinct	47.8	56
Gaylordia_macrocynodonta	extinct	48.6	55.8
Gaylordia_macrocynodonta	extinct	48.6	55.8
Gaylordia_mater	extinct	48.6	55.8
Woodburnodon	extinct	47.8	56
Acdestodon_bonapartei	extinct	23.03	27.82
Acdestoides_praecursor	extinct	23.03	27.82
Antawallathentes	extinct	23.03	27.82
Antawallathentes_illimani	extinct	23.03	27.82
Carlothentes_chubutensis	extinct	23.03	27.82
Carlothentes_chubutensis	extinct	23.03	27.82
Palaeothentes_boliviensis	extinct	23.03	27.82
Palaeothentes_boliviensis	extinct	23.03	27.82
Palaeothentes_boliviensis	extinct	23.03	27.82
Palaeothentes_marshalli	extinct	28.1	33.9
Palaeothentes_migueli	extinct	28.1	33.9
Parabderites_minusculus	extinct	23.03	27.82
Sasawatsu	extinct	37.71	47.8
Sasawatsu_mahaynaq	extinct	28.1	37.71
Trelewthentes_rothi	extinct	28.1	33.9
Bardalestes	extinct	47.8	56
Bardalestes_hunco	extinct	47	47.8
Evolestes	extinct	28.1	33.9
Evolestes_hadrommatos	extinct	23.03	27.82
Evolestes_hadrommatos	extinct	23.03	27.82
Riolestes_capricornicus	extinct	47.8	56
Klohnia_charrieri	extinct	28.4	33.9
Klohnia_charrieri	extinct	28.4	33.9
Klohnia_major	extinct	27.82	33.9
Klohnia_major	extinct	27.82	33.9
Proargyrolagus	extinct	28.4	33.9
Proargyrolagus	extinct	33.9	37.2
Proargyrolagus	extinct	33.9	37.2
Proargyrolagus	extinct	33.9	37.2
Proargyrolagus_bolivianus	extinct	23.03	27.82
Proargyrolagus_bolivianus	extinct	23.03	27.82
Proargyrolagus_bolivianus	extinct	23.03	27.82
Bonapartherium	extinct	47.8	56
Bonapartherium_serrensis	extinct	33.9	37.71
Epidolops	extinct	47.8	56
Epidolops_ameghinoi	extinct	48.6	55.8
Epidolops_ameghinoi	extinct	48.6	55.8
Amphidolops	extinct	41.3	47.8
Amphidolops	extinct	47.8	56
Amphidolops	extinct	38	41.2
Amphidolops_intermedius	extinct	41.3	47.8
Amphidolops_intermedius	extinct	47.8	56
Amphidolops_minimus	extinct	47.8	56
Amphidolops_serrula	extinct	38	41.2
Amphidolops_serrula	extinct	48	50
Amphidolops_serrula	extinct	38	41.2
Amphidolops_serrula	extinct	48	50
Amphidolops_serrula	extinct	48	50
Amphidolops_serrula	extinct	38	41.2
Amphidolops_serrula	extinct	48	50
Eudolops_tetragonus	extinct	38	41.2
Eudolops_tetragonus	extinct	38	41.2
Eudolops_tetragonus	extinct	38	41.2
Eudolops_tetragonus	extinct	38	41.2
Eudolops_tetragonus	extinct	48	50
Eudolops_tetragonus	extinct	48	50
Eudolops_tetragonus	extinct	38	41.2
Eudolops_tetragonus	extinct	38	41.2
Eudolops_tetragonus	extinct	48	50
Hypodolops_sapoensis	extinct	41.3	47.8
Hypodolops_sapoensis	extinct	41.3	47.8
Hypodolops_sapoensis	extinct	47.8	56
Hypodolops_sapoensis	extinct	47.8	56
Kramadolops_abanicoi	extinct	28.4	33.9
Kramadolops_fissuratus	extinct	27.82	33.9
Kramadolops_hernandezi	extinct	48	50
Kramadolops_maximus	extinct	28.1	33.9
Kramadolops_mayoi	extinct	28.4	33.9
Kramadolops_mayoi	extinct	37.71	47.8
Kramadolops_mayoi	extinct	37.71	47.8
Kramadolops_mayoi	extinct	37.71	47.8
Kramadolops_mckennai	extinct	28.4	33.9
Pliodolops_kamektsen	extinct	47.8	56
Pliodolops_primulus	extinct	38	41.2
Pliodolops_rothi	extinct	41.3	47.8
Pliodolops_rothi	extinct	37.71	55.8
Pliodolops_rothi	extinct	47.8	56
Pliodolops_winecage	extinct	47.8	56
Polydolops	extinct	47.8	56
Polydolops	extinct	41.3	47.8
Polydolops	extinct	23.03	27.82
Polydolops_clavulus	extinct	47.8	56
Polydolops_clavulus	extinct	48	50
Polydolops_crassus	extinct	38	41.2
Polydolops_serra	extinct	38	41.2
Polydolops_serra	extinct	38	41.2
Polydolops_serra	extinct	41.3	47.8
Polydolops_serra	extinct	41.3	47.8
Polydolops_serra	extinct	48	50
Polydolops_serra	extinct	48	50
Polydolops_serra	extinct	38	41.2
Polydolops_serra	extinct	48	50
Polydolops_thomasi	extinct	38	41.2
Polydolops_thomasi	extinct	38	41.2
Polydolops_thomasi	extinct	38	41.2
Polydolops_thomasi	extinct	41.3	47.8
Polydolops_thomasi	extinct	48	50
Polydolops_thomasi	extinct	38	41.2
Polydolops_thomasi	extinct	48	50
Polydolops_thomasi	extinct	48	50
Polydolops_thomasi	extinct	38	41.2
Polydolops_thomasi	extinct	41.3	47.8
Polydolops_thomasi	extinct	41.3	47.8
Polydolops_thomasi	extinct	38	41.2
Polydolops_thomasi	extinct	38	41.2
Polydolops_thomasi	extinct	48	50
Polydolops_thomasi	extinct	48	50
Polydolops_thomasi	extinct	38	41.2
Polydolops_thomasi	extinct	37.71	47.8
Polydolops_thomasi	extinct	37.71	47.8
Polydolops_unicus	extinct	41.3	47.8
Polydolops_unicus	extinct	47.8	56
Pseudolops_princeps	extinct	38	41.2
Coloradolops_cardonensis	extinct	41.3	47.8
Incadolops_ucayali	extinct	28.1	37.71
Prepidolops	extinct	47.8	56
Prepidolops_molinai	extinct	41.3	47.8
Punadolops_alonsoi	extinct	33.9	37.71
Punadolops_alonsoi	extinct	33.9	37.71
Punadolops_alonsoi	extinct	41.3	47.8
Wamradolops	extinct	37.71	47.8
Wamradolops	extinct	37.71	47.8
Wamradolops	extinct	37.71	47.8
Wamradolops	extinct	37.71	47.8
Wamradolops	extinct	37.71	47.8
Wamradolops_tsullodon	extinct	28.1	37.71
Branisella boliviana	extinct	23.03	27.82
Branisella boliviana	extinct	23.03	27.82
Branisella boliviana	extinct	23.03	27.82
Branisella boliviana	extinct	23.03	27.82
Canaanimico amazonensis	extinct	23.03	27.82
Ucayalipithecus perdita	extinct	27.2	31.1
Perupithecus ucayaliensis	extinct	27.2	31.1
Hondonadia	extinct	27.82	33.9
Hondonadia	extinct	27.82	33.9
Hondonadia_parca	extinct	28.1	33.9
Hondonadia_pittmanae	extinct	28.1	37.71
Hondonadia_praecipitia	extinct	27.82	33.9
Hondonadia_pumila	extinct	28.1	33.9
Hondonadia_pumila	extinct	27.82	33.9
Pascualdelphys_fierroensis	extinct	28.4	33.9
Rosendolops	extinct	27.82	33.9
Rosendolops_ebaios	extinct	28.1	33.9
Rosendolops_ebaios	extinct	27.82	33.9
Rosendolops_primigenium	extinct	38	41.2
Rosendolops_primigenium	extinct	48	50
Coona_gaudryi	extinct	38	41.2
Coona_gaudryi	extinct	38	41.2
Coona_gutierrezi	extinct	48	50
Coona_pattersoni	extinct	48	50
Derorhynchus	extinct	47.8	56
Derorhynchus	extinct	47.8	56
