Species	Status
Adianthus	extinct
Adiantoides	extinct
Amilnedwardsia	extinct
Anisolambda	extinct
Anisolophus	extinct
Asmithwoodwardia	extinct
Bounodus	extinct
Brachytherium	extinct
Coniopternium	extinct
Cramauchenia	extinct
Cullinia	extinct
Deuterotherium	extinct
Didolodus	extinct
Diplasiotherium	extinct
Eoauchenia	extinct
Eolicaphrium	extinct
Epecuenia	extinct
Ernestohaeckelia	extinct
Ernestokokenia	extinct
Escribania	extinct
Guilielmofloweria	extinct
Heteroglyphis	extinct
Huayqueriana	extinct
Indalecia	extinct
Lambdaconus	extinct
Lamegoia	extinct
Licaphrium	extinct
Licaphrops	extinct
Llullataruca	extinct
Macrauchenia	extinct
Macraucheniopsis	extinct
Macrauchenopsis	extinct
Megadolodus	extinct
Mesolicaphrium	extinct
Miguelsoria	extinct
Neobrachytherium	extinct
Neodolodus	extinct
Neolicaphrium	extinct
Notodiaphorus	extinct
Notonychops	extinct
Olisanophus	extinct
Oxyodontherium	extinct
Paramacrauchenia	extinct
Paranauchenia	extinct
Paranisolambda	extinct
Paulogervaisia	extinct
Phoenixauchenia	extinct
Phoradiadius	extinct
Picturotherium	extinct
Polyacrodon	extinct
Polymorphis	extinct
Proadiantus	extinct
Proectocion	extinct
Proheptaconus	extinct
Prolicaphrium	extinct
Promacrauchenia	extinct
Proterotherium	extinct
Protheosodon	extinct
Prothoatherium	extinct
Protolipterna	extinct
Pseudobrachytherium	extinct
Pseudomacrauchenia	extinct
Pternoconius	extinct
Raulvaccia	extinct
Requisia	extinct
Ricardocifellia	extinct
Ricardolydekkeria	extinct
Rutimeyeria	extinct
Salladolodus	extinct
Saltaodus	extinct
Scalabrinitherium	extinct
Sparnotheriodon	extinct
Tetramerorhinus	extinct
Thadanius	extinct
Theosodon	extinct
Thoatheriopsis	extinct
Thoatherium	extinct
Tricoelodus	extinct
Umayodus	extinct
Victorlemoineia	extinct
Villarroelia	extinct
Wainka	extinct
Windhausenia	extinct
Xenorhinotherium	extinct
Xesmodon	extinct
