Species	Status	min_age	max_age
Apeirodon	extinct	33.9	37.71
Austropediomys	extinct	47.8	56
Bobbschaefferia	extinct	47.8	56
Bobbschaefferia	extinct	47.8	56
Carolozittelia	extinct	38	47.8
Chulpasia	extinct	47.8	59.2
Cocatherium	extinct	61.6	66
Epiklohnia	extinct	28.1	33.9
Eutrochodon	extinct	33.9	37.71
Fieratherium	extinct	23.03	27.82
Florentinoameghinia	extinct	41.3	47.8
Florentinoameghinia	extinct	37.71	47.8
Gashternia	extinct	47.8	56
Gashternia	extinct	47.8	56
Gashternia	extinct	41.3	47.8
Gashternia	extinct	47.8	56
Groeberia	extinct	37.71	47.8
Lophiodolodus	extinct	15.97	23.03
Marmosopsis	extinct	41.3	47.8
Marmosopsis	extinct	47.8	56
Marmosopsis	extinct	47.8	56
Monodelphopsis	extinct	47.8	56
Monodelphopsis	extinct	47.8	56
Palaeocladosictis	extinct	47.8	56
Palangania	extinct	41.3	47.8
Palangania	extinct	47.8	56
Palangania	extinct	47.8	56
Patagonia	extinct	15.97	23.03
Picunia	extinct	33.9	37.71
Plagiocoelus	extinct	15.97	23.03
Praedens	extinct	27.82	33.9
Trilobodon	extinct	33.9	37.71
Wirunodon	extinct	28.1	37.71
Zeusdelphys	extinct	47.8	56
Coona	extinct	38	41.2
Coona	extinct	37.71	47.8
Derorhynchus	extinct	47.8	56
Derorhynchus	extinct	61.6	66
Derorhynchus	extinct	47.8	56
Diogenesia	extinct	47.8	56
Pauladelphys	extinct	41.3	47.8
Pauladelphys	extinct	47.8	56
Periakros	extinct	27.82	33.9
Reigia	extinct	33.9	37.71
Rumiodon	extinct	37.71	47.8
Rumiodon	extinct	28.1	37.71
Jaskhadelphys	extinct	61.6	66
Kiruwamaq	extinct	28.1	37.71
Minusculodelphis	extinct	47.8	56
Canchadelphys	extinct	27.82	33.9
Caroloameghinia	extinct	38	41.2
Caroloameghinia	extinct	37.71	47.8
Peradectes	extinct	61.6	66
Peradectes	extinct	47.8	59.2
Procaroloameghinia	extinct	47.8	56
Procaroloameghinia	extinct	47.8	56
Bergqvistherium	extinct	47.8	56
Carolocoutoia	extinct	47.8	56
Guggenheimia	extinct	47.8	56
Guggenheimia	extinct	47.8	56
Periprotodidelphis	extinct	47.8	56
Protodidelphis	extinct	41.3	47.8
Protodidelphis	extinct	47.8	56
Protodidelphis	extinct	47.8	56
Andinodelphys	extinct	61.6	66
Mayulestes	extinct	61.6	66
Pucadelphys	extinct	61.6	66
Sillustania	extinct	47.8	59.2
Eobrasilia	extinct	47.8	56
Carolopaulacoutoia	extinct	47.8	56
Carolopaulacoutoia	extinct	47.8	56
Didelphopsis	extinct	61.6	66
Didelphopsis	extinct	47.8	56
Didelphopsis	extinct	47.8	56
Itaboraidelphys	extinct	47.8	56
Itaboraidelphys	extinct	47.8	56
Eulamaops	extinct	0.0117	2.58
Hemiauchenia	extinct	0.0117	2.58
Hemiauchenia	extinct	0.0117	2.58
Hemiauchenia	extinct	0.0117	2.58
Hemiauchenia	extinct	3.6	5.333
Hemiauchenia	extinct	0.0117	2.58
Hemiauchenia	extinct	0.0117	0.7774
Hemiauchenia	extinct	0.0117	2.58
Hemiauchenia	extinct	0.0117	2.58
Hemiauchenia	extinct	0.781	1.06
Hemiauchenia	extinct	0.0117	2.58
Lama	extant	0.0117	2.58
Lama	extant	0	0.0117
Lama	extant	0.0117	2.58
Lama	extant	2.58	3.6
Lama	extant	3.6	5.333
Lama	extant	0.0117	2.58
Lama	extant	0	0.0117
Lama	extant	0	0.126
Lama	extant	0.0117	2.58
Lama	extant	0.781	1.06
Lama	extant	0.0117	2.58
Lama	extant	0	0.126
Lama	extant	0	0.0117
Lama	extant	0.0117	2.58
Lama	extant	0.0117	2.58
Lama	extant	0.0117	2.58
Lama	extant	0.0117	2.58
Palaeolama	extinct	0.0117	2.58
Palaeolama	extinct	0.0117	2.58
Palaeolama	extinct	0.0117	2.58
Palaeolama	extinct	0.0117	2.58
Palaeolama	extinct	0.781	1.06
Palaeolama	extinct	0.0117	2.58
Palaeolama	extinct	0.0117	2.58
Palaeolama	extinct	0.0117	2.58
Palaeolama	extinct	0	2.58
Palaeolama	extinct	0.0117	2.58
Palaeolama	extinct	0.781	3.6
