Species	Status
Abothrodon	extinct
Acamana	extinct
Acoelodus	extinct
Acoelohyrax	extinct
Adianthus	extinct
Adiantoides	extinct
Adinotherium	extinct
Albertogaudrya	extinct
Alitoxodon	extinct
Allalmeia	extinct
Altitypotherium	extinct
Amilnedwardsia	extinct
Anayatherium	extinct
Ancylocoelus	extinct
Anisolambda	extinct
Anisolophus	extinct
Anisotemnus	extinct
Antepithecus	extinct
Antofagastia	extinct
Archaeogaia	extinct
Archaeohyrax	extinct
Archaeophylus	extinct
Archaeopithecus	extinct
Archaeoplus	extinct
Archaeotypotherium	extinct
Argyrohippus	extinct
Argyrohyrax	extinct
Asmithwoodwardia	extinct
Asmodeus	extinct
Astraponotus	extinct
Astrapothericulus	extinct
Astrapotherium	extinct
Baguatherium	extinct
Berroia	extinct
Boleatherium	extinct
Boreastylops	extinct
Bounodus	extinct
Brachystephanus	extinct
Brachytherium	extinct
Brucemacfaddenia	extinct
Bryanpattersonia	extinct
Caenophilus	extinct
Calchaquitherium	extinct
Calodontotherium	extinct
Camargomendesia	extinct
Campanorco	extinct
Caraguatypotherium	extinct
Carodnia	extinct
Charruatoxodon	extinct
Chasicotherium	extinct
Chilestylops	extinct
Cochilius	extinct
Coelostylodon	extinct
Colbertia	extinct
Colhuelia	extinct
Colombitherium	extinct
Colpodon	extinct
Comahuetherium	extinct
Coniopternium	extinct
Coquenia	extinct
Coresodon	extinct
Cramauchenia	extinct
Cullinia	extinct
Deuterotherium	extinct
Didolodus	extinct
Dilobodon	extinct
Dinotoxodon	extinct
Diplasiotherium	extinct
Distylophorus	extinct
Dolichostylodon	extinct
Edvardotrouessartia	extinct
Elmerriggsia	extinct
Eoastrapostylops	extinct
Eoauchenia	extinct
Eohyrax	extinct
Eolicaphrium	extinct
Eomorphippus	extinct
Eopachyrucos	extinct
Eotypotherium	extinct
Epecuenia	extinct
Ernestohaeckelia	extinct
Ernestokokenia	extinct
Escribania	extinct
Etayoa	extinct
Eurygenium	extinct
Eurystephanodon	extinct
Eutomodus	extinct
Eutypotherium	extinct
Falcontoxodon	extinct
Federicoanaya	extinct
Fiandraia	extinct
Granastrapotherium	extinct
Griphodon	extinct
Griphotherion	extinct
Gualta	extinct
Guilielmofloweria	extinct
Guilielmoscottia	extinct
Gyrinodon	extinct
Haplodontherium	extinct
Hegetotheriopsis	extinct
Hegetotherium	extinct
Hemihegetotherium	extinct
Hemixotodon	extinct
Henricofilholia	extinct
Henricosbornia	extinct
Heteroglyphis	extinct
Heterolophodon	extinct
Hilarcotherium	extinct
Hoffstetterius	extinct
Homalodontotherium	extinct
Homalodotherium	extinct
Homalostylops	extinct
Hondonadia	extinct
Huayqueriana	extinct
Huilatherium	extinct
Hypsitherium	extinct
Ignigena	extinct
Indalecia	extinct
Interatherium	extinct
Isolophodon	extinct
Isotemnus	extinct
Isotypotherium	extinct
Itaboraitherium	extinct
Johnbell	extinct
Juchuysillu	extinct
Kibenikhoria	extinct
Lambdaconus	extinct
Lamegoia	extinct
Leontinia	extinct
Liarthrus	extinct
Licaphrium	extinct
Licaphrops	extinct
Llullataruca	extinct
Macrauchenia	extinct
Macraucheniopsis	extinct
Macrauchenopsis	extinct
Maddenia	extinct
