Species	Status	min_age	max_age
Noatherium	extinct	47.8	56
Proeocoleophorus	extinct	48	50
Saltatherium	extinct	41.3	47.8
Yuruatherium	extinct	28.4	33.9
Yuruatherium	extinct	28.1	37.71
Cabassous	extant	0	2.58
Chaetophractus	extant	6.8	8
Chaetophractus	extant	0.781	2.58
Chaetophractus	extant	0	0.0117
Chaetophractus	extant	0.0117	0.126
Chaetophractus	extant	0.0117	0.126
Chaetophractus	extant	0.0066	0.0072
Chaetophractus	extant	0	0.0117
Chaetophractus	extant	0.001492	0.007
Chaetophractus	extant	0.012	0.3
Chaetophractus	extant	0	0.0117
Chaetophractus	extant	0	0.0117
Chaetophractus	extant	0	0.0117
Chaetophractus	extant	0.781	1.06
Chaetophractus	extant	0.012	0.126
Chaetophractus	extant	0.0117	0.126
Chaetophractus	extant	0.012	0.126
Chaetophractus	extant	0	0.0117
Chaetophractus	extant	0.0117	0.3
Chaetophractus	extant	0	0.0117
Chaetophractus	extant	2.588	2.9
Chaetophractus	extant	0.0117	0.126
Chaetophractus	extant	0.0117	0.126
Chaetophractus	extant	0.0117	0.126
Chaetophractus	extant	0	0.0042
Chlamydophractus	extinct	8	9
Euphractus	extant	0.0117	0.126
Euphractus	extant	0.781	1.06
Euphractus	extant	0.0066	0.0072
Euphractus	extant	0.0117	0.126
Euphractus	extant	0	0.0117
Euphractus	extant	0.0117	0.126
Euphractus	extant	0.781	2.58
Euphractus	extant	0.0117	0.022
Euphractus	extant	0.0117	0.126
Euphractus	extant	0.0117	0.126
Euphractus	extant	0.0117	0.126
Euphractus	extant	0.000997	0.001056
Priodontes	extant	0	0.0117
Priodontes	extant	0	0.0117
Proeutatus	extinct	16.3	17.5
Proeutatus	extinct	15.97	20.44
Proeutatus	extinct	20	21
Proeutatus	extinct	20	21
Proeutatus	extinct	20	21
Proeutatus	extinct	20	21
Proeutatus	extinct	14	15.5
Proeutatus	extinct	20	21
Proeutatus	extinct	16.3	17.5
Proeutatus	extinct	16.3	17.5
Proeutatus	extinct	16.3	17.5
Proeutatus	extinct	15.97	20.44
Proeutatus	extinct	16.3	17.5
Proeutatus	extinct	16.3	17.5
Proeutatus	extinct	16.3	17.5
Proeutatus	extinct	16.3	17.5
Proeutatus	extinct	16.3	17.5
Proeutatus	extinct	16.3	17.5
Proeutatus	extinct	15.97	20.44
Proeutatus	extinct	15.97	20.44
Proeutatus	extinct	16.3	17.5
Proeutatus	extinct	11.63	15.97
Proeutatus	extinct	20.5	21
Proeutatus	extinct	16.3	17.5
Proeutatus	extinct	17.49	17.5
Proeutatus	extinct	17.5	19
Proeutatus	extinct	16.3	17.5
Proeutatus	extinct	16.3	17.5
Proeutatus	extinct	17.49	17.5
Proeutatus	extinct	17.41	17.5
Proeutatus	extinct	16.49	17.04
Proeutatus	extinct	16.3	16.32
Proeutatus	extinct	16.67	17.22
Proeutatus	extinct	17.41	17.5
Proeutatus	extinct	16.3	17.5
Proeutatus	extinct	13.82	20.44
Proeutatus	extinct	16.3	17.5
Proeutatus	extinct	16.88	17.41
Proeutatus	extinct	16.3	17.5
Proeutatus	extinct	16.3	17.5
Proeutatus	extinct	20.5	21
Proeutatus	extinct	16.88	17.41
Proeutatus	extinct	17.41	17.5
Proeutatus	extinct	16.3	17.5
Proeutatus	extinct	16.3	17.5
Prozaedyus	extinct	23.03	29
Prozaedyus	extinct	23.03	29
Prozaedyus	extinct	11.8	13
Prozaedyus	extinct	23.03	29
Prozaedyus	extinct	14	15.5
Prozaedyus	extinct	15.97	20.44
Prozaedyus	extinct	20	21
Prozaedyus	extinct	20	21
Prozaedyus	extinct	20	21
Prozaedyus	extinct	14	15.5
Prozaedyus	extinct	16.3	17.5
Prozaedyus	extinct	23.03	29
Prozaedyus	extinct	15.97	20.44
Prozaedyus	extinct	23.03	29
Prozaedyus	extinct	16.3	17.5
Prozaedyus	extinct	16.3	17.5
Prozaedyus	extinct	16.3	17.5
Prozaedyus	extinct	16.3	17.5
Prozaedyus	extinct	16.3	17.5
Prozaedyus	extinct	15.5	16.3
Prozaedyus	extinct	28.4	33.9
Prozaedyus	extinct	16.3	17.5
Prozaedyus	extinct	16.3	17.5
Prozaedyus	extinct	11.63	15.97
Prozaedyus	extinct	16.3	17.5
Prozaedyus	extinct	16.3	17.5
Prozaedyus	extinct	17.41	17.5
Prozaedyus	extinct	16.88	17.41
Prozaedyus	extinct	20.5	21
Prozaedyus	extinct	20	21
Prozaedyus	extinct	17.5	19
Prozaedyus	extinct	16.3	17.5
Prozaedyus	extinct	16.3	17.5
