Species	Status	min_age	max_age
Arctocephalus	extant	0,0117	0,126
Arctocephalus	extant	0	0,0117
Arctocephalus	extant	0	0,0117
Arctocephalus	extant	0	0,0117
Arctocephalus	extant	2,588	3,6
Arctocephalus	extant	0	0,0117
Hydrarctos	extinct	2,588	3,6
Hydrarctos	extinct	5,333	7,246
Hydrarctos	extinct	5,333	11,62
Otaria	extant	0	0,0117
Otaria	extant	0	0,0117
Otaria	extant	0,0117	0,126
Otaria	extant	0	0,0117
Otaria	extant	0	0,0117
Otaria	extant	0	0,0117
Otaria	extant	0	0,0117
Otaria	extant	7,246	11,62
Acrophoca	extinct	7,246	11,62
Acrophoca	extinct	5,333	7,246
Acrophoca	extinct	5,333	11,608
Acrophoca	extinct	7,246	11,62
Acrophoca	extinct	5,333	11,608
Acrophoca	extinct	5,333	11,62
Acrophoca	extinct	5,333	11,62
Acrophoca	extinct	5,333	7,246
Acrophoca	extinct	5,333	11,62
Acrophoca	extinct	5,333	11,62
Acrophoca	extinct	7,246	11,62
Australophoca	extinct	7,246	11,62
Australophoca	extinct	5,333	11,62
Australophoca	extinct	7,246	11,62
Hadrokirus	extinct	5,333	7,246
Hydrurga	extant	0	0,0117
Hydrurga	extant	0	0,0117
Kawas	extinct	7,246	11,62
Mirounga	extant	0,0117	2,58
Mirounga	extant	0	0,0117
Mirounga	extant	0	0,0117
Piscophoca	extinct	7,246	11,62
Piscophoca	extinct	5,333	11,62
Piscophoca	extinct	5,333	11,62
Piscophoca	extinct	7,246	11,62
Piscophoca	extinct	5,333	7,246
Piscophoca	extinct	5,333	11,62
Properiptychus	extinct	11,63	13,82
Properiptychus	extinct	11,63	13,82
Acrophyseter	extinct	5,333	11,608
Acrophyseter	extinct	5,333	7,246
Acrophyseter	extinct	5,333	7,246
Acrophyseter	extinct	5,333	11,608
Aondelphis	extinct	15,97	20,44
Atocetus	extinct	5,333	11,608
Brujadelphis	extinct	11,63	13,82
Chilcacetus	extinct	15,97	20,44
Cozzuoliphyseter	extinct	5,333	7,246
Cozzuoliphyseter	extinct	5,333	7,246
Dolgopolis	extinct	15,97	20,44
Ensidelphis	extinct	15,97	20,44
Livyatan	extinct	11,63	23,03
Livyatan	extinct	5,333	7,246
Livyatan	extinct	7,246	11,62
Phoberodon	extinct	15,97	23,03
Phoberodon	extinct	15,97	23,03
Prosqualodon	extinct	15,97	20,44
Prosqualodon	extinct	20,44	23,03
Prosqualodon	extinct	15,97	23,03
Prosqualodon	extinct	20,44	23,03
Rhaphicetus	extinct	15,97	20,44
Scaldicetus	extinct	5,333	11,62
Urkudelphis	extinct	23,03	27,82
Aglaocetus	extinct	15,97	23,03
Aglaocetus	extinct	15,97	20,44
Balaena	extant	5,333	11,608
Balaena	extant	0,781	1,8
Eubalaena	extant	0	0,0117
Eubalaena	extant	0,0117	0,7774
Eubalaena	extant	0,0117	0,126
Eubalaena	extant	0	0,0117
Eubalaena	extant	0,0117	0,126
