Species	Status	min_age	max_age
Astraponotus	extinct	36	39
Astraponotus	extinct	36	39
Astraponotus	extinct	33,9	41,2
Astraponotus	extinct	33,9	41,2
Astraponotus	extinct	33,9	41,2
Astraponotus	extinct	48	50
Astraponotus	extinct	36	39
Astraponotus	extinct	36	39
Astraponotus	extinct	36	39
Astraponotus	extinct	36	39
Astrapothericulus	extinct	20	21
Astrapothericulus	extinct	18	19
Astrapothericulus	extinct	18	19
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	15,97	20,44
Astrapotherium	extinct	20	21
Astrapotherium	extinct	20	21
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	14	15,5
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	15,5	16,3
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	14	14,6
Astrapotherium	extinct	17,41	17,5
Astrapotherium	extinct	17,49	17,5
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	17,49	17,5
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	17,41	17,5
Astrapotherium	extinct	16,9	17,41
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	16,88	17,41
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	16,67	17,22
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	16,3	17,5
Astrapotherium	extinct	20,5	21
Comahuetherium	extinct	20,1	21
Granastrapotherium	extinct	11,8	13,8
Granastrapotherium	extinct	11,8	12,21
Granastrapotherium	extinct	12,21	12,49
Granastrapotherium	extinct	12,21	12,49
Granastrapotherium	extinct	11,8	13,8
Granastrapotherium	extinct	11,8	13,8
Granastrapotherium	extinct	11,8	13,8
Granastrapotherium	extinct	11,8	13,8
Granastrapotherium	extinct	11,8	13,8
Granastrapotherium	extinct	12,21	12,49
Granastrapotherium	extinct	12,21	12,49
Granastrapotherium	extinct	11,8	13,8
Granastrapotherium	extinct	11,8	13,8
Granastrapotherium	extinct	11,8	13,8
Granastrapotherium	extinct	11,8	13,8
Granastrapotherium	extinct	12,21	12,49
Granastrapotherium	extinct	12,21	12,49
Granastrapotherium	extinct	10,52	12,58
Granastrapotherium	extinct	10,52	12,58
Granastrapotherium	extinct	10,52	12,58
Granastrapotherium	extinct	11,8	13,8
Granastrapotherium	extinct	11,8	13,8
Granastrapotherium	extinct	10,52	12,58
Granastrapotherium	extinct	12,21	12,49
Granastrapotherium	extinct	12,21	12,49
Granastrapotherium	extinct	12,21	12,49
Granastrapotherium	extinct	12,21	12,49
Granastrapotherium	extinct	11,63	15,97
Hilarcotherium	extinct	11,63	15,97
Hilarcotherium	extinct	12,49	13,8
Hilarcotherium	extinct	13,82	20,44
Hilarcotherium	extinct	15,14	15,43
Hilarcotherium	extinct	15,97	20,44
Hilarcotherium	extinct	13,82	15,97
Hilarcotherium	extinct	15,97	20,44
Liarthrus	extinct	23,03	29
Liarthrus	extinct	23,03	29
Maddenia	extinct	30,617	30,77
Parastrapotherium	extinct	20	21
Parastrapotherium	extinct	23,03	29
Parastrapotherium	extinct	20	21
Parastrapotherium	extinct	23,03	29
Parastrapotherium	extinct	20	21
Parastrapotherium	extinct	20,5	21
Parastrapotherium	extinct	26,3	29
Parastrapotherium	extinct	23,03	29
Parastrapotherium	extinct	23,03	29
Parastrapotherium	extinct	20	29
Parastrapotherium	extinct	26,3	29
Parastrapotherium	extinct	20,5	21
Parastrapotherium	extinct	26,3	29
Scaglia	extinct	48	50
Scaglia	extinct	44	45
Uruguaytherium	extinct	23,03	29
Xenastrapotherium	extinct	11,8	13,8
Xenastrapotherium	extinct	11,8	13,8
Xenastrapotherium	extinct	11,8	13,8
Xenastrapotherium	extinct	11,8	13,8
Xenastrapotherium	extinct	11,8	13,8
Xenastrapotherium	extinct	11,8	13,8
Xenastrapotherium	extinct	12,1	14,7
Xenastrapotherium	extinct	11,8	13,8
Xenastrapotherium	extinct	23,03	30
Xenastrapotherium	extinct	11,8	12,21
Xenastrapotherium	extinct	11,8	12,21
Xenastrapotherium	extinct	12,21	12,49
Xenastrapotherium	extinct	11,8	12,21
Xenastrapotherium	extinct	11,8	12,21
Xenastrapotherium	extinct	12,49	13,8
Xenastrapotherium	extinct	10,52	12,58
Xenastrapotherium	extinct	12,21	12,49
Xenastrapotherium	extinct	12,21	12,49
Xenastrapotherium	extinct	12,21	12,49
Xenastrapotherium	extinct	12,21	12,49
Xenastrapotherium	extinct	12,21	12,49
Xenastrapotherium	extinct	12,21	12,49
Xenastrapotherium	extinct	12,21	12,49
Eoastrapostylops	extinct	56	58,7
Albertogaudrya	extinct	41,3	47,8
Albertogaudrya	extinct	38	41,2
Albertogaudrya	extinct	38	41,2
Albertogaudrya	extinct	41,3	47,8
Albertogaudrya	extinct	38	41,2
Albertogaudrya	extinct	47,8	52,5
Albertogaudrya	extinct	36,5	39
Albertogaudrya	extinct	48	50
Albertogaudrya	extinct	38	41,2
Albertogaudrya	extinct	38	41,2
Albertogaudrya	extinct	38	41,2
Albertogaudrya	extinct	38	41,2
Albertogaudrya	extinct	38	41,2
Albertogaudrya	extinct	48	50
Albertogaudrya	extinct	48	50
Albertogaudrya	extinct	48	50
Albertogaudrya	extinct	38	41,2
Albertogaudrya	extinct	48	50
Albertogaudrya	extinct	38	41,2
Albertogaudrya	extinct	48	50
Tetragonostylops	extinct	48,6	55,8
Tetragonostylops	extinct	51	53
Tetragonostylops	extinct	44	45
Trigonostylops	extinct	50	51
Trigonostylops	extinct	50	51
Trigonostylops	extinct	50	51
Trigonostylops	extinct	48,6	55,8
Trigonostylops	extinct	48	50
Trigonostylops	extinct	38	41,2
Trigonostylops	extinct	48	50
Trigonostylops	extinct	36	42
Trigonostylops	extinct	47,8	56
Trigonostylops	extinct	37,71	47,8
Trigonostylops	extinct	48	50
Trigonostylops	extinct	33,9	41,2
Trigonostylops	extinct	38	41,2
Trigonostylops	extinct	38	41,2
Trigonostylops	extinct	38	41,2
Trigonostylops	extinct	38	41,2
Trigonostylops	extinct	38	41,2
Trigonostylops	extinct	38	41,2
Trigonostylops	extinct	38	41,2
Trigonostylops	extinct	38	41,2
Trigonostylops	extinct	38	41,2
Trigonostylops	extinct	38	41,2
Trigonostylops	extinct	38	41,2
Trigonostylops	extinct	41,3	47,8
Trigonostylops	extinct	48	50
Trigonostylops	extinct	38	41,2
Trigonostylops	extinct	48	50
Trigonostylops	extinct	38	47,8
Trigonostylops	extinct	38	41,2
Trigonostylops	extinct	44	45
Trigonostylops	extinct	48	50
Trigonostylops	extinct	48	50
Trigonostylops	extinct	38	41,2
Trigonostylops	extinct	38	41,2
Trigonostylops	extinct	38	41,2
Trigonostylops	extinct	38	41,2
Trigonostylops	extinct	48	50
Trigonostylops	extinct	48	50
Trigonostylops	extinct	38	41,2
Trigonostylops	extinct	48	50
