Species	Status	min_age	max_age
Canis	extant	0,781	2,58
Canis	extant	0,0117	0,126
Canis	extant	0,0117	0,126
Canis	extant	0	0,0117
Canis	extant	0,0117	0,126
Canis	extant	0,012	0,3
Canis	extant	0,0255	0,0454
Canis	extant	0,781	2,58
Canis	extant	0,0117	0,126
Canis	extant	0,0117	0,126
Canis	extant	0,0117	0,126
Canis	extant	0,0117	2,58
Canis	extant	0,781	3,6
Canis	extant	0	0,0117
Canis	extant	0	0,0117
Canis	extant	0,781	1,2
Canis	extant	0,781	2,58
Cerdocyon	extant	0,0117	0,126
Cerdocyon	extant	0	0,0117
Cerdocyon	extant	0	0,126
Cerdocyon	extant	0,0117	0,126
Cerdocyon	extant	0,012	0,3
Chrysocyon	extant	0	2,58
Chrysocyon	extant	0,781	2,58
Chrysocyon	extant	0	2,58
Chrysocyon	extant	0,0117	0,030862
Chrysocyon	extant	0,0117	0,126
Dusicyon	extant	0	0,0117
Dusicyon	extant	0,0117	0,126
Dusicyon	extant	0,781	2,58
Dusicyon	extant	0	0,0117
Dusicyon	extant	0	0,0117
Dusicyon	extant	2,588	3,6
Dusicyon	extant	0,781	1,2
Dusicyon	extant	0,0117	0,126
Dusicyon	extant	0	0,126
Dusicyon	extant	0,0117	0,126
Dusicyon	extant	0,012	0,3
Dusicyon	extant	0,012	0,3
Dusicyon	extant	0,0117	0,126
Dusicyon	extant	0,0117	0,126
Dusicyon	extant	0,0117	0,126
Dusicyon	extant	0,012	0,126
Dusicyon	extant	0,012	0,3
Dusicyon	extant	0,0117	2,58
Dusicyon	extant	0,0117	0,126
Dusicyon	extant	0,129	0,7774
Dusicyon	extant	0,0117	0,126
Lycalopex	extant	0,012	0,3
Lycalopex	extant	0,0117	0,126
Lycalopex	extant	0,0117	0,126
Lycalopex	extant	0,0117	0,126
Lycalopex	extant	0,01283	0,02306
Lycalopex	extant	0,012	0,3
Lycalopex	extant	0	0,0117
Lycalopex	extant	0,012	0,3
