Species	Status	min_age	max_age
Eolicaphrium	extinct	48	50
Adianthus	extinct	17.41	17.5
Adianthus	extinct	15.5	16.3
Adiantoides	extinct	44	45
Adiantoides	extinct	44	45
Indalecia	extinct	46.2	47.8
Proadiantus	extinct	23.03	29
Proadiantus	extinct	23.03	29
Proadiantus	extinct	23.03	29
Proheptaconus	extinct	20.1	21
Proheptaconus	extinct	20.5	21
Thadanius	extinct	23.03	29
Thadanius	extinct	24.5	26
Tricoelodus	extinct	23.03	29
Tricoelodus	extinct	23.03	29
Tricoelodus	extinct	23.03	29
Tricoelodus	extinct	24.5	26
Didolodus	extinct	41.3	47.8
Didolodus	extinct	48	50
Didolodus	extinct	48	50
Didolodus	extinct	38	47.8
Didolodus	extinct	38	41.2
Didolodus	extinct	38	41.2
Didolodus	extinct	41.3	47.8
Didolodus	extinct	41.3	47.8
Didolodus	extinct	38	41.2
Didolodus	extinct	38	41.2
Didolodus	extinct	38	41.2
Didolodus	extinct	48	50
Didolodus	extinct	38	47.8
Didolodus	extinct	38	41.2
Didolodus	extinct	38	41.2
Didolodus	extinct	48	50
Didolodus	extinct	48	50
Didolodus	extinct	48	50
Didolodus	extinct	48	50
Didolodus	extinct	38	41.2
Ernestokokenia	extinct	48	50
Ernestokokenia	extinct	33.9	37.71
Ernestokokenia	extinct	47.8	56
Ernestokokenia	extinct	41.3	47.8
Ernestokokenia	extinct	50	51
Ernestokokenia	extinct	38	41.2
Ernestokokenia	extinct	38	47.8
Ernestokokenia	extinct	38	41.2
Ernestokokenia	extinct	48	50
Ernestokokenia	extinct	48	50
Ernestokokenia	extinct	38	41.2
Ernestokokenia	extinct	38	41.2
Ernestokokenia	extinct	50	51
Ernestokokenia	extinct	50	51
Escribania	extinct	61.6	66
Escribania	extinct	61.6	66
Lamegoia	extinct	48.6	55.8
Megadolodus	extinct	12.21	12.49
Megadolodus	extinct	11.5	13
Megadolodus	extinct	11.5	13
Megadolodus	extinct	12.21	12.49
Megadolodus	extinct	11.5	13
Neodolodus	extinct	11.8	13
Neodolodus	extinct	11.8	13
Neodolodus	extinct	11.8	13
Neodolodus	extinct	11.8	13
Neodolodus	extinct	11.8	13
Neodolodus	extinct	11.8	13
Neodolodus	extinct	10.52	12.58
Neodolodus	extinct	13.82	15.97
