Species	Status	min_age	max_age
Archaeogaia	extinct	56	61,6
Archaeoplus	extinct	15,97	23,03
Eurystephanodon	extinct	36,5	39
Griphotherion	extinct	47,8	52,5
Heterolophodon	extinct	36,5	39
Pseudopachyrucos	extinct	36,5	39
Puelia	extinct	36	39
Puelia	extinct	38	39
Puelia	extinct	33,9	41,2
Puelia	extinct	33,9	41,2
Puelia	extinct	33,9	41,2
Teushentherium	extinct	28,4	33,9
Isotypotherium	extinct	48	50
Acoelodus	extinct	48	50
Acoelodus	extinct	48	50
Acoelodus	extinct	38	41,2
Acoelodus	extinct	48	50
Allalmeia	extinct	44	45
Brachystephanus	extinct	44	45
Camargomendesia	extinct	48,6	55,8
Camargomendesia	extinct	47,8	56
Camargomendesia	extinct	56	59,2
Colbertia	extinct	33,9	37,71
Colbertia	extinct	47,8	56
Colbertia	extinct	41,3	47,8
Colbertia	extinct	48	50
Colbertia	extinct	48	50
Colbertia	extinct	48	50
Colbertia	extinct	51	53
Dolichostylodon	extinct	48	50
Itaboraitherium	extinct	47,8	56
Kibenikhoria	extinct	47,8	56
Kibenikhoria	extinct	37,71	55,8
Kibenikhoria	extinct	37,71	55,8
Kibenikhoria	extinct	55,8	56
Kibenikhoria	extinct	55,8	56
Kibenikhoria	extinct	50	51
Maxschlosseria	extinct	38	47,8
Maxschlosseria	extinct	38	41,2
Maxschlosseria	extinct	44	45
Maxschlosseria	extinct	48	50
Maxschlosseria	extinct	41,3	47,8
Maxschlosseria	extinct	48	50
Maxschlosseria	extinct	48	50
Maxschlosseria	extinct	41,3	47,8
Maxschlosseria	extinct	48	50
Maxschlosseria	extinct	44	45
Maxschlosseria	extinct	38	47,8
Maxschlosseria	extinct	41,3	47,8
Maxschlosseria	extinct	48	50
Maxschlosseria	extinct	41,3	47,8
Maxschlosseria	extinct	38	47,8
Maxschlosseria	extinct	38	47,8
Maxschlosseria	extinct	38	47,8
Maxschlosseria	extinct	48	50
Maxschlosseria	extinct	48	50
Oldfieldthomasia	extinct	48	50
Oldfieldthomasia	extinct	48	50
Oldfieldthomasia	extinct	38	41,2
Oldfieldthomasia	extinct	48	50
Oldfieldthomasia	extinct	38	41,2
Oldfieldthomasia	extinct	38	41,2
Oldfieldthomasia	extinct	38	41,2
Oldfieldthomasia	extinct	38	41,2
Oldfieldthomasia	extinct	38	41,2
Oldfieldthomasia	extinct	38	41,2
Oldfieldthomasia	extinct	48	50
Oldfieldthomasia	extinct	38	41,2
Oldfieldthomasia	extinct	38	41,2
Oldfieldthomasia	extinct	38	47,8
Oldfieldthomasia	extinct	48	50
Oldfieldthomasia	extinct	48	50
Oldfieldthomasia	extinct	48	50
Oldfieldthomasia	extinct	38	41,2
Oldfieldthomasia	extinct	38	41,2
Oldfieldthomasia	extinct	38	41,2
Oldfieldthomasia	extinct	38	41,2
Oldfieldthomasia	extinct	38	41,2
Oldfieldthomasia	extinct	38	41,2
Ortholophodon	extinct	36,5	39
Paginula	extinct	48	50
Paginula	extinct	48	50
Paginula	extinct	48	50
Paginula	extinct	38	41,2
Paginula	extinct	48	50
Paginula	extinct	48	50
Suniodon	extinct	33,9	37,71
Suniodon	extinct	36,5	38
Tsamnichoria	extinct	36,5	39
Ultrapithecus	extinct	38	41,2
Ultrapithecus	extinct	48	50
Ultrapithecus	extinct	38	38,4
Ultrapithecus	extinct	38	41,2
Ultrapithecus	extinct	38	41,2
Ultrapithecus	extinct	38	41,2
Ultrapithecus	extinct	38	41,2
Xenostephanus	extinct	44	45
Archaeohyrax	extinct	36	39
Archaeohyrax	extinct	23,03	29
Archaeohyrax	extinct	23,03	29
Archaeohyrax	extinct	23,03	29
Archaeohyrax	extinct	31,3	33,6
Archaeohyrax	extinct	23,03	29
Archaeohyrax	extinct	23,03	29
Archaeohyrax	extinct	23,03	29
Archaeohyrax	extinct	23,03	29
Archaeohyrax	extinct	28,1	30
Archaeohyrax	extinct	23,03	29
Archaeohyrax	extinct	30,617	30,77
Archaeohyrax	extinct	23,03	29
Archaeohyrax	extinct	23,03	29
Archaeohyrax	extinct	24,5	26
Archaeohyrax	extinct	23,03	29
Archaeohyrax	extinct	23,03	29
Archaeohyrax	extinct	23,03	29
Archaeohyrax	extinct	23,03	29
Archaeohyrax	extinct	23,03	29
Archaeotypotherium	extinct	28,4	33,9
Archaeotypotherium	extinct	23,03	29
Archaeotypotherium	extinct	28,4	33,9
Archaeotypotherium	extinct	31,3	33,6
Archaeotypotherium	extinct	31,3	33,6
Archaeotypotherium	extinct	31,3	33,6
Archaeotypotherium	extinct	23,03	33,9
Archaeotypotherium	extinct	31,3	33,6
Archaeotypotherium	extinct	33,566	33,596
Archaeotypotherium	extinct	28,4	33,9
Bryanpattersonia	extinct	36	39
Bryanpattersonia	extinct	36	39
Bryanpattersonia	extinct	28,4	33,9
Bryanpattersonia	extinct	28,4	33,9
Bryanpattersonia	extinct	36	39
Bryanpattersonia	extinct	30	33,9
Bryanpattersonia	extinct	28,1	33,9
Bryanpattersonia	extinct	36	39
Eohyrax	extinct	50	51
Eohyrax	extinct	36	39
Eohyrax	extinct	38	41,2
Eohyrax	extinct	38	41,2
Eohyrax	extinct	41,3	47,8
Eohyrax	extinct	38	41,2
Eohyrax	extinct	38	41,2
Eohyrax	extinct	38	41,2
Eohyrax	extinct	38	41,2
Eohyrax	extinct	38	41,2
Eohyrax	extinct	36,5	39
Eohyrax	extinct	38	41,2
Eohyrax	extinct	38	41,2
Eohyrax	extinct	38	47,8
Eohyrax	extinct	36	39
Isolophodon	extinct	36	39
Protarchaeohyrax	extinct	28,4	33,9
Protarchaeohyrax	extinct	31,3	33,6
Protarchaeohyrax	extinct	30,617	30,77
Pseudhyrax	extinct	28,4	33,9
Pseudhyrax	extinct	33,9	37,71
Pseudhyrax	extinct	28,4	33,9
Pseudhyrax	extinct	28,4	33,9
Pseudhyrax	extinct	36	39
Pseudhyrax	extinct	36	39
Pseudhyrax	extinct	36,5	39
Pseudhyrax	extinct	36	39
Pseudhyrax	extinct	36	39
Pseudhyrax	extinct	36	39
Pseudhyrax	extinct	36	39
Pseudhyrax	extinct	36	39
Pseudhyrax	extinct	36	39
Pseudhyrax	extinct	28,4	33,6
Pseudhyrax	extinct	36,5	38
Pseudhyrax	extinct	33,9	41,2
Pseudhyrax	extinct	33,9	41,2
Pseudhyrax	extinct	33,9	41,2
Pseudhyrax	extinct	28,4	33,9
Pseudhyrax	extinct	38	38,4
Pseudhyrax	extinct	36,5	39
Pseudhyrax	extinct	36	39
Pseudhyrax	extinct	36	39
Pseudhyrax	extinct	48	50
Punahyrax	extinct	33,9	37,71
Punahyrax	extinct	36,5	38
Punahyrax	extinct	36,5	38
Archaeopithecus	extinct	38	41,2
Archaeopithecus	extinct	38	41,2
Archaeopithecus	extinct	38	41,2
Archaeopithecus	extinct	48	50
Archaeopithecus	extinct	50	51
Archaeopithecus	extinct	41,3	47,8
Archaeopithecus	extinct	41,3	47,8
Archaeopithecus	extinct	48	50
Archaeopithecus	extinct	48	50
Archaeopithecus	extinct	48	50
Archaeopithecus	extinct	51,4	56
Archaeopithecus	extinct	47,8	56
