Species	Status
Adiastaltus	extinct
Ahytherium	extinct
Amphibradys	extinct
Amphiocnus	extinct
Anathitus	extinct
Anisodontherium	extinct
Archaeomylodon	extinct
Argyromanis	extinct
Australonyx	extinct
Aymaratherium	extinct
Baraguatherium	extinct
Bolivartherium	extinct
Bradypus	extant
Brievabradys	extinct
Catonyx	extinct
Chasicobradys	extinct
Choloepus	extant
Cyclopes	extant
Deseadognathus	extinct
Diabolotherium	extinct
Diheterocnus	extinct
Eionaletherium	extinct
Eomegatherium	extinct
Eremotherium	extinct
Eucholoeops	extinct
Glossotheriopsis	extinct
Glossotherium	extinct
Hapaloides	extinct
Hapalops	extinct
Hiskatherium	extinct
Holomegalonyx	extinct
Huilabradys	extinct
Hyperleptus	extinct
Kiyumylodon	extinct
Lakukullus	extinct
Lestobradys	extinct
Lestodon	extinct
Magdalenabradys	extinct
Mcdonaldocnus	extinct
Megabradys	extinct
Megalonychops	extinct
Megalonychotherium	extinct
Megathericulus	extinct
Megatheridium	extinct
Megatherium	extinct
Megistonyx	extinct
Mesopotamocnus	extinct
Mionothropus	extinct
Mylodon	extinct
Mylodonopsis	extinct
Myrmecophaga	extant
Nematherium	extinct
Neohapalops	extinct
Neonematherium	extinct
Neotamandua	extinct
Nothropus	extinct
Nothrotheriops	extinct
Nothrotherium	extinct
Ocnopus	extinct
Octodontobradys	extinct
Octodontotherium	extinct
Octomylodon	extinct
Orthoarthrus	extinct
Ortotherium	extinct
Palaeomyrmidon	extinct
Paraglossotherium	extinct
Paranabradys	extinct
Paroctodontotherium	extinct
Pattersonocnus	extinct
Pelecyodon	extinct
Planops	extinct
Plesiomegatherium	extinct
Pleurolestodon	extinct
Pliomegatherium	extinct
Pliomorphus	extinct
Prepoplanops	extinct
Prepotherium	extinct
Proeremotherium	extinct
Prolestodon	extinct
Promegatherium	extinct
Promylodon	extinct
Pronothrotherium	extinct
Proplatyarthrus	extinct
Proscelidodon	extinct
Proschismotherium	extinct
Protamandua	extinct
Protomegalonyx	extinct
Pseudoglyptodon	extinct
Pseudoprepotherium	extinct
Pyramiodontherium	extinct
Ranculcus	extinct
Scelidodon	extinct
Scelidotheridium	extinct
Scelidotherium	extinct
Schismotherium	extinct
Sibyllotherium	extinct
Simomylodon	extinct
Sphenotherus	extinct
Stegotherium	extinct
Strabosodon	extinct
Tamandua	extant
Thalassocnus	extinct
Torcellia	extinct
Urumacocnus	extinct
Urumacotherium	extinct
Urumaquia	extinct
Valgipes	extinct
Xyophorus	extinct
