Species	Status
Acrecebus	extinct
Alouatta	extant
Aotus	extant
Ateles	extant
Branisella	extinct
Callicebus	extant
Callimico	extant
Canaanimico	extinct
Carlocebus	extinct
Cebuella	extant
Cebupithecia	extinct
Cebus	extant
cf._Aotus	extinct
Chilecebus	extinct
Chiropotes	extant
Dolichocebus	extinct
Homo	extant
Homunculus	extinct
Lagonimico	extinct
Lagothrix	extant
Mazzonicebus	extinct
Micodon	extinct
Miocallicebus	extinct
Mohanamico	extinct
Neosaimiri	extinct
Nuciruptor	extinct
Parvimico	extinct
Patasola	extinct
Perupithecus	extinct
Pithecia	extant
Plecturocebus	extant
Proteropithecia	extinct
Protopithecus	extinct
Saguinus	extant
Saimiri	extant
Sapajus	extant
Solimoea	extinct
Soriacebus	extinct
Stirtonia	extinct
Tremacebus	extinct
Ucayalipithecus	extinct
