Species	Status	min_age	max_age
Cuvieronius	extinct	0,0117	2,58
Cuvieronius	extinct	0,0117	0,126
Cuvieronius	extinct	0	0,126
Cuvieronius	extinct	0,0117	2,58
Cuvieronius	extinct	0,0117	0,126
Cuvieronius	extinct	0,0117	2,58
Cuvieronius	extinct	0,0117	2,58
Cuvieronius	extinct	0,0117	2,58
Cuvieronius	extinct	0,781	2,58
Cuvieronius	extinct	0,0117	0,126
Cuvieronius	extinct	0,0117	0,126
Cuvieronius	extinct	0,0117	2,58
Cuvieronius	extinct	0,0117	2,58
Cuvieronius	extinct	0,129	0,7774
Cuvieronius	extinct	0,0117	2,58
Cuvieronius	extinct	0,781	2,58
Cuvieronius	extinct	2,588	5,333
Notiomastodon	extinct	0,781	2,58
Notiomastodon	extinct	0,781	2,58
Notiomastodon	extinct	0,0117	0,126
Notiomastodon	extinct	0,0117	0,126
Notiomastodon	extinct	0,012	1,2
Notiomastodon	extinct	0,012	0,3
Notiomastodon	extinct	0,0117	2,58
Notiomastodon	extinct	0,0117	0,126
Notiomastodon	extinct	0,0117	0,126
Notiomastodon	extinct	0,012	0,3
Notiomastodon	extinct	0,012	0,3
Notiomastodon	extinct	0,012	0,3
Notiomastodon	extinct	0,0117	2,58
Notiomastodon	extinct	0,0117	0,126
Notiomastodon	extinct	0,012	0,3
Notiomastodon	extinct	0,012	0,3
Notiomastodon	extinct	0,0117	2,58
Notiomastodon	extinct	0,0117	2,58
Notiomastodon	extinct	0,0117	0,126
Notiomastodon	extinct	0	0,126
Notiomastodon	extinct	0,012	0,3
Notiomastodon	extinct	0,012	0,3
Notiomastodon	extinct	0,0117	2,58
Notiomastodon	extinct	0,0117	0,126
Notiomastodon	extinct	0,0117	0,126
Notiomastodon	extinct	0,0117	0,126
Notiomastodon	extinct	0,0117	2,58
Notiomastodon	extinct	7,246	11,62
Notiomastodon	extinct	0,0117	2,58
Notiomastodon	extinct	0,0117	2,58
Notiomastodon	extinct	0,0117	0,7774
Notiomastodon	extinct	0,0117	2,58
Notiomastodon	extinct	0,0117	2,58
Notiomastodon	extinct	0,012	0,3
Notiomastodon	extinct	0,0117	0,126
Notiomastodon	extinct	0,0117	0,126
Notiomastodon	extinct	0,0117	0,126
Notiomastodon	extinct	0,012	0,3
Notiomastodon	extinct	0,0117	2,58
Notiomastodon	extinct	0,012	0,3
Notiomastodon	extinct	0,0117	0,126
Notiomastodon	extinct	0,0117	0,126
Notiomastodon	extinct	0,0117	0,126
Notiomastodon	extinct	0,0117	0,126
Notiomastodon	extinct	0,012	0,3
Notiomastodon	extinct	0,012	0,3
Notiomastodon	extinct	0	0,126
Notiomastodon	extinct	0,0117	0,7774
Notiomastodon	extinct	0,0117	0,126
Notiomastodon	extinct	0,0117	0,126
Notiomastodon	extinct	0,0117	2,58
