Species	Status	min_age	max_age
?Sallamys	extinct	24,5	26
Aenigmys	extinct	0,129	0,774
aff. Tarapotomys	extinct	33,9	37,2
aff. Tarapotomys	extinct	33,9	37,2
Balsayacuy	extinct	27,2	31,1
Balsayacuy	extinct	33,9	37,2
Balsayacuy	extinct	33,9	37,2
Cachiyacuy	extinct	33,9	37,2
Cachiyacuy	extinct	33,9	41,2
Cachiyacuy	extinct	33,9	37,2
Cachiyacuy	extinct	33,9	41,2
Cachiyacuy	extinct	33,9	41,2
Cachiyacuy	extinct	33,9	41,2
Cachiyacuy	extinct	33,9	37,2
Cachiyacuy	extinct	33,9	41,2
Cachiyacuy	extinct	27,82	31,1
Canaanimys	extinct	33,9	41,2
Canaanimys	extinct	27,82	31,1
cf. Cachiyacuy	extinct	27,82	31,1
cf. Cachiyacuy	extinct	27,82	31,1
cf. Eoespina	extinct	33,9	37,2
cf. Pozomys	extinct	27,82	31,1
cf. Tarapotomys	extinct	33,9	37,2
Chachapoyamys	extinct	33,9	41,2
Chachapoyamys	extinct	33,9	37,2
Chambiramys	extinct	26,56	27,82
Chambiramys	extinct	23,03	26,56
Draconomys	extinct	30,617	30,77
Dudumus	extinct	16,3	17,5
Dudumus	extinct	20,1	21
Eobranisamys	extinct	37,71	41,2
Eobranisamys	extinct	28,1	33,9
Eobranisamys	extinct	33,9	41,2
Eobranisamys	extinct	27,82	31,1
Eobranisamys	extinct	27,82	31,1
Eocardia (Dicardia)	extinct	15,97	20,44
Eocardia (Dicardia)	extinct	16,3	17,5
Eocardia (Dicardia)	extinct	16,3	17,5
Eocardia (Dicardia)	extinct	16,3	17,5
Eocardia (Dicardia)	extinct	16,3	17,5
Eocardia (Dicardia)	extinct	16,3	17,5
Eoespina	extinct	33,9	41,2
Eoespina	extinct	33,9	37,2
Eoespina	extinct	27,82	31,1
Eoincamys	extinct	28,4	33,9
Eoincamys	extinct	33,9	37,2
Eoincamys	extinct	28,4	33,9
Eoincamys	extinct	27,82	31,1
Eoincamys	extinct	28,4	33,9
Eoincamys	extinct	33,9	37,2
Eoincamys	extinct	33,9	37,2
Eoincamys	extinct	28,4	33,9
Eoincamys	extinct	27,82	31,1
Eoincamys	extinct	28,4	33,9
Eoincamys	extinct	33,9	37,2
Eoincamys	extinct	28,4	33,9
Eoincamys	extinct	33,9	37,2
Eoincamys	extinct	28,4	33,9
Eopicure	extinct	27,82	31,1
Eosachacui	extinct	27,82	31,1
Eosallamys	extinct	23,03	27,82
Eosallamys	extinct	27,82	31,1
Eosallamys	extinct	27,82	31,1
Ethelomys	extinct	23,03	29
Garridomys	extinct	20,1	21
Garridomys	extinct	20	21
