Species	Status
?Sallamys	extinct
Abalosia	extinct
Abrocoma	extant
Abrothrix	extant
Acarechimys	extinct
Acaremys	extinct
Actenomys	extinct
Adelphomys	extinct
Aenigmys	extinct
aff._Tarapotomys	extinct
Akodon	extant
Akodon_(Akodon)	extant
Allocavia	extinct
Alloiomys	extinct
Ameghinomys	extinct
Anatochoerus	extinct
Andemys	extinct
Andinomys	extant
Arazamys	extinct
Artigasia	extinct
Asteromys	extinct
Auliscomys	extinct
Australoprocta	extinct
Balsayacuy	extinct
Banderomys	extinct
Bibimys	extant
Branisamyopsis	extinct
Branisamys	extinct
Briaromys	extinct
Cachiyacuy	extinct
Callistomys	extant
Calomys	extant
Canaanimys	extinct
Cantracavia	extinct
Cardiatherium	extinct
Cardiomys	extinct
Carlesia	extinct
Carterodon	extant
Cavia	extant
Caviocricetus	extinct
Caviodon	extinct
Cephalomyopsis	extinct
Cephalomys	extinct
Cercomys	extinct
cf._Cachiyacuy	extinct
cf._Eoespina	extinct
cf._Pozomys	extinct
cf._Tarapotomys	extinct
Chachapoyamys	extinct
Chambiramys	extinct
Changquin	extinct
Chasichimys	extinct
Chasicomys	extinct
Chinchilla	extant
Chinchillula	extant
Cholamys	extinct
Cholomys	extinct
Chubutomys	extinct
Chukimys	extinct
Clyomys	extant
Coendou	extant
Colomys	extant
Colpostemma	extinct
Contracavia	extinct
Ctenomys	extant
Cuniculus	extant
Dactylomys	extant
Dankomys	extinct
Dasyprocta	extant
Delomys	extant
Deseadomys	extinct
Diaphoromys	extinct
Dicardia	extinct
Dicolpomys	extinct
Dinomys	extant
Discolomys	extinct
Disteiromys	extinct
Doellomys	extinct
Dolicavia	extinct
Dolichotis	extant
Doryperimys	extinct
Draconomys	extinct
Drytomomys	extinct
Dudumus	extinct
Echimys	extant
Eligmodontia	extant
Eobranisamys	extinct
Eocardia	extinct
Eocardia_(Dicardia)	extinct
Eodelphomys	extinct
Eodolichotis	extinct
Eoespina	extinct
Eoincamys	extinct
Eopicure	extinct
Eopululo	extinct
Eosachacui	extinct
Eosallamys	extinct
Eosteiromys	extinct
Eoviscaccia	extinct
Erethizon	extinct
Ethelomys	extinct
Eucelophorus	extinct
Eucoelophorus	extinct
Eumegamys	extinct
Eumegamysops	extinct
Eumysops	extinct
Euneomys	extant
Euryzygomatomys	extant
Eusigmomys	extinct
Ferigolomys	extinct
Galea	extant
Galileomys	extinct
Garridomys	extinct
Graomys	extant
Guiomys	extinct
Gyldenstolpia	extant
Gyriabrus	extinct
Haplostropha	extinct
Heteromys	extant
Holochilus	extant
Hydrochoeropsis	extinct
Hydrochoerus	extant
Hypsosteiromys	extinct
Incamys	extinct
Isostylomys	extinct
Isothrix	extant
