Species	Status	min_age	max_age
Australogale	extinct	12.4	13.1
Acrocyon	extinct	20	20.4
Acrocyon	extinct	20	20.4
Acrocyon	extinct	16.3	17.5
Acrocyon	extinct	16.3	17.5
Acrocyon	extinct	16.3	17.5
Acrocyon	extinct	16.3	17.5
Arctodictis	extinct	13.8	15.5
Arctodictis	extinct	11.8	13.8
Arctodictis	extinct	16.3	17.5
Arctodictis	extinct	16.3	17.5
Arctodictis	extinct	16.3	17.5
Arctodictis	extinct	16.3	17.5
Arctodictis	extinct	16.3	17.5
Arctodictis	extinct	16.3	17.5
Arctodictis	extinct	20	20.4
Arctodictis	extinct	20	20.4
Australohyaena	extinct	23.03	30
Australohyaena	extinct	23.03	30
Australohyaena	extinct	23.03	30
Australohyaena	extinct	23.03	30
Australohyaena	extinct	23.03	30
Borhyaena	extinct	20	20.4
Borhyaena	extinct	20	20.4
Borhyaena	extinct	20	20.4
Borhyaena	extinct	15.5	16.3
Borhyaena	extinct	16.3	17.5
Borhyaena	extinct	16.3	17.5
Borhyaena	extinct	16.3	17.5
Borhyaena	extinct	16.3	17.5
Borhyaena	extinct	16.3	17.5
Borhyaena	extinct	16.3	17.5
Borhyaena	extinct	16.3	17.5
Borhyaena	extinct	16.3	17.5
Borhyaena	extinct	16.3	17.5
Borhyaena	extinct	16.3	17.5
Borhyaena	extinct	16.3	17.5
Borhyaena	extinct	16.3	17.5
Borhyaena	extinct	16.3	17.5
Borhyaena	extinct	16.3	17.5
Borhyaena	extinct	16.3	17.5
Borhyaena	extinct	16.3	17.5
Borhyaena	extinct	16.3	17.5
Borhyaena	extinct	16.3	17.5
Borhyaena	extinct	16.3	17.5
Fredszalaya	extinct	23.03	30
Acyon	extinct	11.8	13.8
Acyon	extinct	16.3	17.5
Acyon	extinct	20	20.4
Acyon	extinct	16.3	17.5
Acyon	extinct	16.3	17.5
Acyon	extinct	16.3	17.5
Borhyaenidium	extinct	6.8	9
Borhyaenidium	extinct	8.7	10
Borhyaenidium	extinct	4.7	8.7
Borhyaenidium	extinct	2.9	4
Chasicostylus	extinct	8.7	10
Cladosictis	extinct	20	20.4
Cladosictis	extinct	20	20.4
Cladosictis	extinct	16.3	17.5
Cladosictis	extinct	16.3	17.5
Cladosictis	extinct	16.3	17.5
Cladosictis	extinct	20	20.4
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	20	20.4
Cladosictis	extinct	15.5	16.3
Cladosictis	extinct	11.63	15.97
Cladosictis	extinct	16.3	17.5
