Species	Status
?Sallamys	extinct
Acamana	extinct
Acarechimys	extinct
Acoelodus	extinct
Acoelohyrax	extinct
Adiantoides	extinct
aff._Tarapotomys	extinct
Albertogaudrya	extinct
Allalmeia	extinct
Amilnedwardsia	extinct
Anayatherium	extinct
Ancylocoelus	extinct
Andemys	extinct
Anisolambda	extinct
Anisotemnus	extinct
Antepithecus	extinct
Antofagastia	extinct
Archaeohyrax	extinct
Archaeophylus	extinct
Archaeopithecus	extinct
Archaeotypotherium	extinct
Argyrohyrax	extinct
Asmithwoodwardia	extinct
Asmodeus	extinct
Asteromys	extinct
Astraponotus	extinct
Baguatherium	extinct
Balsayacuy	extinct
Boreastylops	extinct
Brachystephanus	extinct
Branisamys	extinct
Brucemacfaddenia	extinct
Bryanpattersonia	extinct
Cachiyacuy	extinct
Calodontotherium	extinct
Camargomendesia	extinct
Campanorco	extinct
Canaanimys	extinct
Carolozittelia	extinct
Cephalomyopsis	extinct
Cephalomys	extinct
cf._Cachiyacuy	extinct
cf._Eoespina	extinct
cf._Pozomys	extinct
cf._Tarapotomys	extinct
Chachapoyamys	extinct
Chambiramys	extinct
Changquin	extinct
Chilestylops	extinct
Cholamys	extinct
Chubutomys	extinct
Cochilius	extinct
Coelostylodon	extinct
Colbertia	extinct
Colhuelia	extinct
Colombitherium	extinct
Coniopternium	extinct
Coquenia	extinct
Coresodon	extinct
Cramauchenia	extinct
Deseadognathus	extinct
Deseadomys	extinct
Deuterotherium	extinct
Distylophorus	extinct
Dolichostylodon	extinct
Draconomys	extinct
Edvardotrouessartia	extinct
Elmerriggsia	extinct
Eobranisamys	extinct
Eodelphomys	extinct
Eoespina	extinct
Eohyrax	extinct
Eoincamys	extinct
Eolicaphrium	extinct
Eomorphippus	extinct
Eopachyrucos	extinct
Eopicure	extinct
Eopululo	extinct
Eosachacui	extinct
Eosallamys	extinct
Eoviscaccia	extinct
Ernestohaeckelia	extinct
Ethelomys	extinct
Eurygenium	extinct
Eurystephanodon	extinct
Federicoanaya	extinct
Fiandraia	extinct
Galileomys	extinct
Griphodon	extinct
Griphotherion	extinct
Gualta	extinct
Guilielmofloweria	extinct
Guilielmoscottia	extinct
Hegetotheriopsis	extinct
Hegetotherium	extinct
Henricofilholia	extinct
Henricosbornia	extinct
Heteroglyphis	extinct
Heterolophodon	extinct
Homalodontotherium	extinct
Homalostylops	extinct
Ignigena	extinct
Incamys	extinct
Indalecia	extinct
Isolophodon	extinct
Isotemnus	extinct
Isotypotherium	extinct
Itaboraitherium	extinct
Johnbell	extinct
Kibenikhoria	extinct
Kichkasteiromys	extinct
Lambdaconus	extinct
Lapazomys	extinct
Leontinia	extinct
Leucokephalos	extinct
Liarthrus	extinct
Litodontomys	extinct
Llitun	extinct
Loncolicu	extinct
Loretomys	extinct
Maddenia	extinct
Martinmiguelia	extinct
Maxschlosseria	extinct
Mayomys	extinct
Medistylus	extinct
Mendozahippus	extinct
Migraveramus	extinct
Miguelsoria	extinct
Moqueguahippus	extinct
Nanolophodon	extinct
Neoreomys	extinct
Nesodon	extinct
Notodiaphorus	extinct
Notopithecus	extinct
Notostylops	extinct
Octodontotherium	extinct
Oldfieldthomasia	extinct
Orome	extinct
Orthogeniops	extinct
Ortholophodon	extinct
Othnielmarshia	extinct
Otrhonia	extinct
Paginula	extinct
Palaeosteiromys	extinct
Pampahippus	extinct
Pampatemnus	extinct
Paranisolambda	extinct
Parastrapotherium	extinct
Paroctodontotherium	extinct
Pascualihippus	extinct
Patagonhippus	extinct
Patagonia	extinct
Paulacoutomys	extinct
Peripantostylops	extinct
Periphragnis	extinct
Perutherium	extinct
Phoradiadius	extinct
Platypittamys	extinct
Plesiosteiromys	extinct
Pleurostylodon	extinct
Polyacrodon	extinct
Polymorphis	extinct
Pozomys	extinct
Proadiantus	extinct
Proadinotherium	extinct
Proargyrohyrax	extinct
Progaleopithecus	extinct
Prohegetotherium	extinct
Propachyrucos	extinct
Propyrotherium	extinct
Prosotherium	extinct
Protacaremys	extinct
Protarchaeohyrax	extinct
Proterotherium	extinct
Protheosodon	extinct
Proticia	extinct
Protolipterna	extinct
Protosteiromys	extinct
Protypotherium	extinct
Pseudhyrax	extinct
Pseudoglyptodon	extinct
Pseudohegetotherium	extinct
Pseudopachyrucos	extinct
Puelia	extinct
Punahyrax	extinct
Punapithecus	extinct
Pyrotherium	extinct
Rhynchippus	extinct
Rhyphodon	extinct
Ricardolydekkeria	extinct
Rosendo	extinct
Rutimeyeria	extinct
Sallamys	extinct
Sallatherium	extinct
Santiagorothia	extinct
Scaglia	extinct
Scarrittia	extinct
Scleromys	extinct
Scotamys	extinct
Selvamys	extinct
Shapajamys	extinct
Sparnotheriodon	extinct
Steiromys	extinct
Suniodon	extinct
Tacheria	extinct
Tarapotomys	extinct
Taubatherium	extinct
Teratopithecus	extinct
Termastherium	extinct
Tetragonostylops	extinct
Teushentherium	extinct
Thadanius	extinct
Thomashuxleya	extinct
Trachytherus	extinct
Transpithecus	extinct
Tricoelodus	extinct
Trigonolophodon	extinct
Trigonostylops	extinct
Trimerostephanos	extinct
Tsamnichoria	extinct
Ucayalimys	extinct
Ultrapithecus	extinct
Uruguaytherium	extinct
Vallehermosomys	extinct
Victorlemoineia	extinct
Vucetichimys	extinct
Xenastrapotherium	extinct
Xenostephanus	extinct
Xesmodon	extinct
Xylechimys	extinct
