Species	Status
Adiantoides	extinct
Albertogaudrya	extinct
Amilnedwardsia	extinct
Anisolambda	extinct
Asmithwoodwardia	extinct
Astraponotus	extinct
Baguatherium	extinct
Carodnia	extinct
Carolozittelia	extinct
Colombitherium	extinct
Coniopternium	extinct
Cramauchenia	extinct
Deuterotherium	extinct
Didolodus	extinct
Eolicaphrium	extinct
Ernestohaeckelia	extinct
Ernestokokenia	extinct
Griphodon	extinct
Guilielmofloweria	extinct
Heteroglyphis	extinct
Hondonadia	extinct
Indalecia	extinct
Lambdaconus	extinct
Lamegoia	extinct
Liarthrus	extinct
Maddenia	extinct
Miguelsoria	extinct
Notodiaphorus	extinct
Paranisolambda	extinct
Parastrapotherium	extinct
Paulogervaisia	extinct
Phoradiadius	extinct
Polyacrodon	extinct
Polymorphis	extinct
Proadiantus	extinct
Proectocion	extinct
Propyrotherium	extinct
Proterotherium	extinct
Protheosodon	extinct
Proticia	extinct
Protolipterna	extinct
Pyrotherium	extinct
Ricardocifellia	extinct
Ricardolydekkeria	extinct
Rosendolops	extinct
Rutimeyeria	extinct
Salladolodus	extinct
Saltaodus	extinct
Scaglia	extinct
Sparnotheriodon	extinct
Tetragonostylops	extinct
Thadanius	extinct
Tricoelodus	extinct
Trigonostylops	extinct
Umayodus	extinct
Uruguaytherium	extinct
Victorlemoineia	extinct
Xenastrapotherium	extinct
Xesmodon	extinct
