Species	Status
Acamana	extinct
Acoelodus	extinct
Acoelohyrax	extinct
Adiantoides	extinct
Albertogaudrya	extinct
Allalmeia	extinct
Amilnedwardsia	extinct
Anayatherium	extinct
Ancylocoelus	extinct
Anisolambda	extinct
Anisotemnus	extinct
Antepithecus	extinct
Antofagastia	extinct
Archaeohyrax	extinct
Archaeophylus	extinct
Archaeopithecus	extinct
Archaeotypotherium	extinct
Argyrohyrax	extinct
Asmithwoodwardia	extinct
Asmodeus	extinct
Astraponotus	extinct
Baguatherium	extinct
Boreastylops	extinct
Brachystephanus	extinct
Brucemacfaddenia	extinct
Bryanpattersonia	extinct
Calodontotherium	extinct
Camargomendesia	extinct
Campanorco	extinct
Carodnia	extinct
Carolozittelia	extinct
Chilestylops	extinct
Cochilius	extinct
Coelostylodon	extinct
Colbertia	extinct
Colhuelia	extinct
Colombitherium	extinct
Coniopternium	extinct
Coquenia	extinct
Coresodon	extinct
Cramauchenia	extinct
Deuterotherium	extinct
Didolodus	extinct
Distylophorus	extinct
Dolichostylodon	extinct
Edvardotrouessartia	extinct
Elmerriggsia	extinct
Eohyrax	extinct
Eolicaphrium	extinct
Eomorphippus	extinct
Eopachyrucos	extinct
Ernestohaeckelia	extinct
Ernestokokenia	extinct
Eurygenium	extinct
Eurystephanodon	extinct
Federicoanaya	extinct
Fiandraia	extinct
Griphodon	extinct
Griphotherion	extinct
Gualta	extinct
Guilielmofloweria	extinct
Guilielmoscottia	extinct
Hegetotheriopsis	extinct
Hegetotherium	extinct
Henricofilholia	extinct
Henricosbornia	extinct
Heteroglyphis	extinct
Heterolophodon	extinct
Homalodontotherium	extinct
Homalostylops	extinct
Hondonadia	extinct
Ignigena	extinct
Indalecia	extinct
Isolophodon	extinct
Isotemnus	extinct
Isotypotherium	extinct
Itaboraitherium	extinct
Johnbell	extinct
Kibenikhoria	extinct
Lambdaconus	extinct
Lamegoia	extinct
Leontinia	extinct
Liarthrus	extinct
Maddenia	extinct
Martinmiguelia	extinct
Maxschlosseria	extinct
Medistylus	extinct
Mendozahippus	extinct
Miguelsoria	extinct
Moqueguahippus	extinct
Nanolophodon	extinct
Nesodon	extinct
Notodiaphorus	extinct
Notopithecus	extinct
Notostylops	extinct
Oldfieldthomasia	extinct
Orome	extinct
Orthogeniops	extinct
Ortholophodon	extinct
Othnielmarshia	extinct
Otrhonia	extinct
Paginula	extinct
Pampahippus	extinct
Pampatemnus	extinct
Paranisolambda	extinct
Parastrapotherium	extinct
Pascualihippus	extinct
Patagonhippus	extinct
Paulogervaisia	extinct
Peripantostylops	extinct
Periphragnis	extinct
Perutherium	extinct
Phoradiadius	extinct
Pleurostylodon	extinct
Polyacrodon	extinct
Polymorphis	extinct
Proadiantus	extinct
Proadinotherium	extinct
Proargyrohyrax	extinct
Proectocion	extinct
Progaleopithecus	extinct
Prohegetotherium	extinct
Propachyrucos	extinct
Propyrotherium	extinct
Prosotherium	extinct
Protarchaeohyrax	extinct
Proterotherium	extinct
Protheosodon	extinct
Proticia	extinct
Protolipterna	extinct
Protypotherium	extinct
Pseudhyrax	extinct
Pseudohegetotherium	extinct
Pseudopachyrucos	extinct
Puelia	extinct
Punahyrax	extinct
Punapithecus	extinct
Pyrotherium	extinct
Rhynchippus	extinct
Rhyphodon	extinct
Ricardocifellia	extinct
Ricardolydekkeria	extinct
Rosendo	extinct
Rosendolops	extinct
Rutimeyeria	extinct
Salladolodus	extinct
Sallatherium	extinct
Saltaodus	extinct
Santiagorothia	extinct
Scaglia	extinct
Scarrittia	extinct
Sparnotheriodon	extinct
Suniodon	extinct
Taubatherium	extinct
Teratopithecus	extinct
Termastherium	extinct
Tetragonostylops	extinct
Teushentherium	extinct
Thadanius	extinct
Thomashuxleya	extinct
Trachytherus	extinct
Transpithecus	extinct
Tricoelodus	extinct
Trigonolophodon	extinct
Trigonostylops	extinct
Trimerostephanos	extinct
Tsamnichoria	extinct
Ultrapithecus	extinct
Umayodus	extinct
Uruguaytherium	extinct
Victorlemoineia	extinct
Xenastrapotherium	extinct
Xenostephanus	extinct
Xesmodon	extinct
