Species	Status
?_Eocoleophorus	extinct
Archaeutatus	extinct
Astegotherium	extinct
Barrancatatus	extinct
cf._Yuruatherium	extinct
Clypeotherium	extinct
Deseadognathus	extinct
Glyptatelus	extinct
Kuntinaru	extinct
Lomaphorelus	extinct
Lumbreratherium	extinct
Machlydotherium	extinct
Mazzoniphractus	extinct
Meteutatus	extinct
Octodontotherium	extinct
Palaeopeltis	extinct
Parastegosimpsonia	extinct
Paroctodontotherium	extinct
Parutaetus	extinct
Peltephilus	extinct
Proeocoleophorus	extinct
Prostegotherium	extinct
Prozaedyus	extinct
Pseudeutatus	extinct
Pseudoglyptodon	extinct
Pseudostegotherium	extinct
Pucatherium	extinct
Punatherium	extinct
Riostegotherium	extinct
Ronwolffia	extinct
Saltatherium	extinct
Stegosimpsonia	extinct
Stenotatus	extinct
tegotherium	extinct
Utaetus	extinct
Vassallia	extinct
Yuruatherium	extinct
