Species	Status
?_Eocoleophorus	extinct
?Sallamys	extinct
aff._Tarapotomys	extinct
Anayatherium	extinct
Andinogale	extinct
Antawallathentes	extinct
Antofagastia	extinct
Apeirodon	extinct
Austropediomys	extinct
Baguatherium	extinct
Balsayacuy	extinct
Bergqvistherium	extinct
Bonapartherium	extinct
Boreastylops	extinct
Branisamys	extinct
Branisella	extinct
Brucemacfaddenia	extinct
Cachiyacuy	extinct
Callistoe	extinct
Campanorco	extinct
Canaanimico	extinct
Canaanimys	extinct
Carolocoutoia	extinct
cf._Cachiyacuy	extinct
cf._Eoespina	extinct
cf._Perulestes	extinct
cf._Pozomys	extinct
cf._Proargyrolagus	extinct
cf._Tarapotomys	extinct
cf._Yuruatherium	extinct
Chachapoyamys	extinct
Chambiramys	extinct
Cholamys	extinct
Chulpasia	extinct
Colombitherium	extinct
Coloradolops	extinct
Coniopternium	extinct
Coquenia	extinct
Cynthiacetus	extinct
Diogenesia	extinct
Dolichostylodon	extinct
Eobrasilia	extinct
Eodelphomys	extinct
Eoespina	extinct
Eoincamys	extinct
Eopicure	extinct
Eopululo	extinct
Eosachacui	extinct
Eosallamys	extinct
Federicoanaya	extinct
Fredszalaya	extinct
Gaylordia	extinct
Griphodon	extinct
Griphotherion	extinct
Incadolops	extinct
Indalecia	extinct
Kichkasteiromys	extinct
Kirutherium	extinct
Kiruwamaq	extinct
Kuntinaru	extinct
Lamegoia	extinct
Lapazomys	extinct
Loretomys	extinct
Lumbreratherium	extinct
Martinmiguelia	extinct
Mayomys	extinct
Migraveramus	extinct
Miguelsoria	extinct
Minusculodelphis	extinct
Moqueguahippus	extinct
Mystacodon	extinct
Nanolophodon	extinct
Ocucajea	extinct
Pachycetus	extinct
Palaeocladosictis	extinct
Palaeosteiromys	extinct
Pampahippus	extinct
Pampatemnus	extinct
Paraborhyaena	extinct
Paranisolambda	extinct
Parastegosimpsonia	extinct
Paroctodontotherium	extinct
Pascualihippus	extinct
Paulacoutomys	extinct
Peradectes	extinct
Peregocetus	extinct
Peridolopidae_gen_A	extinct
Periprotodidelphis	extinct
Perulestes	extinct
Perupithecus	extinct
Perutherium	extinct
Plesiosteiromys	extinct
Pozomys	extinct
Prepidolops	extinct
Proeocoleophorus	extinct
Proticia	extinct
Protolipterna	extinct
Pucatherium	extinct
Punadolops	extinct
Punahyrax	extinct
Punapithecus	extinct
Punatherium	extinct
Reigia	extinct
Ricardocifellia	extinct
Riolestes	extinct
Ronwolffia	extinct
Rumiodon	extinct
Salladolodus	extinct
Sallamys	extinct
Sallatherium	extinct
Saltaodus	extinct
Saltatherium	extinct
Sasawatsu	extinct
Selvamys	extinct
Shapajamys	extinct
Sillustania	extinct
Suniodon	extinct
Supayacetus	extinct
Tacheria	extinct
Tarapotomys	extinct
Taubatherium	extinct
tegotherium	extinct
Thadanius	extinct
Ucayalimys	extinct
Ucayalipithecus	extinct
Umayodus	extinct
Urkudelphis	extinct
Vucetichimys	extinct
Wamradolops	extinct
Wirunodon	extinct
Xenastrapotherium	extinct
Yuruatherium	extinct
Zeusdelphys	extinct
