Species	Status
?Sallamys	extinct
Anayatherium	extinct
Archaeophylus	extinct
Archaeutatus	extinct
Asmithwoodwardia	extinct
Astegotherium	extinct
Astraponotus	extinct
Balsayacuy	extinct
Bardalestes	extinct
Barrancatatus	extinct
Branisamys	extinct
Campanorco	extinct
Canaanimico	extinct
Carodnia	extinct
Changquin	extinct
Chlorocyon	extinct
Coniopternium	extinct
Deseadomys	extinct
Distylophorus	extinct
Eobranisamys	extinct
Eomorphippus	extinct
Eosallamys	extinct
Epiklohnia	extinct
Federicoanaya	extinct
Fredszalaya	extinct
Griphodon	extinct
Homalostylops	extinct
Incamys	extinct
Isotypotherium	extinct
Kichkasteiromys	extinct
Lapazomys	extinct
Loretomys	extinct
Mendozahippus	extinct
Moqueguahippus	extinct
Nemolestes	extinct
Paginula	extinct
Palaeosteiromys	extinct
Palangania	extinct
Pampahippus	extinct
Parastegosimpsonia	extinct
Parutaetus	extinct
Pascualihippus	extinct
Patagonia	extinct
Patene	extinct
Paulacoutomys	extinct
Peridolopidae_gen_A	extinct
Perutherium	extinct
Pharsophorus	extinct
Platypittamys	extinct
Plesiosteiromys	extinct
Pleurostylodon	extinct
Proadinotherium	extinct
Pseudostegotherium	extinct
Punadolops	extinct
Pyrotherium	extinct
Rosendo	extinct
Rosendolops	extinct
Sallatherium	extinct
Scarrittia	extinct
Scleromys	extinct
Steiromys	extinct
Stenotatus	extinct
Teratopithecus	extinct
Teushentherium	extinct
Thadanius	extinct
Thomashuxleya	extinct
Trelewthentes	extinct
Ucayalimys	extinct
Wamradolops	extinct
Xenastrapotherium	extinct
