Species	Status
Abderites	extinct
Acdestis	extinct
Amphidolops	extinct
Andinogale	extinct
Angelocabrerus	extinct
Antawallathentes	extinct
Apeirodon	extinct
Archaeodolops	extinct
Arminiheringia	extinct
Australohyaena	extinct
Bardalestes	extinct
Bobbschaefferia	extinct
Bonapartherium	extinct
Callistoe	extinct
Carlothentes	extinct
cf._Perulestes	extinct
cf._Proargyrolagus	extinct
Chlorocyon	extinct
Coloradolops	extinct
Eomakhaira	extinct
Epidolops	extinct
Epiklohnia	extinct
Eudolops	extinct
Evolestes	extinct
Fredszalaya	extinct
Gashternia	extinct
Hypodolops	extinct
Incadolops	extinct
Klohnia	extinct
Kramadolops	extinct
Nemolestes	extinct
Notogale	extinct
Palaeothentes	extinct
Palangania	extinct
Parabderites	extinct
Paraborhyaena	extinct
Patagonia	extinct
Patene	extinct
Peridolopidae_gen_A	extinct
Perulestes	extinct
Pharsophorus	extinct
Pilchenia	extinct
Plesiofelis	extinct
Polydolops	extinct
Praedens	extinct
Prepidolops	extinct
Proargyrolagus	extinct
Proborhyaena	extinct
Procladosictis	extinct
Pseudhalmarhiphus	extinct
Pseudolops	extinct
Punadolops	extinct
Riolestes	extinct
Sallacyon	extinct
Sasawatsu	extinct
Sillustania	extinct
Trelewthentes	extinct
Wamradolops	extinct
