Species	Status
Andinogale_sallensis	extinct
Angelocabrerus_daptes	extinct
Arminiheringia	extinct
Arminiheringia_auceta	extinct
Arminiheringia_contigua	extinct
Australohyaena_antiqua	extinct
Callistoe_vincei	extinct
Chlorocyon_phantasma	extinct
Eobrasilia_coutoi	extinct
Eomakhaira_molossus	extinct
Fredszalaya_hunteri	extinct
Nemolestes	extinct
Nemolestes_spalacotherinus	extinct
Notogale_mitis	extinct
Paraborhyaena_boliviana	extinct
Patene	extinct
Patene_campbelli	extinct
Patene_coluapiensis	extinct
Patene_simpsoni	extinct
Pharsophorus	extinct
Pharsophorus_lacerans	extinct
Pharsophorus_tenax	extinct
Plesiofelis_schlosseri	extinct
Proborhyaena	extinct
Proborhyaena_gigantea	extinct
Procladosictis	extinct
Procladosictis_anomala	extinct
Sallacyon_hoffstetteri	extinct
