Species	Status	min_age	max_age
Clenia_brevis	extinct	33.3	35
Eomicrobiotherium	extinct	47.8	56
Eomicrobiotherium_matutinum	extinct	23.03	27.82
Eomicrobiotherium_matutinum	extinct	33.3	33.9
Kirutherium_paititiensis	extinct	28.1	37.71
Microbiotherium	extinct	27.82	33.9
Mirandatherium_alipioi	extinct	47.8	56
Mirandatherium_alipioi	extinct	47.8	56
Woodburnodon	extinct	47.8	56
Bardalestes	extinct	47.8	56
Bardalestes_hunco	extinct	47	47.8
Evolestes	extinct	28.1	33.9
Evolestes_hadrommatos	extinct	24.5	26
Evolestes_hadrommatos	extinct	24.5	26
Riolestes_capricornicus	extinct	47.8	56
Abderites_b	extinct	23.03	27.82
Abderites_b	extinct	23.03	27.82
Abderites_b	extinct	23.03	27.82
Parabderites_minusculus	extinct	23.03	27.82
Pliolestes_tripotamicus	extinct	3.6	5.333
Pliolestes_tripotamicus	extinct	4.48	5.17
Pliolestes_tripotamicus	extinct	3.6	5.333
Pliolestes_venetus	extinct	5.333	11.63
Pliolestes_venetus	extinct	5.333	11.63
Pliolestes_venetus	extinct	5.333	11.63
Acdestis_bonapartei	extinct	23.03	27.82
Antawallathentes	extinct	24.5	26
Antawallathentes_illimani	extinct	24.5	26
Carlothentes_chubutensis	extinct	23.03	27.82
Carlothentes_chubutensis	extinct	23.03	27.82
Palaeothentes_boliviensis	extinct	23.03	27.82
Palaeothentes_boliviensis	extinct	23.03	27.82
Palaeothentes_boliviensis	extinct	23.03	27.82
Palaeothentes_marshalli	extinct	28.1	33.9
Palaeothentes_migueli	extinct	28.1	33.9
Trelewthentes_rothi	extinct	28.1	33.9
cf. Perulestes	extinct	33.9	37.71
Perulestes	extinct	37.71	47.8
Perulestes	extinct	37.71	47.8
Perulestes	extinct	37.71	47.8
Perulestes_cardichi	extinct	28.1	37.71
Perulestes_fraileyi	extinct	28.1	37.71
Pilchenia_antiqua	extinct	27.82	33.9
Pilchenia_intermedia	extinct	30.617	30.77
Pilchenia_lucina	extinct	23.03	27.82
Pilchenia_lucina	extinct	23.03	27.82
Pseudhalmarhiphus_guaraniticus	extinct	27.82	33.9
Sasawatsu	extinct	37.71	47.8
