Species	Status
Abderites_b	extinct
Acdestis_bonapartei	extinct
Amphidolops	extinct
Amphidolops_intermedius	extinct
Amphidolops_minimus	extinct
Amphidolops_serrula	extinct
Andinogale_sallensis	extinct
Angelocabrerus_daptes	extinct
Antawallathentes	extinct
Antawallathentes_illimani	extinct
Apeirodon_sorianoi	extinct
Archaeodolops_clavulus	extinct
Arminiheringia_a	extinct
Arminiheringia_auceta	extinct
Arminiheringia_b	extinct
Arminiheringia_contigua	extinct
Australohyaena_antiqua	extinct
Bardalestes	extinct
Bardalestes_hunco	extinct
Bobbschaefferia_a	extinct
Bobbschaefferia_b	extinct
Bobbschaefferia_fluminensis	extinct
Bonapartherium	extinct
Bonapartherium_serrensis	extinct
Callistoe_vincei	extinct
Carlothentes_chubutensis	extinct
cf._Perulestes	extinct
cf._Proargyrolagus	extinct
Chlorocyon_phantasma	extinct
Clenia_brevis	extinct
Coloradolops_cardonensis	extinct
Eomakhaira_molossus	extinct
Eomicrobiotherium	extinct
Eomicrobiotherium_matutinum	extinct
Epidolops	extinct
Epidolops_ameghinoi	extinct
Epiklohnia_verticalis	extinct
Eudolops_tetragonus	extinct
Evolestes	extinct
Evolestes_hadrommatos	extinct
Fredszalaya_hunteri	extinct
Gashternia	extinct
Gashternia_carioca	extinct
Gashternia_ctalehor	extinct
Hypodolops_sapoensis	extinct
Incadolops_ucayali	extinct
Kirutherium_paititiensis	extinct
Klohnia_charrieri	extinct
Klohnia_major	extinct
Kramadolops_abanicoi	extinct
Kramadolops_fissuratus	extinct
Kramadolops_hernandezi	extinct
Kramadolops_maximus	extinct
Kramadolops_mayoi	extinct
Kramadolops_mckennai	extinct
Microbiotherium	extinct
Mirandatherium_alipioi	extinct
Nemolestes_a	extinct
Nemolestes_b	extinct
Nemolestes_spalacotherinus	extinct
Notogale_mitis	extinct
Palaeothentes_boliviensis	extinct
Palaeothentes_marshalli	extinct
Palaeothentes_migueli	extinct
Palangania	extinct
Palangania_brandmayri	extinct
Parabderites_minusculus	extinct
Paraborhyaena_boliviana	extinct
Patagonia_peregrina	extinct
Patene	extinct
Patene_campbelli	extinct
Patene_coluapiensis	extinct
Patene_simpsoni	extinct
Peridolopidae_gen_A	extinct
Perulestes	extinct
Perulestes_cardichi	extinct
Perulestes_fraileyi	extinct
Pharsophorus	extinct
Pharsophorus_lacerans	extinct
Pharsophorus_tenax	extinct
Pilchenia_antiqua	extinct
Pilchenia_intermedia	extinct
Pilchenia_lucina	extinct
Plesiofelis_schlosseri	extinct
Pliodolops_kamektsen	extinct
Pliodolops_primulus	extinct
Pliodolops_rothi	extinct
Pliodolops_winecage	extinct
Polydolops	extinct
Polydolops_crassus	extinct
Polydolops_serra	extinct
Polydolops_thomasi	extinct
Polydolops_unicus	extinct
Praedens_aberrans	extinct
Prepidolops	extinct
Prepidolops_molinai	extinct
Proargyrolagus	extinct
Proargyrolagus_bolivianus	extinct
Proborhyaena	extinct
Proborhyaena_gigantea	extinct
Procladosictis	extinct
Procladosictis_anomala	extinct
Pseudhalmarhiphus_guaraniticus	extinct
Pseudolops_princeps	extinct
Punadolops_alonsoi	extinct
Riolestes_capricornicus	extinct
Sallacyon_hoffstetteri	extinct
Sasawatsu	extinct
Sasawatsu_mahaynaq	extinct
Trelewthentes_rothi	extinct
Wamradolops	extinct
Wamradolops_tsullodon	extinct
Woodburnodon	extinct
