Species	Status
?Sallamys	extinct
Abrocoma_antiqua	extinct
Abrothrix_kermacki	extinct
Acarechimys_d	extinct
Acarechimys_leucotheae	extinct
Actenomys	extinct
Actenomys_priscus	extinct
aff._Eosallamys_sp.	extinct
aff._Tarapotomys	extinct
aff._Tarapotomys_sp.	extinct
Allocavia_chasicoense	extinct
Anatochoerus	extinct
Anchimysops_villalobosi	extinct
Andemys_termasi	extinct
Arazamys_castiglionii	extinct
Asteromys_bolivianus	extinct
Asteromys_puelche	extinct
Asteromys_punctus	extinct
Balsayacuy	extinct
Balsayacuy_huallagaensis	extinct
Branisamys_luribayensis	extinct
Briaromys	extinct
Briaromys_trouessartianus	extinct
Cachiyacuy_cf._contamanensis	extinct
Cachiyacuy_cf._kummeli	extinct
Cachiyacuy_contamanensis	extinct
Cachiyacuy_kummeli	extinct
Cachiyacuy_sp.	extinct
Canaanimys_maquiensis	extinct
Canaanimys_sp.	extinct
Cantracavia	extinct
Cardiatherium_a	extinct
Cardiatherium_b	extinct
Cardiatherium_calingastaense	extinct
Cardiatherium_chasicoense	extinct
Cardiatherium_d	extinct
Cardiatherium_dubium	extinct
Cardiatherium_isseli	extinct
Cardiatherium_paranense	extinct
Cardiatherium_patagonicum	extinct
Cardiatherium_rosendoi	extinct
Cardiatherium_talicei	extinct
Cardiomys_a	extinct
Cardiomys_ameghinorum	extinct
Cardiomys_b	extinct
Cardiomys_leufuensis	extinct
Carlesia	extinct
Cavia_aperea	extant
Cavia_cabrerai	extinct
Caviodon_a	extinct
Caviodon_andalhualensis	extinct
Caviodon_australis	extinct
Caviodon_b	extinct
Caviodon_c	extinct
Caviodon_cuyano	extinct
Caviodon_multiplicatus	extinct
Caviodon_pozzii	extinct
Cephalomyopsis_a	extinct
Cephalomyopsis_b	extinct
Cephalomys	extinct
Cephalomys_arcidens	extinct
Cephalomys_ceciae	extinct
Cercomys	extinct
Cercomys_primitiva	extinct
cf._Cachiyacuy_kummeli	extinct
cf._Eoespina	extinct
cf._Pozomys_ucayaliensis	extinct
cf._Tarapotomys	extinct
Chachapoyamys_cf._kathetos	extinct
Chachapoyamys_kathetos	extinct
Chambiramys_shipiborum	extinct
Chambiramys_sylvaticus	extinct
Changquin_woodi	extinct
Chasichimys	extinct
Chasichimys_bonaerense	extinct
Chasichimys_scagliai	extinct
Chasicomys	extinct
Chasicomys_cangapoli	extinct
Chasicomys_octodontiforme	extinct
Cholamys_tetralophodonta	extinct
Chubutomys_navaensis	extinct
Chubutomys_simpsoni	extinct
Chukimys_favaloroi	extinct
Colpostemma	extinct
Contracavia	extinct
Ctenomys	extinct
Ctenomys_priscus	extinct
Dankomys_simpsoni	extinct
Deseadomys_arambourgi	extinct
Diaphoromys	extinct
Diaphoromys_mesopotamicus	extinct
Discolomys_cuneus	extinct
Disteiromys_graciloides	extinct
Doellomys	extinct
Dolicavia	extinct
Dolicavia_minuscula	extinct
Dolichotis	extinct
Dolichotis_minuscula	extinct
Draconomys_verai	extinct
Drytomomys_a	extinct
Drytomomys_b	extinct
Eobranisamys_a	extinct
Eobranisamys_b	extinct
Eobranisamys_javierpradoi	extinct
Eobranisamys_riverai	extinct
Eobranisamys_romeropittmanae	extinct
Eodelphomys_almeidacomposi	extinct
Eoespina	extinct
Eoespina_woodi	extinct
Eoincamys	extinct
Eoincamys_aff._pascuali	extinct
Eoincamys_ameghinoi	extinct
Eoincamys_cf._pascuali	extinct
Eoincamys_parvus	extinct
Eoincamys_pascuali	extinct
Eoincamys_sp.	extinct
Eoincamys_valverdei	extinct
Eopicure_kraglievichi	extinct
Eopululo_sp.	extinct
Eopululo_wigmorei	extinct
Eosachacui_lavocati	extinct
Eosallamys_paulacoutoi	extinct
Eosallamys_simpsoni	extinct
Eoviscaccia_a	extinct
Eoviscaccia_australis	extinct
Eoviscaccia_b	extinct
Eoviscaccia_frassinettii	extinct
Epiblema_horridula	extinct
Ethelomys	extinct
Eucelophorus	extinct
Eucelophorus_chapalmalensis	extinct
Eucoelophorus	extinct
Eumegamys_a	extinct
Eumegamys_b	extinct
Eumegamys_c	extinct
Eumegamys_contortus	extinct
Eumegamys_paranensis	extinct
Eumegamys_scalabrinianus	extinct
Eumegamysops	extinct
Eumegamysops_praependens	extinct
Eumysops	extinct
Eumysops_chapadmalensis	extinct
Eumysops_formosus	extinct
Eumysops_gracilis	extinct
Eumysops_laeviplicatus	extinct
Eumysops_parodii	extinct
Eusigmomys_oppositus	extinct
Ferigolomys_pacarana	extinct
Galea	extinct
Galileomys_baios	extinct
Graomys_dorae	extinct
Gyriabrus_a	extinct
Gyriabrus_b	extinct
Gyriabrus_royoi	extinct
Haplostropha	extinct
Hydrochoerus	extinct
Incamys_bolivianus	extinct
Incamys_menniorum	extinct
Isostylomys	extinct
Isostylomys_laurillardi	extinct
Kichkasteiromys_raimondii	extinct
Kiyutherium_orientalis	extinct
Kiyutherium_scillatoyanei	extinct
Kraglievichimys_formosus	extinct
Lagostomus	extinct
Lagostomus_(Lagostomopsis)	extinct
Lagostomus_(Lagostomopsis)_a	extinct
Lagostomus_(Lagostomopsis)_b	extinct
Lagostomus_compressidens	extinct
Lagostomus_euplasius	extinct
Lagostomus_pretrichodactyla	extinct
Lagostomus_telenkechanum	extinct
Lapazomys_hartenbergeri	extinct
Leucokephalos_zeffiae	extinct
Litodontomys_chubutensis	extinct
Llitun_notuca	extinct
Loncolicu_tretos	extinct
Loretomys_minutus	extinct
Mayomys_confluens	extinct
Megamys_burmeisteri	extinct
Microcavia	extinct
Microcavia_isolinense	extinct
Migraveramus_beatus	extinct
Migraveramus_lavocati	extinct
Migraveramus_quispea	extinct
Myocastor	extinct
Necromys_bonapartei	extinct
Neocavia	extinct
Neocavia_depressidens	extinct
Neocavia_lozanoi	extinct
Neocavia_pampeana	extinct
Neoepiblema_a	extinct
Neoepiblema_acreensis	extinct
Neoepiblema_b	extinct
Neoepiblema_c	extinct
Neoepiblema_d	extinct
Neoepiblema_horridula	extinct
Neophanomys	extinct
Neophanomys_biplicatus	extinct
Neophanomys_pristinus	extinct
Neophanomys_recens	extinct
Neoreomys_b	extinct
Neoreomys_huilensis	extinct
Neosteiromys	extinct
Neosteiromys_pattoni	extinct
Olenopsis_typicus	extinct
Orthomyctera_a	extinct
Orthomyctera_andina	extinct
Orthomyctera_b	extinct
Orthomyctera_brocherense	extinct
Orthomyctera_lacunosa	extinct
Palaeocavia	extinct
Palaeocavia_brocherense	extinct
Palaeocavia_mawka	extinct
Palaeoctodon_simplicidens	extinct
Palaeosteiromys_amazonensis	extinct
Pampamys_emmonsae	extinct
Paradoxomys	extinct
Paradoxomys_cancrivorus	extinct
Paramyocastor_diligens	extinct
Paranamys	extinct
Paranamys_typicus	extinct
Parodimys	extinct
Pascualia_laeviplicata	extinct
Paulacoutomys_paulista	extinct
Pentastylodon	extinct
Pentastylomys	extinct
Perimys_scalabrinianus	extinct
Phoberomys_a	extinct
Phoberomys_b	extinct
Phoberomys_bordasi	extinct
Phoberomys_burmeisteri	extinct
Phoberomys_c	extinct
Phoberomys_d	extinct
Phoberomys_pattersoni	extinct
Phtoramys	extinct
Phtoramys_hidalguense	extinct
Phtoramys_homogenidens	extinct
Phugatherium_a	extinct
Phugatherium_b	extinct
Phugatherium_cataclisticum	extinct
Phugatherium_novum	extinct
Pithanotomys	extinct
Pithanotomys_columnaris	extinct
Pithanotomys_cordubensis	extinct
Pithanotomys_macer	extinct
Platypittamys_brachyodon	extinct
Plesiosteiromys_newelli	extinct
Pliodolichotis	extinct
Potamarchus_a	extinct
Potamarchus_adamiae	extinct
Potamarchus_b	extinct
Potamarchus_c	extinct
Potamarchus_d	extinct
Potamarchus_murinus	extinct
Pozomys	extinct
Pozomys_ucayaliensis	extinct
Praectenomys	extinct
Praectenomys_rhombidens	extinct
Procardiatherium_rosendoi	extinct
Procardiomys	extinct
Procardiomys_martinoi	extinct
Prodolichotis_a	extinct
Prodolichotis_c	extinct
Prodolichotis_prisca	extinct
Prolagostomus_a	extinct
Prolagostomus_pusillus	extinct
Propediolagus	extinct
Propediolagus_marplatensis	extinct
Protabrocoma_a	extinct
Protabrocoma_antiqua	extinct
Protabrocoma_b	extinct
Protacaremys_adilos	extinct
