Species	Status	min_age	max_age
Austropediomys_marshalli	extinct	47.8	56
Chulpasia_mattaueri	extinct	47.8	59.2
Eutrochodon_inceptus	extinct	33.9	37.71
Fieratherium_sorex	extinct	23.03	27.82
Florentinoameghinia_mystica	extinct	41.3	47.8
Florentinoameghinia_mystica	extinct	37.71	47.8
Groeberia_minoprioi	extinct	27.82	37.71
Groeberia_pattersoni	extinct	37.71	47.8
Groeberia_pattersoni	extinct	37.71	47.8
Marmosopsis	extinct	47.8	59.2
Marmosopsis	extinct	47.8	56
Marmosopsis_juradoi	extinct	47.8	56
Monodelphopsis	extinct	47.8	56
Monodelphopsis_travassosi	extinct	47.8	56
Palaeocladosictis_mosesi	extinct	47.8	56
Picunia_nitida	extinct	33.9	37.71
Trilobodon_brancoi	extinct	33.9	37.71
Trilobodon_brancoi	extinct	33.9	37.71
Wirunodon_chanku	extinct	28.1	33.9
Zeusdelphys_complicatus	extinct	47.8	56
Coona_gaudryi	extinct	38	41.2
Coona_gaudryi	extinct	38	41.2
Coona_gutierrezi	extinct	37.71	47.8
Coona_pattersoni	extinct	37.71	47.8
Derorhynchus	extinct	47.8	56
Derorhynchus	extinct	47.8	56
Derorhynchus_minutus	extinct	61.6	66
Derorhynchus_minutus	extinct	47.8	56
Derorhynchus_singularis	extinct	47.8	56
Diogenesia_brevirostris	extinct	47.8	56
Pauladelphys	extinct	41.3	47.8
Pauladelphys	extinct	47.8	56
Periakros_ambiguus	extinct	27.82	33.9
Reigia_punae	extinct	33.9	37.71
Rumiodon	extinct	28.1	37.71
Rumiodon	extinct	37.71	47.8
Rumiodon_inti	extinct	28.1	37.71
Jaskhadelphys_minutus	extinct	61.6	66
Kiruwamaq_chisu	extinct	28.1	37.71
Minusculodelphis_minimus	extinct	47.8	56
Minusculodelphis_modicum	extinct	47.8	56
Canchadelphys_cristata	extinct	27.82	33.9
Caroloameghinia	extinct	38	41.2
Caroloameghinia_mater	extinct	38	41.2
Caroloameghinia_mater	extinct	38	41.2
Caroloameghinia_mater	extinct	38	41.2
Caroloameghinia_mater	extinct	38	41.2
Caroloameghinia_mater	extinct	37.71	47.8
Caroloameghinia_tenuis	extinct	38	41.2
Caroloameghinia_tenuis	extinct	37.71	47.8
Peradectes_austrinum	extinct	61.6	66
