Species	Status
?_Eocoleophorus_glyptodontoides	extinct
?Sallamys	extinct
Abderites_b	extinct
Abothrodon_pricei	extinct
Abrocoma_antiqua	extinct
Abrothrix_kermacki	extinct
Acamana	extinct
Acamana_ambiguus	extinct
Acarechimys_d	extinct
Acarechimys_leucotheae	extinct
Acdestis_bonapartei	extinct
Acdestoides_praecursor	extinct
Acoelodus_debilitatus	extinct
Acoelodus_oppositus	extinct
Acoelodus_proclivus	extinct
Acoelodus_terminalis	extinct
Acoelohyrax	extinct
Acoelohyrax_coalitus	extinct
Acoelohyrax_coarctatus	extinct
Acoelohyrax_complicatissimus	extinct
Acoelohyrax_coronatus	extinct
Acoelohyrax_sigma	extinct
Acrecebus_fraileyi	extinct
Acrophoca_a	extinct
Acrophoca_b	extinct
Acrophoca_longirostris	extinct
Acrophyseter	extinct
Acrophyseter_deinodon	extinct
Acrophyseter_robustus	extinct
Actenomys	extinct
Actenomys_priscus	extinct
Adiantoides_leali	extinct
Adiantoides_magnus	extinct
Adinotherium_a	extinct
aff._Eosallamys_sp.	extinct
aff._Tarapotomys	extinct
aff._Tarapotomys_sp.	extinct
Africanacetus_gracilis	extinct
Albertogaudrya	extinct
Albertogaudrya_carahuasensis	extinct
Albertogaudrya_robusta	extinct
Albertogaudrya_unica	extinct
Alcidedorbignya_inopinata	extinct
Alitoxodon_a	extinct
Alitoxodon_b	extinct
Allalmeia_atalaensis	extinct
Allocavia_chasicoense	extinct
Amilnedwardsia_brevicula	extinct
Amphidolops	extinct
Amphidolops_intermedius	extinct
Amphidolops_minimus	extinct
Amphidolops_serrula	extinct
Amphidolops_yapa	extinct
Amphiocnus_paranense	extinct
Anadasypus	extinct
Anadasypus_aequatorianus	extinct
Anatochoerus	extinct
Anayatherium	extinct
Anayatherium_ekecoa	extinct
Anayatherium_fortis	extinct
Anchimysops_villalobosi	extinct
Ancylocoelus_frequens	extinct
Ancylocoelus_minor	extinct
Andemys_termasi	extinct
Andinodelphys_cochabambensis	extinct
Andinogale_sallensis	extinct
Angelocabrerus_daptes	extinct
Anisodontherium	extinct
Anisodontherium_halmyronomum	extinct
Anisolambda	extinct
Anisolambda_amel	extinct
Anisolambda_fissidens	extinct
Anisotemnus	extinct
Anisotemnus_distentus	extinct
Antawallathentes	extinct
Antawallathentes_illimani	extinct
Antepithecus	extinct
Antepithecus_brachystephanus	extinct
Antepithecus_innexus	extinct
Antofagastia	extinct
Antofagastia_turneri	extinct
Apeirodon_sorianoi	extinct
Arazamys_castiglionii	extinct
Archaebalaenoptera_eusebioi	extinct
Archaeodolops_clavulus	extinct
Archaeogaia_macachaae	extinct
Archaeohyrax_a	extinct
Archaeohyrax_b	extinct
Archaeohyrax_patagonicus	extinct
Archaeohyrax_suniensis	extinct
Archaeophylus_patrius	extinct
Archaeopithecus_rogeri	extinct
Archaeotypotherium_a	extinct
Archaeotypotherium_b	extinct
Archaeotypotherium_pattersoni	extinct
Archaeotypotherium_propheticus	extinct
Archaeotypotherium_tinguiriricaense	extinct
Archaeutatus	extinct
Archaeutatus_malaspinensis	extinct
Argyrohyrax_a	extinct
Argyrohyrax_b	extinct
Argyrohyrax_proavus	extinct
Argyrohyus	extinct
Argyrolagus	extinct
Argyrolagus_palmeri	extinct
Argyrolagus_rusconii	extinct
Arminiheringia_a	extinct
Arminiheringia_auceta	extinct
Arminiheringia_b	extinct
Arminiheringia_contigua	extinct
Asmithwoodwardia	extinct
Asmithwoodwardia_scotti	extinct
Asmithwoodwardia_subtrigona	extinct
Asmodeus	extinct
Asmodeus_osborni	extinct
Asmodeus_petrasnerus	extinct
Aspidocalyptus	extinct
Aspidocalyptus_castroi	extinct
Astegotherium	extinct
Astegotherium_sp._nov.	extinct
Asteromys_bolivianus	extinct
Asteromys_puelche	extinct
Asteromys_punctus	extinct
Asterostemma	extinct
Astraponotus	extinct
Astraponotus_assymmetrus	extinct
Astraponotus_dicksoni	extinct
Astraponotus_dilatatus	extinct
Astraponotus_holdichi	extinct
Astraponotus_thompsoni	extinct
Atocetus_iquensis	extinct
Australithax_intermedia	extinct
Australohyaena_antiqua	extinct
Australophoca_changorum	extinct
Austropediomys_marshalli	extinct
Aymaratherium_jeani	extinct
Baguatherium_jaureguii	extinct
Balaenoptera_acutorostrata	extinct
Balaenoptera_b	extinct
Balaenoptera_siberi	extinct
Balsayacuy	extinct
Balsayacuy_huallagaensis	extinct
Bardalestes	extinct
Bardalestes_hunco	extinct
Barrancatatus_maddeni	extinct
Barrancatatus_rigidus	extinct
Barrancatatus_tinguiririquensis	extinct
Belonodelphis_peruanus	extinct
Bergqvistherium_primigenia	extinct
Berroia	extinct
Bobbschaefferia_a	extinct
Bobbschaefferia_b	extinct
Bobbschaefferia_fluminensis	extinct
Bolivartherium_codorensis	extinct
Bolivartherium_urumaquensis	extinct
Bonapartherium	extinct
Bonapartherium_serrensis	extinct
Boreastylops_lumbrerensis	extinct
Boreostemma_pliocena	extinct
Borhyaenidium	extinct
Borhyaenidium_altiplanicus	extinct
Borhyaenidium_musteloides	extinct
Borhyaenidium_riggsi	extinct
Bounodus_enigmaticus	extinct
Brachydelphis_a	extinct
Brachydelphis_b	extinct
Brachydelphis_jahuayensis	extinct
Brachydelphis_mazeasi	extinct
Brachystephanus_postremus	extinct
Brachytherium	extinct
Brachytherium_cuspidatum	extinct
Brachytherium_gradatum	extinct
Branisamys_luribayensis	extinct
Branisella_boliviana	extinct
Briaromys	extinct
Briaromys_trouessartianus	extinct
Brucemacfaddenia_boliviensis	extinct
Bryanpattersonia_nesodontoides	extinct
