Species	Status
?_Eocoleophorus_glyptodontoides	extinct
?Sallamys	extinct
Abderites_b	extinct
Acamana	extinct
Acamana_ambiguus	extinct
Acarechimys_leucotheae	extinct
Acdestis_bonapartei	extinct
Acdestoides_praecursor	extinct
Acoelodus_debilitatus	extinct
Acoelodus_oppositus	extinct
Acoelodus_proclivus	extinct
Acoelodus_terminalis	extinct
Acoelohyrax	extinct
Acoelohyrax_coalitus	extinct
Acoelohyrax_coarctatus	extinct
Acoelohyrax_complicatissimus	extinct
Acoelohyrax_coronatus	extinct
Acoelohyrax_sigma	extinct
Adiantoides_leali	extinct
Adiantoides_magnus	extinct
aff._Eosallamys_sp.	extinct
aff._Tarapotomys	extinct
aff._Tarapotomys_sp.	extinct
Albertogaudrya	extinct
Albertogaudrya_carahuasensis	extinct
Albertogaudrya_robusta	extinct
Albertogaudrya_unica	extinct
Allalmeia_atalaensis	extinct
Amilnedwardsia_brevicula	extinct
Amphidolops	extinct
Amphidolops_intermedius	extinct
Amphidolops_minimus	extinct
Amphidolops_serrula	extinct
Anayatherium	extinct
Anayatherium_ekecoa	extinct
Anayatherium_fortis	extinct
Ancylocoelus_frequens	extinct
Ancylocoelus_minor	extinct
Andemys_termasi	extinct
Andinogale_sallensis	extinct
Angelocabrerus_daptes	extinct
Anisolambda	extinct
Anisolambda_amel	extinct
Anisolambda_fissidens	extinct
Anisotemnus	extinct
Anisotemnus_distentus	extinct
Antawallathentes	extinct
Antawallathentes_illimani	extinct
Antepithecus	extinct
Antepithecus_brachystephanus	extinct
Antepithecus_innexus	extinct
Antofagastia	extinct
Antofagastia_turneri	extinct
Apeirodon_sorianoi	extinct
Archaeodolops_clavulus	extinct
Archaeohyrax_a	extinct
Archaeohyrax_b	extinct
Archaeohyrax_patagonicus	extinct
Archaeohyrax_suniensis	extinct
Archaeophylus_patrius	extinct
Archaeopithecus_rogeri	extinct
Archaeotypotherium_a	extinct
Archaeotypotherium_b	extinct
Archaeotypotherium_pattersoni	extinct
Archaeotypotherium_propheticus	extinct
Archaeotypotherium_tinguiriricaense	extinct
Archaeutatus	extinct
Archaeutatus_malaspinensis	extinct
Argyrohyrax_a	extinct
Argyrohyrax_b	extinct
Argyrohyrax_proavus	extinct
Arminiheringia_a	extinct
Arminiheringia_auceta	extinct
Arminiheringia_b	extinct
Arminiheringia_contigua	extinct
Asmithwoodwardia	extinct
Asmithwoodwardia_scotti	extinct
Asmithwoodwardia_subtrigona	extinct
Asmodeus	extinct
Asmodeus_osborni	extinct
Asmodeus_petrasnerus	extinct
Astegotherium	extinct
Astegotherium_sp._nov.	extinct
Asteromys_bolivianus	extinct
Asteromys_puelche	extinct
Asteromys_punctus	extinct
Astraponotus	extinct
Astraponotus_assymmetrus	extinct
Astraponotus_dicksoni	extinct
Astraponotus_dilatatus	extinct
Astraponotus_holdichi	extinct
Astraponotus_thompsoni	extinct
Australohyaena_antiqua	extinct
Austropediomys_marshalli	extinct
Baguatherium_jaureguii	extinct
Balsayacuy	extinct
Balsayacuy_huallagaensis	extinct
Bardalestes	extinct
Bardalestes_hunco	extinct
Barrancatatus_maddeni	extinct
Barrancatatus_rigidus	extinct
Barrancatatus_tinguiririquensis	extinct
Bergqvistherium_primigenia	extinct
Bobbschaefferia_a	extinct
Bobbschaefferia_b	extinct
Bobbschaefferia_fluminensis	extinct
Bonapartherium	extinct
Bonapartherium_serrensis	extinct
Boreastylops_lumbrerensis	extinct
Brachystephanus_postremus	extinct
Branisamys_luribayensis	extinct
Branisella_boliviana	extinct
Brucemacfaddenia_boliviensis	extinct
Bryanpattersonia_nesodontoides	extinct
Bryanpattersonia_sulcidens	extinct
Cachiyacuy_cf._contamanensis	extinct
Cachiyacuy_cf._kummeli	extinct
Cachiyacuy_contamanensis	extinct
Cachiyacuy_kummeli	extinct
Cachiyacuy_sp.	extinct
Callistoe_vincei	extinct
Calodontotherium_varietatum	extinct
Camargomendesia_a	extinct
Camargomendesia_c	extinct
Campanorco	extinct
Campanorco_inauguralis	extinct
Canaanimico_amazonensis	extinct
Canaanimys_maquiensis	extinct
Canaanimys_sp.	extinct
Canchadelphys_cristata	extinct
Carlothentes_chubutensis	extinct
Carodnia_feruglioi	extinct
Carodnia_inexpectans	extinct
Carodnia_vieirai	extinct
Caroloameghinia	extinct
Caroloameghinia_mater	extinct
Caroloameghinia_tenuis	extinct
Carolocoutoia_ferigoloi	extinct
Carolozittelia_tapiroides	extinct
Cephalomyopsis_a	extinct
Cephalomyopsis_b	extinct
Cephalomys	extinct
Cephalomys_arcidens	extinct
Cephalomys_ceciae	extinct
cf._Cachiyacuy_kummeli	extinct
cf._Eoespina	extinct
cf._Perulestes	extinct
cf._Pozomys_ucayaliensis	extinct
cf._Proargyrolagus	extinct
cf._Tarapotomys	extinct
cf._Yuruatherium	extinct
Chachapoyamys_cf._kathetos	extinct
Chachapoyamys_kathetos	extinct
Chambiramys_shipiborum	extinct
Chambiramys_sylvaticus	extinct
Changquin_woodi	extinct
Chilestylops_davidsoni	extinct
Chlorocyon_phantasma	extinct
Cholamys_tetralophodonta	extinct
Chubutomys_navaensis	extinct
Chubutomys_simpsoni	extinct
Clenia_brevis	extinct
Clypeotherium_magnum	extinct
Cochilius	extinct
Cochilius_fumensis	extinct
Cochilius_volvens	extinct
Coelostylodon_caroloameghinoi	extinct
Coelostylodon_florentinoameghinoi	extinct
Colbertia	extinct
Colbertia_falui	extinct
Colbertia_lumbrerense	extinct
Colbertia_magellanica	extinct
Colhuelia_fruhi	extinct
Colombitherium_tolimense	extinct
