Species	Status	min_age	max_age
Marmosopsis	extinct	47.8	56
Marmosopsis_juradoi	extinct	47.8	56
Monodelphopsis	extinct	47.8	56
Monodelphopsis_travassosi	extinct	47.8	56
Derorhynchus	extinct	47.8	56
Derorhynchus_singularis	extinct	47.8	56
Pauladelphys	extinct	41.3	47.8
Pauladelphys	extinct	47.8	56
Rumiodon	extinct	37.71	47.8
Caroloameghinia_mater	extinct	38	41.2
Caroloameghinia_tenuis	extinct	37.71	47.8
Itaboraidelphys	extinct	47.8	56
Itaboraidelphys_camposi	extinct	47.8	56
Astraponotus_holdichi	extinct	33.9	37.71
Astraponotus	extinct	33.9	41.2
Astraponotus_assymmetrus	extinct	37.71	47.8
Parastrapotherium_holmbergi	extinct	23.03	27.82
Xenastrapotherium_chaparralensis	extinct	23.03	27.82
Albertogaudrya	extinct	41.3	47.8
Albertogaudrya	extinct	38	41.2
Albertogaudrya_carahuasensis	extinct	47.8	52.5
Albertogaudrya_robusta	extinct	33.9	37.71
Albertogaudrya_unica	extinct	37.71	47.8
Trigonostylops_a	extinct	47.8	56
Trigonostylops_wortmani	extinct	37.71	47.8
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_a	extinct	47.8	56
Trigonostylops_a	extinct	33.9	41.2
Trigonostylops_wortmani	extinct	41.3	47.8
Trigonostylops_wortmani	extinct	38	47.8
Trigonostylops_wortmani	extinct	37.71	47.8
Trigonostylops_b	extinct	47.8	56
Trigonostylops_c	extinct	37.71	47.8
Pachycetus	extinct	38	41.2
cf. Yuruatherium	extinct	30	33.9
Prozaedius_planus	extinct	23.03	27.82
Prozaedyus_a	extinct	23.03	33.9
Stenotatus_a	extinct	23.03	27.82
Stenotatus_a	extinct	27.82	33.9
Archaeutatus	extinct	23.03	33.9
Archaeutatus_malaspinensis	extinct	23.03	27.82
Archaeutatus_malaspinensis	extinct	27.82	33.9
Astegotherium	extinct	30	33.9
Astegotherium sp. nov.	extinct	47.8	56
Machlydotherium_a	extinct	27.82	33.9
Machlydotherium_a	extinct	23.03	27.82
Machlydotherium_asperum	extinct	33.9	37.71
Machlydotherium_ater	extinct	23.03	33.9
Machlydotherium_sparsum	extinct	37.2	40.4
Machlydotherium_b	extinct	37.71	47.8
Meteutatus	extinct	37.71	47.8
Meteutatus_rigidus	extinct	23.03	27.82
Sadypus_confluens	extinct	27.82	33.9
Meteutatus_percarinatus	extinct	23.03	33.9
Meteutatus_percarinatus	extinct	36	39
Sadypus_confluens	extinct	33.9	37.71
Sadypus_tortuosus	extinct	30	33.9
Meteutatus_tinguiririquensis	extinct	27.82	33.9
Parastegosimpsonia	extinct	28.1	37.2
Parastegosimpsonia_peruana	extinct	30	33.9
Parastegosimpsonia_peruana	extinct	27.82	33.9
Parastegosimpsonia_peruana	extinct	27.82	33.9
Parutaetus	extinct	37.71	47.8
Parutaetus_clusus	extinct	36	39
Parutaetus_chilensis	extinct	27.82	33.9
Parutaetus_chilensis	extinct	30	33.9
Parutaetus_chilensis	extinct	23.03	27.82
Parutaetus_punaensis	extinct	33.9	37.71
Parutaetus_punaensis	extinct	41.2	47.8
Parutaetus_chilensis	extinct	27.82	33.9
Prostegotherium	extinct	36	39
Prostegotherium	extinct	33.9	37.71
Prostegotherium	extinct	48	54
Prostegotherium_notostylopianum	extinct	39	42
Prostegotherium_astrifer	extinct	44	51
Riostegotherium	extinct	50	51
Riostegotherium	extinct	47	48
Riostegotherium_yanei	extinct	47.8	56
Stegosimpsonia_a	extinct	41.3	47.8
Stegosimpsonia_a	extinct	47	48
Stegosimpsonia_a	extinct	39	42
Stegosimpsonia_a	extinct	33.9	37.71
Stegosimpsonia_b	extinct	36	39
Utaetus_a	extinct	36	39
Utaetus_a	extinct	39	42
Utaetus_lenis	extinct	48	54
Utaetus_buccatus	extinct	47	48
Utaetus_b	extinct	39	42
Glyptatelus	extinct	23.03	27.82
Glyptatelus_fractus	extinct	33.9	37.71
Vassallia	extinct	23.03	27.82
Peltephilus_a	extinct	23.03	27.82
Peltephilus_undulatus	extinct	30	33.9
Peltephilus_b	extinct	23.03	27.82
Didolodus_minor	extinct	41.3	47.8
Didolodus_multicuspis	extinct	37.71	47.8
Didolodus_multicuspis	extinct	38	47.8
Didolodus_multicuspis	extinct	38	41.2
Ernestokokenia_a	extinct	33.9	37.71
Ernestokokenia_a	extinct	47.8	56
Ernestokokenia_a	extinct	41.3	47.8
Ernestokokenia_yirunhor	extinct	47.8	56
Ernestokokenia_nitida	extinct	38	41.2
Ernestokokenia_nitida	extinct	38	47.8
Ernestokokenia_nitida	extinct	37.71	47.8
Ernestokokenia_b	extinct	37.71	47.8
Salladolodus	extinct	23.03	27.82
Coniopternium	extinct	23.03	27.82
Coniopternium_andinum	extinct	23.03	27.82
Coniopternium_primitivum	extinct	23.03	27.82
Cramauchenia_normalis	extinct	23.03	27.82
Victorlemoineia_emarginata	extinct	37.71	47.8
Victorlemoineia	extinct	47.8	56
Victorlemoineia	extinct	41.3	47.8
Victorlemoineia	extinct	47.8	56
Victorlemoineia_prototypica	extinct	47.8	56
Anisolambda	extinct	47.8	56
Anisolambda	extinct	47.8	56
Anisolambda	extinct	37.71	47.8
Josepholeidya_adunca	extinct	41.3	47.8
Anisolambda_amel	extinct	37.71	47.8
Anisolambda_fissidens	extinct	38	41.2
Deuterotherium_distichum	extinct	23.03	27.82
Proterotherium_d	extinct	23.03	27.82
Protheosodon_coniferus	extinct	23.03	27.82
Ricardolydekkeria	extinct	47.8	56
Ricardolydekkeria_lunulata	extinct	37.71	47.8
Ricardolydekkeria_profunda	extinct	38	41.2
Asmithwoodwardia_subtrigona	extinct	41.3	47.8
Asmithwoodwardia	extinct	47.8	56
Asmithwoodwardia_subtrigona	extinct	47.8	47.89
Asmithwoodwardia_subtrigona	extinct	38	47.8
Asmithwoodwardia_subtrigona	extinct	37.71	47.8
Asmithwoodwardia_subtrigona	extinct	37.71	47.8
Asmithwoodwardia_scotti	extinct	47.8	56
Eomicrobiotherium	extinct	47.8	56
Eomicrobiotherium_matutinum	extinct	23.03	27.82
Eomicrobiotherium_matutinum	extinct	33.3	33.9
Microbiotherium	extinct	27.82	33.9
Woodburnodon	extinct	47.8	56
Camargomendesia_a	extinct	47.8	56
Camargomendesia_c	extinct	47.8	56
Colbertia	extinct	33.9	37.71
Colbertia	extinct	47.8	56
Colbertia	extinct	41.3	47.8
Colbertia_falui	extinct	37.71	47.8
Colbertia_magellanica	extinct	47.8	56
Itaboraitherium	extinct	47.8	56
Kibenikhoria	extinct	47.8	56
Kibenikhoria	extinct	37.71	55.8
Kibenikhoria_get	extinct	47.8	56
Maxschlosseria_minuta	extinct	38	47.8
Maxschlosseria_consumata	extinct	38	41.2
Maxschlosseria_consumata	extinct	37.71	47.8
Maxschlosseria_expansa	extinct	37.71	47.8
Maxschlosseria_minima	extinct	41.3	47.8
Oldfieldthomasia	extinct	37.71	47.8
Oldfieldthomasia_debilitata	extinct	38	41.2
Oldfieldthomasia_debilitata	extinct	38	47.8
Suniodon	extinct	33.9	37.71
Suniodon_catamarcensis	extinct	33.9	37.71
Archaeohyrax	extinct	33.9	37.71
Archaeohyrax_patagonicus	extinct	23.03	27.82
Archaeohyrax_patagonicus	extinct	30.617	30.77
Archaeohyrax_patagonicus	extinct	27.82	33.9
Archaeohyrax_suniensis	extinct	24.5	24.5
Archaeotypotherium	extinct	23.03	27.82
Archaeotypotherium_propheticus	extinct	27.82	33.9
Archaeotypotherium_propheticus	extinct	23.03	33.9
Archaeotypotherium_tinguiriricaense	extinct	27.82	33.9
Eohyrax	extinct	47.8	56
Eohyrax_rusticus	extinct	33.9	37.71
Eohyrax_isotemnoides	extinct	38	41.2
Eohyrax	extinct	41.3	47.8
Eohyrax_rusticus	extinct	38	47.8
Pseudhyrax	extinct	33.9	37.71
Pseudhyrax_eutrachytheroides	extinct	33.9	37.71
Pseudhyrax_eutrachytheroides	extinct	28.4	33.6
Pseudhyrax_eutrachytheroides	extinct	33.9	41.2
Pseudhyrax_strangulatus	extinct	38	38.4
Pseudhyrax_strangulatus	extinct	37.71	47.8
Pseudhyrax_eutrachytheroides	extinct	27.82	33.9
Punahyrax	extinct	33.9	37.71
Punahyrax_bondesioi	extinct	33.9	37.71
Campanorco	extinct	37.71	47.8
Campanorco_inauguralis	extinct	47.8	56
Hegetotherium_a	extinct	23.03	27.82
Hegetotherium_c	extinct	23.03	27.82
Prohegetotherium_a	extinct	28.1	33.9
Prohegetotherium_sculptum	extinct	23.03	27.82
Prohegetotherium_b	extinct	23.03	27.82
Prohegetotherium_schiaffinoi	extinct	23.03	27.82
Propachyrucos	extinct	23.03	27.82
Prosotherium_garzoni	extinct	23.03	27.82
Pseudohegetotherium_b	extinct	23.03	27.82
Acamana	extinct	23.03	27.82
Acamana_ambiguus	extinct	37.71	47.8
Henricosbornia_lophodonta	extinct	47.8	56
Henricosbornia_lophodonta	extinct	55.8	56
Henricosbornia_ampla	extinct	38	47.8
Henricosbornia_ampla	extinct	37.71	47.8
Henricosbornia_lophodonta	extinct	37.71	47.8
Henricosbornia_lophodonta	extinct	47	47.8
Henricosbornia_lophodonta	extinct	41.3	47.8
Henricosbornia_lophodonta	extinct	38	41.2
Henricosbornia_minuta	extinct	37.71	55.8
Henricosbornia	extinct	47.8	56
Othnielmarshia	extinct	47.8	56
Othnielmarshia_reflexa	extinct	37.71	47.8
Othnielmarshia_lacunifera	extinct	37.71	47.8
Othnielmarshia_lacunifera	extinct	47.89	49.51
Othnielmarshia_lacunifera	extinct	38	47.8
Othnielmarshia_lacunifera	extinct	41.3	47.8
Peripantostylops	extinct	47.8	56
Peripantostylops_minutus	extinct	37.71	47.8
Peripantostylops_minutus	extinct	38	47.8
Peripantostylops_minutus	extinct	37.71	47.8
Peripantostylops_minutus	extinct	41.3	47.8
Homalodontotherium_a	extinct	23.03	27.82
Asmodeus	extinct	33.9	37.71
Asmodeus_osborni	extinct	23.03	27.82
Antofagastia	extinct	33.9	37.71
Antofagastia_turneri	extinct	33.9	37.71
Argyrohyrax_proavus	extinct	23.03	27.82
Argyrohyrax	extinct	23.03	27.82
Cochilius	extinct	23.03	27.82
Cochilius_volvens	extinct	38	41.2
Eopachyrucos_pliciformis	extinct	33.9	37.71
Eopachyrucos_pliciferus	extinct	27.82	33.9
Eopachyrucos_pliciformis	extinct	28.1	33.9
Eopachyrucos_ranchoverdensis	extinct	23.03	27.82
Fiandraia	extinct	23.03	27.82
Proargyrohyrax	extinct	27.82	33.9
Proargyrohyrax	extinct	42	50
Proargyrohyrax_curanderensis	extinct	28.4	33.6
Progaleopithecus_fissurellatus	extinct	23.03	27.82
Protypotherium_d	extinct	23.03	27.82
Acoelohyrax	extinct	33.9	37.71
Acoelohyrax_complicatissimus	extinct	38	41.2
Acoelohyrax_coronatus	extinct	37.71	47.8
Anisotemnus_distentus	extinct	38	41.2
Anisotemnus_distentus	extinct	37.71	47.8
Anisotemnus_distentus	extinct	27.82	33.9
Isotemnus	extinct	47.8	56
Isotemnus	extinct	47.8	56
Isotemnus_primitivus	extinct	38	47.8
Isotemnus_haugi	extinct	37.71	55.8
Isotemnus_latidens	extinct	37.71	47.8
Isotemnus_primitivus	extinct	37.71	47.8
Isotemnus_primitivus	extinct	38	41.2
Pleurostylodon	extinct	42	51
Pleurostylodon	extinct	47.8	56
Pleurostylodon_modicus	extinct	37.71	47.8
Pleurostylodon_modicus	extinct	38	41.2
Pleurostylodon	extinct	27.82	33.9
Pleurostylodon_similis	extinct	37.71	47.8
Pleurostylodon_similis	extinct	41.3	47.8
Rhyphodon_lankesteri	extinct	33.9	37.71
Rhyphodon	extinct	27.82	33.9
Thomashuxleya_rostrata	extinct	37.71	47.8
Thomashuxleya_externa	extinct	37.71	47.8
Thomashuxleya_externa	extinct	41.3	47.8
Thomashuxleya_rostrata	extinct	38	41.2
Trimerostephanos	extinct	23.03	27.82
Anayatherium_fortis	extinct	23.03	27.82
Coquenia_bondi	extinct	37.71	47.8
Leontinia_gaudryi	extinct	23.03	27.82
Leontinia_gaudryi	extinct	28.4	33.6
Leontinia_gaudryi	extinct	23.03	27.82
Eutrachytherus_grandis	extinct	23.03	27.82
Trachytherus	extinct	28.1	33.9
Trachytherus_ramirezi	extinct	23.03	27.82
Trachytherus_spegazzinianus	extinct	23.03	27.82
Coresodon_scalpridens	extinct	23.03	27.82
Eomorphippus	extinct	27.82	33.9
Eomorphippus_obscurus	extinct	33.9	37.71
Eomorphippus_obscurus	extinct	38	38.4
Eomorphippus_obscurus	extinct	27.82	33.9
Eomorphippus_neilopdykei	extinct	27.82	33.9
Pampahippus	extinct	33.9	37.71
Pampahippus	extinct	41.3	56
Pampahippus	extinct	41.3	47.8
Pampahippus_secundus	extinct	37.71	47.8
Pampahippus_arenalesi	extinct	46.2	47.8
Pascualihippus	extinct	23.03	27.82
Rhynchippus_equinus	extinct	24.5	24.5
Rhynchippus_brasiliensis	extinct	23.03	27.82
Rhynchippus_pumilus	extinct	23.03	27.82
Rhynchippus_pumilus	extinct	28.4	33.6
Rhynchippus_pumilus	extinct	23.03	27.82
Antepithecus	extinct	47.8	56
Antepithecus_brachystephanus	extinct	38	41.2
Antepithecus_brachystephanus	extinct	33.9	37.71
Antepithecus_brachystephanus	extinct	37.71	47.8
Antepithecus_brachystephanus	extinct	37.71	47.8
Guilielmoscottia_plicifera	extinct	33.9	37.71
Guilielmoscottia	extinct	27.82	33.9
Guilielmoscottia_plicifera	extinct	23.03	27.82
Notopithecus	extinct	41.3	47.8
Notopithecus	extinct	38	41.2
Notopithecus_adapinus	extinct	37.71	47.8
