Species	Status
Abderites_b	extinct
Amphidolops_intermedius	extinct
Amphidolops_minimus	extinct
Amphidolops_serrula	extinct
Amphidolops_yapa	extinct
Antawallathentes_illimani	extinct
Argyrolagus	extinct
Argyrolagus_palmeri	extinct
Argyrolagus_rusconii	extinct
Arminiheringia_a	extinct
Arminiheringia_auceta	extinct
Arminiheringia_b	extinct
Bardalestes	extinct
Bardalestes_hunco	extinct
Bobbschaefferia	extinct
Bobbschaefferia_fluminensis	extinct
Bonapartherium	extinct
Bonapartherium_serrensis	extinct
Borhyaenidium	extinct
Borhyaenidium_altiplanicus	extinct
Borhyaenidium_musteloides	extinct
Borhyaenidium_riggsi	extinct
cf._Perulestes	extinct
cf._Proargyrolagus	extinct
Eomicrobiotherium	extinct
Eomicrobiotherium_matutinum	extinct
Epidolops_ameghinoi	extinct
Evolestes	extinct
Evolestes_hadrommatos	extinct
Gashternia	extinct
Gashternia_carioca	extinct
Gashternia_ctalehor	extinct
Microbiotherium	extinct
Microtragulus	extinct
Microtragulus_argentinus	extinct
Microtragulus_bolivianus	extinct
Microtragulus_catamarcensis	extinct
Microtragulus_reigi	extinct
Mirandatherium_alipioi	extinct
Nemolestes	extinct
Nemolestes_spalacotherinus	extinct
Notocynus	extinct
Notocynus_hermosicus	extinct
Palaeothentes_boliviensis	extinct
Palaeothentes_migueli	extinct
Palangania	extinct
Palangania_brandmayri	extinct
Parabderites_minusculus	extinct
Patene_campbelli	extinct
Patene_coluapiensis	extinct
Patene_simpsoni	extinct
Peridolopidae_gen_A	extinct
Perulestes	extinct
Perulestes_cardichi	extinct
Pharsophorus_lacerans	extinct
Pharsophorus_tenax	extinct
Pliodolops_rothi	extinct
Pliodolops_winecage	extinct
Polydolops_serra	extinct
Polydolops_thomasi	extinct
Prepidolops	extinct
Prepidolops_molinai	extinct
Proargyrolagus	extinct
Proargyrolagus_bolivianus	extinct
Proborhyaena_gigantea	extinct
Procladosictis	extinct
Procladosictis_anomala	extinct
Sasawatsu	extinct
Sasawatsu_mahaynaq	extinct
Thylacosmilus	extinct
Thylacosmilus_atrox	extinct
Wamradolops	extinct
Wamradolops_tsullodon	extinct
Woodburnodon	extinct
