Species	Status
?Sallamys	extinct
Abrothrix_kermacki	extinct
Acarechimys_d	extinct
Acarechimys_leucotheae	extinct
Actenomys	extinct
Actenomys_priscus	extinct
Anatochoerus	extinct
Balsayacuy	extinct
Balsayacuy_huallagaensis	extinct
Briaromys_trouessartianus	extinct
Cantracavia	extinct
Cardiatherium_a	extinct
Cardiatherium_b	extinct
Cardiatherium_c	extinct
Cardiatherium_chasicoense	extinct
Cardiatherium_patagonicum	extinct
Cardiatherium_talicei	extinct
Cardiomys_a	extinct
Cardiomys_ameghinorum	extinct
Cardiomys_b	extinct
Carlesia	extinct
Cavia_aperea	extant
Cavia_cabrerai	extinct
Caviodon_a	extinct
Caviodon_andalhualensis	extinct
Caviodon_b	extinct
Caviodon_c	extinct
Caviodon_multiplicatus	extinct
Caviodon_pozzii	extinct
Cephalomyopsis_a	extinct
Cephalomyopsis_b	extinct
Cephalomys	extinct
Cephalomys_arcidens	extinct
Cercomys	extinct
cf._Eoespina	extinct
Chasichimys	extinct
Chasicomys	extinct
Chasicomys_cangapoli	extinct
Colpostemma	extinct
Contracavia	extinct
Ctenomys_a	extinct
Ctenomys_priscus	extinct
Dankomys_simpsoni	extinct
Diaphoromys	extinct
Doellomys	extinct
Dolicavia	extinct
Dolicavia_minuscula	extinct
Dolichotis_a	extinct
Drytomomys_a	extinct
Drytomomys_b	extinct
Eobranisamys_a	extinct
Eobranisamys_b	extinct
Eobranisamys_javierpradoi	extinct
Eobranisamys_romeropittmanae	extinct
Eoespina	extinct
Eoespina_woodi	extinct
Eoincamys	extinct
Eoincamys_ameghinoi	extinct
Eoincamys_valverdei	extinct
Eoviscaccia	extinct
Eoviscaccia_australis	extinct
Eoviscaccia_frassinettii	extinct
Epiblema_horridula	extinct
Ethelomys	extinct
Eucelophorus	extinct
Eucelophorus_chapalmalensis	extinct
Eucoelophorus	extinct
Eumegamys_a	extinct
Eumegamys_b	extinct
Eumegamys_c	extinct
Eumegamysops	extinct
Eumysops_chapadmalensis	extinct
Eumysops_laeviplicatus	extinct
Eumysops_parodii	extinct
Galea_a	extinct
Graomys_dorae	extinct
Gyriabrus_a	extinct
Gyriabrus_b	extinct
Gyriabrus_royoi	extinct
Haplostropha	extinct
Hydrochoerus_a	extinct
Isostylomys_laurillardi	extinct
Kiyutherium_scillatoyanei	extinct
Lagostomus_(Lagostomopsis)	extinct
Lagostomus_(Lagostomopsis)_a	extinct
Lagostomus_(Lagostomopsis)_b	extinct
Lagostomus_a	extinct
Lagostomus_euplasius	extinct
Lagostomus_telenkechanum	extinct
Microcavia_a	extinct
Microcavia_isolinense	extinct
Myocastor_a	extinct
Neocavia_depressidens	extinct
Neocavia_lozanoi	extinct
Neocavia_pampeana	extinct
Neoepiblema_a	extinct
Neoepiblema_b	extinct
Neoepiblema_c	extinct
Neoepiblema_horridula	extinct
Neophanomys	extinct
Neophanomys_biplicatus	extinct
Neoreomys_b	extinct
Neoreomys_huilensis	extinct
Neosteiromys	extinct
Neosteiromys_pattoni	extinct
Olenopsis_typicus	extinct
Orthomyctera_a	extinct
Orthomyctera_andina	extinct
Orthomyctera_b	extinct
Orthomyctera_brocherense	extinct
Palaeocavia	extinct
Palaeocavia_brocherense	extinct
Palaeocavia_mawka	extinct
Paradoxomys	extinct
Paranamys_typicus	extinct
Parodimys	extinct
Pentastylodon	extinct
Pentastylomys	extinct
Perimys_scalabrinianus	extinct
Phoberomys_a	extinct
Phoberomys_b	extinct
Phoberomys_burmeisteri	extinct
Phoberomys_c	extinct
Phoberomys_pattersoni	extinct
Phtoramys_hidalguense	extinct
Phtoramys_homogenidens	extinct
Phugatherium_a	extinct
Phugatherium_b	extinct
Phugatherium_cataclisticum	extinct
Phugatherium_novum	extinct
Pithanotomys	extinct
Pithanotomys_columnaris	extinct
Pithanotomys_cordubensis	extinct
Pliodolichotis	extinct
Potamarchus_a	extinct
Potamarchus_adamiae	extinct
Potamarchus_b	extinct
Potamarchus_c	extinct
Potamarchus_d	extinct
Pozomys	extinct
Pozomys_ucayaliensis	extinct
Praectenomys	extinct
Praectenomys_rhombidens	extinct
Procardiatherium_rosendoi	extinct
Procardiomys	extinct
Prodolichotis_a	extinct
Prodolichotis_b	extinct
Prodolichotis_prisca	extinct
Prolagostomus_a	extinct
Prolagostomus_pusillus	extinct
Propediolagus	extinct
Propediolagus_marplatensis	extinct
Protabrocoma_a	extinct
Protabrocoma_antiqua	extinct
Protabrocoma_b	extinct
Protacaremys_adilos	extinct
Protomegamys	extinct
Protosteiromys_medianus	extinct
Protosteiromys_pattersoni	extinct
Pseudoplataeomys	extinct
Pseudosigmomys	extinct
Reithrodon_auritus	extant
Sallamys_woodi	extinct
Scapteromys_hershkovitzi	extinct
Sciamys	extinct
Scleromys_colombianus	extinct
Scleromys_praecursor	extinct
Simplimus_b	extinct
Simplimus_e	extinct
Steiromys_b	extinct
Steiromys_c	extinct
Strophostephanos	extinct
Telicomys	extinct
Telicomys_amazonensis	extinct
Telicomys_giganteus	extinct
Tetrastylomys	extinct
Tetrastylus_a	extinct
Tetrastylus_b	extinct
Tetrastylus_c	extinct
Tetrastylus_d	extinct
Tetrastylus_gigantissimus	extinct
Tetrastylus_intermedius	extinct
Xenodontomys_ellipticus	extinct
