Species	Status	min_age	max_age
Astraponotus_thompsoni	extinct	33.9	37.71
Astraponotus	extinct	33.9	41.2
Astraponotus_assymmetrus	extinct	37.71	47.8
Parastrapotherium_a	extinct	23.03	27.82
Xenastrapotherium_chaparralensis	extinct	23.03	27.82
Albertogaudrya	extinct	41.3	47.8
Albertogaudrya	extinct	38	41.2
Albertogaudrya_carahuasensis	extinct	47.8	52.5
Albertogaudrya_robusta	extinct	33.9	37.71
Albertogaudrya_unica	extinct	37.71	47.8
Trigonostylops_a	extinct	47.8	56
Trigonostylops_wortmani	extinct	37.71	47.8
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_a	extinct	47.8	56
Trigonostylops_a	extinct	33.9	41.2
Trigonostylops_wortmani	extinct	41.3	47.8
Trigonostylops_wortmani	extinct	38	47.8
Trigonostylops_wortmani	extinct	37.71	47.8
Trigonostylops_b	extinct	47.8	56
Trigonostylops_c	extinct	37.71	47.8
Didolodus_minor	extinct	41.3	47.8
Didolodus	extinct	37.71	47.8
Didolodus_multicuspis	extinct	38	47.8
Didolodus_magnus	extinct	38	41.2
Ernestokokenia_a	extinct	33.9	37.71
Ernestokokenia_a	extinct	47.8	56
Ernestokokenia_a	extinct	41.3	47.8
Ernestokokenia_yirunhor	extinct	47.8	56
Ernestokokenia_patagonica	extinct	38	41.2
Ernestokokenia_nitida	extinct	38	47.8
Ernestokokenia_nitida	extinct	37.71	47.8
Ernestokokenia_b	extinct	37.71	47.8
Salladolodus	extinct	23.03	27.82
Coniopternium	extinct	23.03	27.82
Coniopternium_andinum	extinct	23.03	27.82
Coniopternium_primitivum	extinct	26	26
Cramauchenia_normalis	extinct	23.03	27.82
Cullinia_a	extinct	5.333	11.63
Cullinia_b	extinct	7.246	11.62
Macrauchenia_b	extinct	3.3	5.333
Macrauchenia_patagonica	extinct	3.6	5.333
Promacrauchenia_a	extinct	5.333	11.63
Promacrauchenia_antiqua	extinct	3.6	5.333
Promacrauchenia_antiqua	extinct	3.6	5.333
Promacrauchenia_a	extinct	3.6	5.333
Promacrauchenia_a	extinct	3.3	5.333
