Species	Status
Acamana	extinct
Acamana_ambiguus	extinct
Acoelohyrax_coarctatus	extinct
Acoelohyrax_complicatissimus	extinct
Acoelohyrax_coronatus	extinct
Adinotherium_a	extinct
Albertogaudrya	extinct
Albertogaudrya_carahuasensis	extinct
Albertogaudrya_robusta	extinct
Albertogaudrya_unica	extinct
Alitoxodon_a	extinct
Alitoxodon_b	extinct
Anayatherium	extinct
Anisolambda	extinct
Anisolambda_fissidens	extinct
Anisotemnus_distentus	extinct
Antepithecus	extinct
Antepithecus_brachystephanus	extinct
Antepithecus_innexus	extinct
Antofagastia	extinct
Antofagastia_turneri	extinct
Archaeohyrax	extinct
Archaeohyrax_patagonicus	extinct
Archaeohyrax_suniensis	extinct
Archaeotypotherium	extinct
Archaeotypotherium_pattersoni	extinct
Archaeotypotherium_propheticus	extinct
Argyrohyrax	extinct
Argyrohyrax_proavus	extinct
Asmithwoodwardia	extinct
Asmithwoodwardia_scotti	extinct
Asmithwoodwardia_subtrigona	extinct
Asmodeus	extinct
Asmodeus_osborni	extinct
Astraponotus	extinct
Astraponotus_assymmetrus	extinct
Astraponotus_thompsoni	extinct
Berroia	extinct
Brachytherium	extinct
Brachytherium_cuspidatum	extinct
Camargomendesia_a	extinct
Camargomendesia_b	extinct
Camargomendesia_c	extinct
Campanorco	extinct
Campanorco_inauguralis	extinct
Cochilius	extinct
Cochilius_volvens	extinct
Colbertia	extinct
Colbertia_lumbrerense	extinct
Colbertia_magellanica	extinct
Coniopternium	extinct
Coniopternium_andinum	extinct
Coniopternium_primitivum	extinct
Coquenia_bondi	extinct
Coresodon_scalpridens	extinct
Cramauchenia_normalis	extinct
Cullinia_a	extinct
Cullinia_b	extinct
Deuterotherium_distichum	extinct
Didolodus	extinct
Didolodus_magnus	extinct
Didolodus_minor	extinct
Didolodus_multicuspis	extinct
Diplasiotherium_pampa	extinct
Diplasiotherium_robustum	extinct
Eoauchenia	extinct
Eoauchenia_cingulata	extinct
Eoauchenia_primitiva	extinct
Eohyrax	extinct
Eohyrax_isotemnoides	extinct
Eohyrax_platyodus	extinct
Eohyrax_rusticus	extinct
Eomorphippus_bondi	extinct
Eomorphippus_obscurus	extinct
Eopachyrucos_pliciferus	extinct
Eopachyrucos_pliciformis	extinct
Eopachyrucos_ranchoverdensis	extinct
Epipatriarchus_innexus	extinct
Epitherium_laternarium	extinct
Ernestokokenia_a	extinct
Ernestokokenia_b	extinct
Ernestokokenia_nitida	extinct
Ernestokokenia_patagonica	extinct
Ernestokokenia_yirunhor	extinct
Eutypotherium_a	extinct
Fiandraia	extinct
Griphodon	extinct
Guilielmoscottia	extinct
Guilielmoscottia_plicifera	extinct
Gyrinodon_a	extinct
Gyrinodon_b	extinct
Haplodontherium	extinct
Hegetotherium_a	extinct
Hegetotherium_c	extinct
Hegetotherium_cerdasensis	extinct
Hemihegetotherium_a	extinct
Hemihegetotherium_achataleptum	extinct
Hemihegetotherium_b	extinct
Hemihegetotherium_torresi	extinct
Henricosbornia	extinct
Henricosbornia_lophodonta	extinct
Henricosbornia_minuta	extinct
Homalodontotherium_a	extinct
Homalostylops	extinct
Homalostylops_atavus	extinct
Homalostylops_parvus	extinct
Hondonadia_parca	extinct
Hondonadia_pittmanae	extinct
Hondonadia_praecipitia	extinct
Isotemnus_ctalego	extinct
Isotemnus_haugi	extinct
Isotemnus_latidens	extinct
Isotemnus_primitivus	extinct
Itaboraitherium	extinct
Josepholeidya_adunca	extinct
Kibenikhoria	extinct
Kibenikhoria_get	extinct
Leontinia_gaudryi	extinct
Macrauchenia_b	extinct
Macrauchenia_patagonica	extinct
Maxschlosseria_consumata	extinct
