Species	Status
Anadasypus	extinct
Anadasypus_aequatorianus	extinct
Anisodontherium	extinct
Archaeutatus	extinct
Archaeutatus_malaspinensis	extinct
Aspidocalyptus_castroi	extinct
Astegotherium	extinct
Astegotherium_sp._nov.	extinct
Asterostemma	extinct
Boreostemma_pliocena	extinct
Catonyx_a	extinct
Cf._Hapalops	extinct
cf._Plesiomegatherium	extinct
cf._Proscelidodon	extinct
cf._Yuruatherium	extinct
Chasicotatus_ameghinoi	extinct
Chorobates	extinct
Chorobates_rescens	extinct
Chorobates_villosissimus	extinct
Coscinocercus_marcalaini	extinct
Dasypus_laevisculptus	extinct
Dasypus_neogaeus	extinct
Diheterocnus	extinct
Doellotatus__cf._chapadmalensis	extinct
Doellotatus_a	extinct
Doellotatus_b	extinct
Doellotatus_chapadmalensis	extinct
Doellotatus_inornatus	extinct
Eleutherocercus	extinct
Eleutherocercus_antiquus	extinct
Eleutherocercus_paranensis	extinct
Eosclerocalyptus	extinct
Eosclerocalyptus_lineatus	extinct
Eosclerocalyptus_proximus	extinct
Eutatus_praepampaeus	extinct
Glossotheriopsis	extinct
Glossotherium_chapadmalense	extinct
Glyptatelus	extinct
Glyptatelus_fractus	extinct
Glyptodon_a	extinct
Holmesina	extinct
Hoplophorus_a	extinct
Hoplophractus_proximus	extinct
Hoplophractus_tapinocefalus	extinct
Kraglievichia_a	extinct
Kraglievichia_b	extinct
Kraglievichia_carinatum	extinct
Kraglievichia_paranense	extinct
Lestodon_a	extinct
Lomaphorus	extinct
Machlydotherium_a	extinct
Machlydotherium_ater	extinct
Machlydotherium_b	extinct
Machlydotherium_sparsum	extinct
Macrochorobates	extinct
Macrochorobates_chapadmalensis	extinct
Macrochorobates_scalabrinii	extinct
Macroeuphractus_a	extinct
Macroeuphractus_b	extinct
Macroeuphractus_morenoi	extinct
Macroeuphractus_retusus	extinct
Mcdonaldocnus_bondesioi	extinct
Megalonychops	extinct
Megalonychops_primigenius	extinct
Megathericulus_patagonicus	extinct
Megatherium_altiplanicum	extinct
Meteutatus	extinct
Meteutatus_aff._lagenaformis	extinct
Meteutatus_percarinatus	extinct
Meteutatus_tinguiririquensis	extinct
Myrmecophaga_a	extinct
Neoglyptatelus_a	extinct
Neoglyptatelus_b	extinct
Neoglyptatelus_uruguayensis	extinct
Neuryurus_giganteus	extinct
Nopachtus	extinct
Nopachtus_coagmentatus	extinct
Octodontobradys_a	extinct
Octodontobradys_b	extinct
Octodontobradys_puruensis	extinct
Octodontotherium	extinct
Ortotherium_laticurvatum	extinct
Palaehoplophorus_antiquus	extinct
Palaehoplophorus_meridionalis	extinct
Palaeodoedicurus	extinct
Paleuphractus_a	extinct
Paleuphractus_argentinus	extinct
Paleuphractus_b	extinct
Pampatherium_b	extinct
Panochthus_a	extinct
Paraglyptodon_a	extinct
Paraglyptodon_b	extinct
Paraglyptodon_c	extinct
Paraglyptodon_paranensis	extinct
Parastegosimpsonia	extinct
Parastegosimpsonia_peruana	extinct
Parutaetus	extinct
Parutaetus_chicoensis	extinct
Parutaetus_chilensis	extinct
Parutaetus_punaensis	extinct
Peltephilus_b	extinct
Peltephilus_undulatus	extinct
Phlyctaenopyga	extinct
Phlyctaenopyga_ameghini	extinct
Phlyctaenopyga_trouessarti	extinct
Plaina_a	extinct
Plaina_b	extinct
Plaina_brocherense	extinct
Plaina_c	extinct
Plaina_intermedia	extinct
Plesiomegatherium	extinct
Plesiomegatherium_halmyronomum	extinct
Plesiomegatherium_hansmeyeri	extinct
Pleurolestodon	extinct
Pliomegatherium	extinct
Pliomegatherium_lelongi	extinct
Pliomorphus_a	extinct
Pliomorphus_b	extinct
Pliomorphus_mutilatus	extinct
Plohophoroides	extinct
Plohophorus_a	extinct
Plohophorus_araucanus	extinct
Plohophorus_b	extinct
Plohophorus_barrancalobensis	extinct
Plohophorus_c	extinct
Plohophorus_figuratus	extinct
Prodaedicurus	extinct
Proeremotherium	extinct
Proeremotherium_eljebe	extinct
Proeuphractus	extinct
Proeuphractus_limpidus	extinct
Pronothrotherium	extinct
Pronothrotherium_mirabilis	extinct
Pronothrotherium_typicum	extinct
Proscelidodon	extinct
Proscelidodon_gracillimus	extinct
Proscelidodon_patrius	extinct
Proscelidodon_rothi	extinct
Prostegotherium	extinct
Prostegotherium_astrifer	extinct
Prostegotherium_notostylopianum	extinct
Protomegalonyx	extinct
Protomegalonyx_chasicoensis	extinct
Protomegalonyx_praecursor	extinct
Prozaedius_impressus	extinct
Prozaedyus_a	extinct
Prozaedyus_scillatoyanei	extinct
Pseudoglyptodon	extinct
Pseudoglyptodon_chilensis	extinct
Pseudoglyptodon_sallaensis	extinct
Pseudoplohophorus_a	extinct
Pseudoplohophorus_absolutus	extinct
Pseudoplohophorus_b	extinct
Pseudoprepotherium_a	extinct
Pseudoprepotherium_urumaquensis	extinct
Pseudoprepotherium_venezuelanum	extinct
Pyramiodontherium	extinct
Pyramiodontherium_bergi	extinct
Ranculcus	extinct
Ranculcus_scalabrinianus	extinct
Riostegotherium	extinct
Riostegotherium_yanei	extinct
Sadypus_confluens	extinct
Sadypus_tortuosus	extinct
Scirrotherium_a	extinct
Scirrotherium_antelucanus	extinct
Scirrotherium_c	extinct
Scirrotherium_d	extinct
Sclerocalyptus_matthewi	extinct
Sclerocalyptus_ornatus	extinct
Stegosimpsonia_a	extinct
Stegosimpsonia_b	extinct
Stenotatus_a	extinct
Stenotatus_ornatus	extinct
Stromaphorus	extinct
Stromaphorus_compressidens	extinct
Thalassocnus_a	extinct
Thalassocnus_b	extinct
Thalassocnus_carolomartini	extinct
Thalassocnus_littoralis	extinct
Thalassocnus_natans	extinct
Trachycalyptoides	extinct
Trachycalyptus	extinct
Trachycalyptus_cingulatus	extinct
Urotherium	extinct
Urotherium_interundatum	extinct
Urumacotherium_a	extinct
Utaetus_a	extinct
Utaetus_b	extinct
Utaetus_buccatus	extinct
Vassallia	extinct
Vassallia_maxima	extinct
Vassallia_minuta	extinct
Vetelia_perforata	extinct
Xiphuroides	extinct
Yuruatherium_tropicalis	extinct
Zaedyus_pichiy	extant
