Species	Status	min_age	max_age
Marmosopsis	extinct	47.8	59.2
Marmosopsis	extinct	47.8	56
Marmosopsis_juradoi	extinct	47.8	56
Monodelphopsis	extinct	47.8	56
Monodelphopsis_travassosi	extinct	47.8	56
Derorhynchus	extinct	47.8	56
Derorhynchus_minutus	extinct	61.6	66
Derorhynchus_singularis	extinct	47.8	56
Pauladelphys	extinct	41.3	47.8
Pauladelphys	extinct	47.8	56
Rumiodon_inti	extinct	28.1	37.71
Caroloameghinia_mater	extinct	38	41.2
Caroloameghinia_tenuis	extinct	37.71	47.8
Protodidelphis	extinct	47.8	59.2
Protodidelphis_vanzolinii	extinct	47.8	59.2
Carolopaulacoutoia	extinct	47.8	59.2
Carolopaulacoutoia_itaboraiensis	extinct	47.8	59.2
Didelphopsis	extinct	47.8	59.2
Didelphopsis_cabrerai	extinct	47.8	59.2
Itaboraidelphys	extinct	47.8	56
Itaboraidelphys_camposi	extinct	47.8	56
Hemiauchenia_a	extinct	3.6	5.333
Lama_a	extinct	3.6	5.333
Argyrohyus	extinct	3.6	5.333
Platygonus_marplatensis	extinct	3.6	5.333
Astraponotus_dilatatus	extinct	33.9	37.71
Astraponotus	extinct	33.9	41.2
Astraponotus_assymmetrus	extinct	37.71	47.8
Parastrapotherium_a	extinct	23.03	27.82
Xenastrapotherium_chaparralensis	extinct	23.03	27.82
Albertogaudrya	extinct	41.3	47.8
Albertogaudrya_unica	extinct	38	41.2
Albertogaudrya_carahuasensis	extinct	47.8	52.5
Albertogaudrya_robusta	extinct	33.9	37.71
Albertogaudrya_unica	extinct	37.71	47.8
Trigonostylops_a	extinct	47.8	56
Trigonostylops_wortmani	extinct	37.71	47.8
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_a	extinct	47.8	56
Trigonostylops_a	extinct	33.9	41.2
Trigonostylops_wortmani	extinct	41.3	47.8
Trigonostylops_wortmani	extinct	38	47.8
Trigonostylops_wortmani	extinct	37.71	47.8
Trigonostylops_b	extinct	47.8	56
Trigonostylops_c	extinct	37.71	47.8
Hydrarctos_lomasiensis	extinct	5.333	7.246
Hydrarctos_lomasiensis	extinct	5.333	11.62
Otaria_fischeri	extinct	7.246	11.62
Acrophoca_a	extinct	5.333	11.63
Acrophoca_a	extinct	7.246	11.62
Acrophoca_a	extinct	5.333	11.62
Acrophoca_longirostris	extinct	7.246	11.62
Acrophoca_b	extinct	5.333	7.246
Acrophoca_longirostris	extinct	5.333	11.62
Piscophoca_a	extinct	7.246	11.62
Piscophoca_a	extinct	5.333	11.62
Piscophoca_b	extinct	7.246	11.62
Piscophoca_pacifica	extinct	5.333	7.246
Piscophoca_pacifica	extinct	5.333	11.62
Chapalmalania_a	extinct	3.3	5.333
Cyonasua_a	extinct	3.6	5.333
Cyonasua_a	extinct	5.333	11.63
Cyonasua_brevirostris	extinct	3.3	5.333
Cyonasua_clausa	extinct	3.6	5.333
Cyonasua_groeberi	extinct	4	8
Cyonasua_b	extinct	5.333	7.246
Cyonasua_c	extinct	5.333	11.63
Cyonasua_pascuali	extinct	5.333	11.63
Acrophyseter	extinct	5.333	11.63
Acrophyseter_deinodon	extinct	5.333	7.246
Livyatan_b	extinct	5.333	7.246
Livyatan_melvillei	extinct	7.246	11.62
Scaldicetus	extinct	5.333	11.62
Balaenoptera_c	extinct	5.333	11.63
Balaenoptera_acutorostrata	extinct	5.333	7.246
Balaenoptera_siberi	extinct	5.333	11.62
Balaenoptera_siberi	extinct	7.246	11.62
Pachycetus	extinct	38	41.2
Herpetocetus	extinct	5.333	7.246
Palaeobalaena_bergi	extinct	7.246	11.62
Delphinus	extinct	5.333	11.62
Globicephala	extinct	3.6	11.608
Hemisyntrachelus	extinct	3.6	5.333
Hemisyntrachelus_oligodon	extinct	5.333	7.246
Ischyrorhynchus_a	extinct	7.246	11.62
Ischyrorhynchus_b	extinct	5.333	11.63
Ischyrorhynchus_vanbenedeni	extinct	3.6	5.333
Ischyrorhynchus_vanbenedeni	extinct	7.246	11.62
Saurocetes_argentinus	extinct	7.246	11.62
Saurocetes_gigas	extinct	5.333	11.63
Saurocetes_b	extinct	7.246	11.62
Saurocetes_c	extinct	5.333	11.63
Saurocetes_argentinus	extinct	5.333	11.63
Scaphokogia_totajpe	extinct	5.333	7.246
Scaphokogia_cochlearis	extinct	7.246	11.62
Odobenocetops	extinct	5.333	11.62
Odobenocetops_leptodon	extinct	5.333	7.246
Odobenocetops_leptodon	extinct	5.333	11.62
Lomacetus_ginsburgi	extinct	7.246	11.62
Piscolithax	extinct	7.246	11.62
Piscolithax_longirostris	extinct	5.333	7.246
Piscolithax_longirostris	extinct	5.333	11.62
Idiorophus	extinct	5.333	11.63
Brachydelphis	extinct	7.246	11.62
Brachydelphis	extinct	5.333	7.246
Brachydelphis	extinct	5.333	11.63
Brachydelphis_jahuayensis	extinct	5.333	11.62
Brachydelphis_jahuayensis	extinct	7.246	11.62
Brachydelphis_mazeasi	extinct	5.333	11.63
Brachydelphis_mazeasi	extinct	5.333	7.246
Brachydelphis_mazeasi	extinct	7.246	13.82
Pliopontos	extinct	3.6	5.333
Pliopontos	extinct	3.6	11.608
Pliopontos	extinct	5.333	11.62
Pliopontos	extinct	5.333	11.63
Pliopontos_littoralis	extinct	5.333	7.246
Pontistes	extinct	5.333	11.62
Pontistes	extinct	5.333	11.63
Pontistes_rectifrons	extinct	7.246	11.62
Squalodon	extinct	3.6	11.608
Noctilio_lacrimaelunaris	extinct	7.246	11.62
Noctilio_lacrimaelunaris	extinct	5.333	11.63
Cimolestes	extinct	61.6	66
cf. Yuruatherium	extinct	30	33.9
Prozaedyus aff. impressus	extinct	23.03	27.82
Prozaedyus_a	extinct	23.03	33.9
Prozaedyus_scillatoyanei	extinct	5.333	11.63
Stenotatus_a	extinct	23.03	27.82
Stenotatus_a	extinct	27.82	33.9
Stenotatus_a	extinct	5.333	9
Stenotatus_a	extinct	5.333	11.63
Anadasypus	extinct	5.333	9
Anadasypus_aequatorianus	extinct	5.333	9
Archaeutatus	extinct	23.03	33.9
Archaeutatus_malaspinensis	extinct	23.03	27.82
Archaeutatus_malaspinensis	extinct	27.82	33.9
Astegotherium	extinct	30	33.9
Astegotherium sp. nov.	extinct	47.8	56
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chasicotatus_ameghinoi	extinct	5.333	11.63
Chorobates	extinct	3.6	5.333
Chorobates_recens	extinct	3.6	5.333
Chorobates_villosissimus	extinct	5.333	11.63
Chorobates	extinct	3.3	5.333
Chorobates rescens	extinct	3.3	4
Chorobates_recens	extinct	3.6	5.332
Chorobates_villosissimus	extinct	5.333	11.63
Dasypus_laevisculptus	extinct	3.6	5.333
Doellotatus_chapadmalensis	extinct	3.6	5.333
Doellotatus_inornatus	extinct	5.333	11.63
Doellotatus_inornatus	extinct	3.6	5.333
Doellotatus_ cf. chapadmalensis	extinct	3.3	5.333
Doellotatus_inornatus	extinct	4	5.333
Doellotatus_inornatus	extinct	4	9
Doellotatus_inornatus	extinct	5.333	11.63
Doellotatus_inornatus	extinct	4	9
Doellotatus	extinct	5.333	11.63
Eutatus_praepampaeus	extinct	3.6	5.333
Machlydotherium_a	extinct	27.82	33.9
Machlydotherium_a	extinct	23.03	27.82
Machlydotherium_ater	extinct	33.9	37.71
Machlydotherium_ater	extinct	23.03	33.9
Machlydotherium_sparsum	extinct	37.2	40.4
Machlydotherium_b	extinct	37.71	47.8
Macrochorobates_chapadmalensis	extinct	3.6	5.333
Macrochorobates_scalabrinii	extinct	5.333	11.63
Macrochorobates_chapadmalensis	extinct	3.6	5.333
Macrochorobates	extinct	3.3	5.333
Macrochorobates	extinct	5.333	9
Macrochorobates	extinct	5.333	10
Macrochorobates_scalabrinii	extinct	4	5.333
Macrochorobates_scalabrinii	extinct	4	9
Macrochorobates_scalabrinii	extinct	5.333	9
Macrochorobates_scalabrinii	extinct	9	10
Macroeuphractus_outesi	extinct	3.6	5.333
Macroeuphractus_a	extinct	3.6	5.333
Macroeuphractus_a	extinct	3.3	4
Macroeuphractus_morenoi	extinct	5.333	11.63
Macroeuphractus_b	extinct	3.3	5.333
Macroeuphractus_b	extinct	3.3	5.333
Meteutatus	extinct	37.71	47.8
Meteutatus aff. lagenaformis	extinct	23.03	27.82
Meteutatus_rigidus	extinct	27.82	33.9
Meteutatus_percarinatus	extinct	23.03	33.9
Meteutatus_percarinatus	extinct	36	39
Sadypus_confluens	extinct	33.9	37.71
Sadypus_tortuosus	extinct	30	33.9
Meteutatus_tinguiririquensis	extinct	27.82	33.9
Paleuphractus_a	extinct	3.6	5.333
Paleuphractus_argentinus	extinct	5.333	11.63
Paleuphractus_argentinus	extinct	3.3	9
Paleuphractus_b	extinct	5.333	11.63
