Species	Status
?Sallamys	extinct
Abderites_b	extinct
Abrocoma_antiqua	extinct
Abrothrix_kermacki	extinct
Acamana	extinct
Acamana_ambiguus	extinct
Acarechimys_d	extinct
Acarechimys_leucotheae	extinct
Acoelohyrax_complicatissimus	extinct
Acoelohyrax_coronatus	extinct
Acoelohyrax_sigma	extinct
Acrophoca_a	extinct
Acrophoca_b	extinct
Acrophoca_longirostris	extinct
Acrophyseter	extinct
Acrophyseter_deinodon	extinct
Actenomys	extinct
Actenomys_priscus	extinct
Adinotherium_a	extinct
Albertogaudrya	extinct
Albertogaudrya_carahuasensis	extinct
Albertogaudrya_robusta	extinct
Albertogaudrya_unica	extinct
Alitoxodon_a	extinct
Alitoxodon_b	extinct
Amphidolops	extinct
Amphidolops_serrula	extinct
Amphidolops_yapa	extinct
Anadasypus	extinct
Anadasypus_aequatorianus	extinct
Anatochoerus	extinct
Anayatherium_fortis	extinct
Anisodontherium_halmyronomum	extinct
Anisolambda	extinct
Anisolambda_amel	extinct
Anisolambda_fissidens	extinct
Anisotemnus	extinct
Anisotemnus_distentus	extinct
Antawallathentes	extinct
Antepithecus	extinct
Antepithecus_brachystephanus	extinct
Antofagastia	extinct
Antofagastia_turneri	extinct
Archaeohyrax	extinct
Archaeohyrax_patagonicus	extinct
Archaeohyrax_suniensis	extinct
Archaeotypotherium	extinct
Archaeotypotherium_propheticus	extinct
Archaeotypotherium_tinguiriricaense	extinct
Archaeutatus	extinct
Archaeutatus_malaspinensis	extinct
Argyrohyrax	extinct
Argyrohyrax_proavus	extinct
Argyrohyus	extinct
Argyrolagus	extinct
Argyrolagus_rusconii	extinct
Arminiheringia_a	extinct
Arminiheringia_auceta	extinct
Arminiheringia_b	extinct
Asmithwoodwardia	extinct
Asmithwoodwardia_scotti	extinct
Asmithwoodwardia_subtrigona	extinct
Asmodeus	extinct
Asmodeus_osborni	extinct
Aspidocalyptus	extinct
Astegotherium	extinct
Astegotherium_sp._nov.	extinct
Asterostemma	extinct
Astraponotus	extinct
Astraponotus_assymmetrus	extinct
Astraponotus_dilatatus	extinct
Balaenoptera_acutorostrata	extinct
Balaenoptera_c	extinct
Balaenoptera_siberi	extinct
Balsayacuy	extinct
Balsayacuy_huallagaensis	extinct
Bardalestes	extinct
Bardalestes_hunco	extinct
Berroia	extinct
Bobbschaefferia_a	extinct
Bobbschaefferia_b	extinct
Bonapartherium	extinct
Bonapartherium_serrensis	extinct
Boreostemma_pliocena	extinct
Borhyaenidium	extinct
Borhyaenidium_altiplanicus	extinct
Borhyaenidium_musteloides	extinct
Borhyaenidium_riggsi	extinct
Brachydelphis	extinct
Brachydelphis_jahuayensis	extinct
Brachydelphis_mazeasi	extinct
Brachytherium	extinct
Brachytherium_cuspidatum	extinct
Briaromys	extinct
Camargomendesia_a	extinct
Camargomendesia_b	extinct
Camargomendesia_c	extinct
Campanorco	extinct
Campanorco_inauguralis	extinct
Cantracavia	extinct
Cardiatherium_b	extinct
Cardiatherium_chasicoense	extinct
Cardiatherium_d	extinct
Cardiatherium_isseli	extinct
Cardiatherium_patagonicum	extinct
Cardiatherium_talicei	extinct
Cardiomys_a	extinct
Cardiomys_ameghinorum	extinct
Cardiomys_b	extinct
Cardiomys_leufuensis	extinct
Carlesia	extinct
Caroloameghinia_mater	extinct
Caroloameghinia_tenuis	extinct
Carolopaulacoutoia	extinct
Carolopaulacoutoia_itaboraiensis	extinct
Catonyx_a	extinct
Cavia_aperea	extant
Cavia_cabrerai	extinct
Caviodon_a	extinct
Caviodon_australis	extinct
Caviodon_b	extinct
Caviodon_c	extinct
Caviodon_multiplicatus	extinct
Caviodon_pozzii	extinct
Cephalomyopsis_a	extinct
Cephalomyopsis_b	extinct
Cephalomys	extinct
Cephalomys_arcidens	extinct
Cercomys	extinct
cf._Eoespina	extinct
Cf._Hapalops	extinct
cf._Perulestes	extinct
cf._Plesiomegatherium	extinct
cf._Proargyrolagus	extinct
cf._Proscelidodon	extinct
cf._Yuruatherium	extinct
Chapalmalania_a	extinct
Chasichimys	extinct
Chasichimys_bonaerense	extinct
Chasicomys	extinct
Chasicomys_octodontiforme	extinct
Chasicotatus_ameghinoi	extinct
Chironectes	extinct
Chorobates	extinct
Chorobates_recens	extinct
Chorobates_rescens	extinct
Chorobates_villosissimus	extinct
Cimolestes	extinct
Cochilius_fumensis	extinct
Cochilius_volvens	extinct
Colbertia	extinct
Colbertia_lumbrerense	extinct
Colbertia_magellanica	extinct
Colpostemma	extinct
Coniopternium	extinct
Coniopternium_andinum	extinct
Coniopternium_primitivum	extinct
Contracavia	extinct
Coquenia	extinct
Coresodon	extinct
Coscinocercus_brachyurus	extinct
Cramauchenia_normalis	extinct
Ctenomys_a	extinct
Ctenomys_priscus	extinct
Cullinia_a	extinct
Cullinia_b	extinct
Cyonasua_a	extinct
Cyonasua_b	extinct
Cyonasua_brevirostris	extinct
Cyonasua_c	extinct
Cyonasua_clausa	extinct
Cyonasua_groeberi	extinct
Cyonasua_pascuali	extinct
Dankomys_simpsoni	extinct
Dasypus_laevisculptus	extinct
Delphinus	extinct
Derorhynchus	extinct
Derorhynchus_minutus	extinct
Derorhynchus_singularis	extinct
Deuterotherium	extinct
Diaphoromys_mesopotamicus	extinct
Didelphis_a	extinct
Didelphis_solimoensis	extinct
Didelphopsis	extinct
Didelphopsis_cabrerai	extinct
Didolodus	extinct
Didolodus_minor	extinct
Didolodus_multicuspis	extinct
Diheterocnus	extinct
Dioplotherium	extinct
Diplasiotherium_pampa	extinct
Diplasiotherium_robustum	extinct
Doellomys	extinct
Doellotatus	extinct
Doellotatus__cf._chapadmalensis	extinct
Doellotatus_chapadmalensis	extinct
Doellotatus_inornatus	extinct
Dolicavia	extinct
Dolicavia_minuscula	extinct
Dolichotis_a	extinct
Drytomomys_a	extinct
Drytomomys_b	extinct
Eleutherocercus	extinct
Eleutherocercus_antiquus	extinct
Eleutherocercus_paranensis	extinct
Eoauchenia	extinct
Eoauchenia_primitiva	extinct
Eobranisamys_a	extinct
Eobranisamys_b	extinct
Eobranisamys_javierpradoi	extinct
Eobranisamys_romeropittmanae	extinct
Eoespina	extinct
Eoespina_woodi	extinct
Eohyrax	extinct
Eohyrax_isotemnoides	extinct
Eohyrax_rusticus	extinct
Eoincamys	extinct
Eoincamys_ameghinoi	extinct
Eoincamys_valverdei	extinct
Eomicrobiotherium	extinct
Eomicrobiotherium_matutinum	extinct
Eomorphippus_neilopdykei	extinct
Eomorphippus_obscurus	extinct
Eopachyrucos_pliciferus	extinct
Eopachyrucos_pliciformis	extinct
Eopachyrucos_ranchoverdensis	extinct
Eosclerocalyptus	extinct
Eosclerocalyptus_lineatus	extinct
Eosclerocalyptus_proximus	extinct
Eoviscaccia	extinct
Eoviscaccia_australis	extinct
Eoviscaccia_frassinettii	extinct
Epidolops_ameghinoi	extinct
Epipatriarchus_innexus	extinct
Epitherium_laternarium	extinct
Ernestokokenia_a	extinct
Ernestokokenia_b	extinct
