Species	Status
?_Eocoleophorus_glyptodontoides	extinct
?Sallamys	extinct
Abalosia_castellanosi	extinct
Abderites_a	extinct
Abderites_b	extinct
Abderites_meridionalis	extinct
Abothrodon_pricei	extinct
Abrocoma_antiqua	extinct
Abrothrix	extinct
Abrothrix_illuteus	extant
Abrothrix_kermacki	extinct
Abrothrix_longipilis	extant
Abrothrix_magnus	extinct
Acamana	extinct
Acamana_ambiguus	extinct
Acarechimys_a	extinct
Acarechimys_b	extinct
Acarechimys_c	extinct
Acarechimys_d	extinct
Acarechimys_gracilis	extinct
Acarechimys_leucotheae	extinct
Acarechimys_minutissimus	extinct
Acarechimys_minutus	extinct
Acarechimys_pascuali	extinct
Acaremys	extinct
Acaremys_major	extinct
Acaremys_messor	extinct
Acaremys_minutissimus	extinct
Acaremys_murinus	extinct
Acaremys_preminutus	extinct
Acaremys_tricarinatus	extinct
Acdestis_bonapartei	extinct
Acdestis_lemairei	extinct
Acdestis_maddeni	extinct
Acdestis_oweni	extinct
Acdestoides_praecursor	extinct
Acoelodus_debilitatus	extinct
Acoelodus_oppositus	extinct
Acoelodus_proclivus	extinct
Acoelodus_terminalis	extinct
Acoelohyrax	extinct
Acoelohyrax_coalitus	extinct
Acoelohyrax_coarctatus	extinct
Acoelohyrax_complicatissimus	extinct
Acoelohyrax_coronatus	extinct
Acoelohyrax_sigma	extinct
Acrecebus_fraileyi	extinct
Acrocyon_riggsi	extinct
Acrocyon_sectorius	extinct
Actenomys	extinct
Actenomys_priscus	extinct
Acyon_myctoderos	extinct
Acyon_tricuspidatus	extinct
Adelphomys	extinct
Adelphomys_candidus	extinct
Adianthus_bucatus	extinct
Adianthus_godoyi	extinct
Adiantoides_leali	extinct
Adiantoides_magnus	extinct
Adiastaltus_habilis	extinct
Adiastaltus_procerus	extinct
Adinotherium_a	extinct
Adinotherium_b	extinct
Adinotherium_c	extinct
Adinotherium_ovinum	extinct
Adinotherium_robustum	extinct
Aenigmys_diamantensis	extinct
aff._Eosallamys_sp.	extinct
aff._Palaeothentes	extinct
aff._Tarapotomys	extinct
aff._Tarapotomys_sp.	extinct
Agalmaceros	extinct
Agalmaceros_blicki	extinct
Ahytherium_aureum	extinct
Akodon	extinct
Akodon_cursor	extant
Akodon_iniscatus	extant
Akodon_lorenzinii	extinct
Albertogaudrya	extinct
Albertogaudrya_carahuasensis	extinct
Albertogaudrya_robusta	extinct
Albertogaudrya_unica	extinct
Alcidedorbignya_inopinata	extinct
Alitoxodon_a	extinct
Alitoxodon_b	extinct
Allalmeia_atalaensis	extinct
Allocavia_chasicoense	extinct
Alloiomys	extinct
Alloiomys_friasensis	extinct
Alouatta_mauroi	extinct
Alouatta_seniculus	extant
Altitypotherium	extinct
Altitypotherium_chucalensis	extinct
Altitypotherium_paucidens	extinct
Ameghinomys_constans	extinct
Amilnedwardsia_brevicula	extinct
Amphidolops	extinct
Amphidolops_intermedius	extinct
Amphidolops_minimus	extinct
Amphidolops_serrula	extinct
Amphidolops_yapa	extinct
Amphinasua	extinct
Amphiocnus_paranense	extinct
Anachlysictis_gracilis	extinct
Anadasypus	extinct
Anadasypus_aequatorianus	extinct
Anadasypus_hondanus	extinct
Anantiosodon_rarus	extinct
Anargyrolagus_primus	extinct
Anatochoerus	extinct
Anayatherium	extinct
Anayatherium_ekecoa	extinct
Anayatherium_fortis	extinct
Anchimysops_villalobosi	extinct
Ancylocoelus_frequens	extinct
Ancylocoelus_minor	extinct
Andemys_termasi	extinct
Andinodelphys_cochabambensis	extinct
Andinogale_sallensis	extinct
Andinomys_edax	extant
Angelocabrerus_daptes	extinct
Anisodontherium	extinct
Anisodontherium_halmyronomum	extinct
Anisolambda	extinct
Anisolambda_amel	extinct
Anisolambda_fissidens	extinct
Anisolophus	extinct
Anisolophus_floweri	extinct
Anisotemnus	extinct
Anisotemnus_distentus	extinct
Antawallathentes	extinct
Antawallathentes_illimani	extinct
Antepithecus	extinct
Antepithecus_brachystephanus	extinct
Antepithecus_innexus	extinct
Antifer_a	extinct
Antifer_b	extinct
Antifer_c	extinct
Antifer_crassus	extinct
Antifer_niemeyeri	extinct
Antifer_ultra	extinct
Antofagastia	extinct
Antofagastia_turneri	extinct
Aotus_dindensis	extinct
Aotus_trivirgatus	extant
Apeirodon_sorianoi	extinct
Arazamys_castiglionii	extinct
Archaeodolops_clavulus	extinct
Archaeogaia_macachaae	extinct
Archaeohyrax_a	extinct
Archaeohyrax_b	extinct
Archaeohyrax_patagonicus	extinct
Archaeohyrax_suniensis	extinct
Archaeomylodon_sampedrinensis	extinct
Archaeophylus_patrius	extinct
Archaeopithecus_rogeri	extinct
Archaeoplus_incipiens	extinct
Archaeotypotherium_a	extinct
Archaeotypotherium_b	extinct
Archaeotypotherium_pattersoni	extinct
Archaeotypotherium_propheticus	extinct
Archaeotypotherium_tinguiriricaense	extinct
Archaeutatus	extinct
Archaeutatus_malaspinensis	extinct
Arctodictis_a	extinct
Arctodictis_b	extinct
Arctodictis_munizi	extinct
Arctodictis_sinclairi	extinct
Arctodus	extinct
Arctotherium_(Arctotherium)	extinct
Arctotherium_(Pararctotherium)	extinct
Arctotherium_a	extinct
Arctotherium_angustidens	extinct
Arctotherium_b	extinct
Arctotherium_c	extinct
Arctotherium_d	extinct
Arctotherium_e	extinct
Arctotherium_tarijense	extinct
Arctotherium_wingei	extinct
Argyrohippus_boulei	extinct
Argyrohyrax_a	extinct
Argyrohyrax_b	extinct
Argyrohyrax_proavus	extinct
Argyrohyus	extinct
Argyrolagus	extinct
Argyrolagus_palmeri	extinct
