Species	Status	min_age	max_age
Marmosopsis	extinct	47.8	59.2
Marmosopsis	extinct	47.8	56
Marmosopsis_juradoi	extinct	47.8	56
Monodelphopsis	extinct	47.8	56
Monodelphopsis_travassosi	extinct	47.8	56
Derorhynchus	extinct	47.8	56
Derorhynchus_minutus	extinct	61.6	66
Derorhynchus_singularis	extinct	47.8	56
Pauladelphys	extinct	41.3	47.8
Pauladelphys	extinct	47.8	56
Rumiodon_inti	extinct	28.1	37.71
Caroloameghinia_mater	extinct	38	41.2
Caroloameghinia_mater	extinct	37.71	47.8
Protodidelphis	extinct	47.8	59.2
Protodidelphis_vanzolinii	extinct	47.8	59.2
Carolopaulacoutoia	extinct	47.8	59.2
Carolopaulacoutoia_itaboraiensis	extinct	47.8	59.2
Didelphopsis	extinct	47.8	59.2
Didelphopsis_cabrerai	extinct	47.8	59.2
Itaboraidelphys	extinct	47.8	56
Itaboraidelphys_camposi	extinct	47.8	56
Eulamaops	extinct	0.0117	2.58
Hemiauchenia_a	extinct	0.0117	2.58
Hemiauchenia_a	extinct	0.0117	2.58
Hemiauchenia_a	extinct	3.6	5.333
Hemiauchenia_paradoxa	extinct	0.0117	2.58
Hemiauchenia_b	extinct	0.0117	2.58
Hemiauchenia_c	extinct	0.0117	2.58
Hemiauchenia_paradoxa	extinct	0.0117	2.58
Hemiauchenia_c	extinct	0.0117	0.7774
Hemiauchenia_paradoxa	extinct	0.781	1.06
Hemiauchenia_paradoxa	extinct	0.0117	2.58
Lama_guanicoe	extant	0.0117	2.58
Lama_guanicoe	extant	0.0117	2.58
Lama_a	extinct	2.58	3.6
Lama_a	extinct	3.6	5.333
Lama_guanicoe	extant	0	0.0117
Lama_gracilis	extinct	0.0117	2.58
Lama_guanicoe	extant	0	0.0117
Lama_guanicoe	extant	0	0.126
Lama_mesolithica	extinct	0.781	1.06
Lama_guanicoe	extant	0.0117	2.58
Lama_guanicoe	extant	0.0117	2.58
Palaeolama_a	extinct	0.0117	2.58
Palaeolama_weddelli	extinct	0.0117	2.58
Palaeolama_b	extinct	0.0117	2.58
Palaeolama_b	extinct	0.0117	2.58
Palaeolama_crequii	extinct	0.781	1.06
Palaeolama_c	extinct	0.0117	2.58
Palaeolama_c	extinct	0	2.58
Palaeolama_d	extinct	0.0117	2.58
Palaeolama_crassa	extinct	0.0117	2.58
Palaeolama_e	extinct	0.0117	2.58
Palaeolama_f	extinct	0.781	3.6
Palaeolama_f	extinct	0.0117	2.58
Palaeolama_f	extinct	0.0117	2.58
Palaeolama_weddelli	extinct	0.781	5.333
Palaeolama (Palaeolama)	extinct	0.0117	2.58
Palaeolama_(Palaeolama)	extinct	0	0.126
Palaeolama_(Palaeolama)	extinct	0.0117	2.58
Palaeolama_(Palaeolama)	extinct	0	2.58
Palaeolama_(Palaeolama)	extinct	0.0117	2.58
Vicugna_vicugna	extant	0.0117	2.58
Agalmaceros	extinct	0.0117	2.58
Agalmaceros_blicki	extinct	0.0117	2.58
Antifer_a	extinct	0.0117	2.58
Antifer_crassus	extinct	2.58	3.6
Antifer_ultra	extinct	0.0117	2.58
Antifer_b	extinct	0.0117	2.58
Antifer_c	extinct	0.0117	2.58
Antifer_niemeyeri	extinct	0	0.126
Antifer_ultra	extinct	0.0099	0.01138
Antifer_ultra	extinct	0.0117	2.58
Blastocerus_dichotomus	extant	0	0.0117
Blastocerus_dichotomus	extant	0.0117	2.58
Mazama_americana	extant	0	0.0117
Mazama_americana	extant	0	0.126
Mazama_americana	extant	0	0.0117
Morenelaphus_a	extinct	0.0117	2.58
Morenelaphus_a	extinct	0.0117	2.58
Morenelaphus_a	extinct	0	0.126
Morenelaphus_b	extinct	0	0.0117
Morenelaphus_c	extinct	0.0117	2.58
Morenelaphus_c	extinct	0	0.126
Morenelaphus_d	extinct	0.0117	2.58
Morenelaphus_brachyceros	extinct	0.0117	2.58
Odocoileus_virginianus	extant	0	0.0117
Odocoileus_salinae	extinct	0.0117	2.58
Odocoileus_salinae	extinct	0.0117	2.58
Ozotoceros_bezoarticus	extant	0.0117	2.58
Ozotoceros_bezoarticus	extant	0	0.0117
Ozotoceros_bezoarticus	extant	0.0117	2.58
Ozotoceros_bezoarticus	extant	0.0117	2.58
Ozotoceros_bezoarticus	extant	0.0117	2.58
Ozotoceros_bezoarticus	extant	0.0117	2.58
Argyrohyus	extinct	3.6	5.333
Catagonus_stenocephalus	extinct	0.0117	2.58
Catagonus_stenocephalus	extinct	0.781	1.06
Platygonus_a	extinct	0.0117	2.58
Platygonus_a	extinct	2.58	3.6
Platygonus_marplatensis	extinct	3.6	5.333
Platygonus_b	extinct	0.0117	2.58
Platygonus_b	extinct	0.0117	2.58
Platygonus_c	extinct	0.129	5.333
Platygonus_d	extinct	0.781	3.6
Platygonus_narinoensis	extinct	0.781	3.6
Tayassu_pecari	extant	0.0117	2.58
Tayassu_pecari	extant	0.0117	2.58
Tayassu_pecari	extant	0	2.58
Tayassu_pecari	extant	0.0117	2.58
Tayassu_pecari	extant	0	0.126
Tayassu_pecari	extant	0.0117	2.58
Tayassu_pecari	extant	0.0117	2.58
Tayassu_pecari	extant	0.0117	2.58
Tayassu_pecari	extant	0.008276	0.129
Tayassu_pecari	extant	0.0117	2.58
Tayassu_pecari	extant	0	0.0117
Tayassu_pecari	extant	0	2.58
Tayassu_pecari	extant	0.0117	2.58
Astraponotus	extinct	33.9	37.71
Astraponotus	extinct	33.9	41.2
Astraponotus_assymmetrus	extinct	37.71	47.8
Astrapothericulus	extinct	15.97	23.03
Astrapothericulus_iheringi	extinct	18	19
Astrapothericulus_iheringi	extinct	18	19
Astrapotherium_a	extinct	11.63	15.97
Astrapotherium_a	extinct	15.97	23.03
Astrapotherium_a	extinct	15.97	23.03
Astrapotherium_b	extinct	11.63	15.97
Astrapotherium_b	extinct	15.97	20.44
Astrapotherium_b	extinct	15.97	23.03
Astrapotherium_b	extinct	15.97	23.03
Astrapotherium_christi	extinct	15.97	23.03
Hilarcotherium	extinct	11.63	15.97
Hilarcotherium_castanedaii	extinct	11.63	15.97
Hilarcotherium_miyou	extinct	13.82	20.44
Hilarcotherium_miyou	extinct	15.97	20.44
Hilarcotherium_miyou	extinct	13.82	15.97
Hilarcotherium_miyou	extinct	11.63	15.97
Parastrapotherium_voghti	extinct	23.03	27.82
Parastrapotherium_a	extinct	15.97	23.03
Parastrapotherium_holmbergi	extinct	20	29
Parastrapotherium_b	extinct	15.97	23.03
Xenastrapotherium_a	extinct	11.63	15.97
Xenastrapotherium_amazonense	extinct	11.63	15.97
Xenastrapotherium_kraglievichi	extinct	11.63	15.97
Xenastrapotherium_chaparralensis	extinct	23.03	27.82
Xenastrapotherium_b	extinct	11.63	15.97
Xenastrapotherium_aequatorialis	extinct	11.63	15.97
Albertogaudrya	extinct	41.3	47.8
Albertogaudrya_unica	extinct	38	41.2
Albertogaudrya_carahuasensis	extinct	47.8	52.5
Albertogaudrya_robusta	extinct	33.9	37.71
Albertogaudrya_unica	extinct	37.71	47.8
Trigonostylops_a	extinct	47.8	56
Trigonostylops_wortmani	extinct	37.71	47.8
Trigonostylops_wortmani	extinct	38	41.2
Trigonostylops_a	extinct	47.8	56
Trigonostylops_a	extinct	33.9	41.2
Trigonostylops_wortmani	extinct	41.3	47.8
Trigonostylops_wortmani	extinct	38	47.8
Trigonostylops_wortmani	extinct	37.71	47.8
Trigonostylops_b	extinct	47.8	56
Trigonostylops_c	extinct	37.71	47.8
Canis_gezi	extinct	0.0117	2.58
Canis_dirus	extinct	0.0117	2.58
Canis_dirus	extinct	0.0117	2.58
Canis_dirus	extinct	0.0117	2.58
Canis_dirus	extinct	0.781	3.6
Canis_dirus	extinct	0.0117	2.58
Cerdocyon_thous	extant	0	0.126
Cerdocyon_thous	extant	0.0117	2.58
Cerdocyon_thous	extant	0.0117	2.58
Cerdocyon_thous	extant	0	0.0117
Chrysocyon_brachyurus	extant	0.0117	2.58
Chrysocyon_brachyurus	extant	0.0117	2.58
Dusicyon_a	extinct	0	0.0117
Dusicyon_avus	extinct	0.0117	2.58
Dusicyon_a	extinct	2.58	3.6
Dusicyon_a	extinct	0	0.126
Dusicyon_a	extinct	0.0117	2.58
Dusicyon_avus	extinct	0.0117	2.58
Dusicyon_b	extinct	0	0.0117
Dusicyon_avus	extinct	0.0117	2.58
Dusicyon_c	extinct	0.0117	2.58
Dusicyon_avus	extinct	0.0117	2.58
Dusicyon_avus	extinct	0.0117	2.58
Dusicyon_sechurae	extinct	0.0117	2.58
Protocyon_a	extinct	0.0117	2.58
Protocyon_scagliarum	extinct	0.0117	2.58
Protocyon_b	extinct	0.0117	2.58
Protocyon_tarijensis	extinct	0.0117	2.58
Protocyon_c	extinct	0.0117	2.58
