Species	Status
Abderites	extinct
Acdestis	extinct
Acdestoides	extinct
aff._Palaeothentes	extinct
Amphidolops	extinct
Anargyrolagus	extinct
Andinodelphys	extinct
Antawallathentes	extinct
Apeirodon	extinct
Archaeodolops	extinct
Argyrolagus	extinct
Bardalestes	extinct
Bergqvistherium	extinct
Bobbschaefferia	extinct
Bonapartherium	extinct
Caenolestes	extant
Caenolestoides	extinct
Caluromys	extant
Caluromysiops	extant
Canchadelphys	extinct
Carlothentes	extinct
Caroloameghinia	extinct
Carolocoutoia	extinct
Carolopaulacoutoia	extinct
cf._Hondalagus	extinct
cf._Perulestes	extinct
cf._Proargyrolagus	extinct
Chacodelphys	extant
Chironectes	extant
Chulpasia	extinct
Clenia	extinct
Cocatherium	extinct
Coloradolops	extinct
Coona	extinct
Cryptonanus	extant
Derorhynchus	extinct
Didelphis	extant
Didelphopsis	extinct
Diogenesia	extinct
Dromiciops	extant
Eobrasilia	extinct
Eomicrobiotherium	extinct
Epidolops	extinct
Epiklohnia	extinct
Eudolops	extinct
Evolestes	extinct
Fieratherium	extinct
Gaimanlestes	extinct
Gashternia	extinct
Gaylordia	extinct
Glironia	extant
Gracilinanus	extant
Guggenheimia	extinct
Hesperocynus	extinct
Hondalagus	extinct
Hondathentes	extinct
Hyladelphys	extant
Hyperdidelphys	extinct
Hypodolops	extinct
Incadelphys	extinct
Incadolops	extinct
Itaboraidelphys	extinct
Jaskhadelphys	extinct
Khasia	extinct
Kirutherium	extinct
Kiruwamaq	extinct
Klohnia	extinct
Kramadolops	extinct
Lestodelphys	extant
Lestoros	extant
Lutreolina	extant
Marmosa	extant
Marmosops	extant
Marmosopsis	extinct
Mayulestes	extinct
Metachirus	extant
Microbiotherium	extinct
Microtragulus	extinct
Minusculodelphis	extinct
Mirandatherium	extinct
Mizquedelphys	extinct
Monodelphis	extant
Oligobiotherium	extinct
Pachybiotherium	extinct
Palaeothentes	extinct
Palangania	extinct
Parabderites	extinct
Patagonia	extinct
Pauladelphys	extinct
Peradectes	extinct
Periakros	extinct
Peridolopidae_gen_A	extinct
Periprotodidelphis	extinct
Perulestes	extinct
Philander	extant
Phonocdromus	extinct
Pichipilus	extinct
Pilchenia	extinct
Pitheculites	extinct
Pliolestes	extinct
Polydolops	extinct
Praedens	extinct
Prepidolops	extinct
Proargyrolagus	extinct
Procaroloameghinia	extinct
Progarzonia	extinct
Protodidelphis	extinct
Pseudhalmarhiphus	extinct
Pseudolops	extinct
Punadolops	extinct
Reigia	extinct
Rhyncholestes	extant
Riolestes	extinct
Roberthoffstetteria	extinct
Rumiodon	extinct
Sairadelphys	extinct
Sasawatsu	extinct
Sillustania	extinct
Sparassocynus	extinct
Stilotherium	extinct
Szalinia	extinct
Thylamys	extant
Thylatheridium	extinct
Thylophorops	extinct
Titanothentes	extinct
Tiulordia	extinct
Trelewthentes	extinct
Wamradolops	extinct
Woodburnodon	extinct
Zeusdelphys	extinct
Zygolestes	extinct
