Species	Status
Abderites	extinct
Acdestis	extinct
aff._Palaeothentes	extinct
Antawallathentes	extinct
Bardalestes	extinct
Caenolestes	extant
Caenolestoides	extinct
Carlothentes	extinct
cf._Perulestes	extinct
Evolestes	extinct
Gaimanlestes	extinct
Hondathentes	extinct
Lestoros	extant
Palaeothentes	extinct
Parabderites	extinct
Perulestes	extinct
Phonocdromus	extinct
Pichipilus	extinct
Pilchenia	extinct
Pitheculites	extinct
Pliolestes	extinct
Pseudhalmarhiphus	extinct
Rhyncholestes	extant
Riolestes	extinct
Sasawatsu	extinct
Stilotherium	extinct
Titanothentes	extinct
Trelewthentes	extinct
