Species	Status
Amphinasua	extinct
Arctodus	extinct
Arctotherium	extinct
Arctotherium_(Arctotherium)	extinct
Arctotherium_(Pararctotherium)	extinct
Atelocynus	extant
Bassaricyon	extant
Canis	extant
Cerdocyon	extant
Chapalmalania	extinct
Chrysocyon	extant
Conepatus	extant
Cyonasua	extinct
Dusicyon	extant
Eira	extant
Felis	extant
Galictis	extant
Herpailurus	extant
Homotherium	extinct
Leopardus	extant
Lontra	extant
Lycalopex	extant
Lyncodon	extant
Mustela_(Lutra)	extant
Nasua	extant
Nasuella	extant
Neogale	extant
Panthera	extant
Parahyaenodon	extinct
Potos	extant
Procyon	extant
Protocyon	extinct
Pseudalopex	extant
Pteronura	extant
Puma	extant
Smilodon	extinct
Speothos	extant
Stipanicicia	extinct
Tetraprothomo	extinct
Theriodictis	extinct
Tremarctos	extant
Uncia	extinct
Urocyon	extant
