Species	Status
Ametrida	extant
Amorphochilus	extant
Anoura	extant
Artibeus	extant
Artibeus_(Artibeus)	extant
Balantiopteryx	extant
Carollia	extant
Centronycteris	extant
Centurio	extant
Chilonatalus	extant
Chiroderma	extant
Choeroniscus	extant
Chrotopterus	extant
Cormura	extant
Cynomops	extant
Cyttarops	extant
Dermanura	extant
Desmodus	extant
Diaemus	extant
Diclidurus	extinct
Diphylla	extant
Enchisthenes	extant
Eptesicus	extant
Eumops	extant
Furipterus	extant
Glossophaga	extant
Glyphonycteris	extant
Histiotus	extant
Kiotomops	extinct
Lampronycteris	extant
Lasiurus	extant
Leptonycteris	extant
Lichonycteris	extant
Lionycteris	extant
Lonchophylla	extant
Lonchorhina	extant
Lophostoma	extant
Macrophyllum	extant
Mesophylla	extant
Micronycteris	extant
Mimon	extant
Molossops	extant
Molossus	extant
Mormoops	extant
Mormopterus	extinct
Myotis	extant
Natalus	extant
Neonycteris	extant
Noctilio	extant
Notonycteris	extinct
Nyctinomops	extant
Palynephyllum	extinct
Peropteryx	extant
Phylloderma	extant
Phyllostomus	extant
Platalina	extant
Platyrrhinus	extant
Potamops	extinct
Promops	extant
Pteronotus	extant
Pygoderma	extant
Rhinophylla	extant
Rhogeessa	extant
Rhynchonycteris	extant
Saccopteryx	extant
Scleronycteris	extant
Sphaeronycteris	extant
Sturnira	extant
Tadarida	extant
Thyroptera	extinct
Tomopeas	extant
Tonatia	extant
Trachops	extant
Trinycteris	extant
Uroderma	extant
Vampyressa	extant
Vampyrodes	extant
Vampyrum	extant
