Species	Status	min_age	max_age
Archaeogaia	extinct	37.71	47.8
Archaeoplus	extinct	37.71	47.8
Eurystephanodon	extinct	37.71	47.8
Griphotherion	extinct	37.71	47.8
Heterolophodon	extinct	37.71	47.8
Pseudopachyrucos	extinct	37.71	47.8
Puelia	extinct	37.71	47.8
Puelia	extinct	47.8	56
Puelia	extinct	56	59.2
Puelia	extinct	47.8	56
Puelia	extinct	33.9	37.71
Teushentherium	extinct	47.8	56
Isotypotherium	extinct	37.71	47.8
Acoelodus	extinct	37.71	47.8
Acoelodus	extinct	37.71	47.8
Acoelodus	extinct	37.71	47.8
Acoelodus	extinct	47.8	56
Allalmeia	extinct	37.71	47.8
Brachystephanus	extinct	47.8	56
Camargomendesia	extinct	47.8	56
Camargomendesia	extinct	37.71	55.8
Camargomendesia	extinct	37.71	55.8
Colbertia	extinct	47.8	56
Colbertia	extinct	47.8	56
Colbertia	extinct	47.8	56
Colbertia	extinct	38	47.8
Colbertia	extinct	37.71	47.8
Colbertia	extinct	37.71	47.8
Colbertia	extinct	37.71	47.8
Dolichostylodon	extinct	37.71	47.8
Itaboraitherium	extinct	37.71	47.8
Kibenikhoria	extinct	37.71	47.8
Kibenikhoria	extinct	37.71	47.8
Kibenikhoria	extinct	37.71	47.8
Kibenikhoria	extinct	37.71	47.8
Kibenikhoria	extinct	37.71	47.8
Kibenikhoria	extinct	38	47.8
Maxschlosseria	extinct	37.71	47.8
Maxschlosseria	extinct	37.71	47.8
Maxschlosseria	extinct	37.71	47.8
Maxschlosseria	extinct	38	47.8
Maxschlosseria	extinct	38	47.8
Maxschlosseria	extinct	38	47.8
Maxschlosseria	extinct	37.71	47.8
Maxschlosseria	extinct	37.71	47.8
Maxschlosseria	extinct	37.71	47.8
Maxschlosseria	extinct	37.71	47.8
Maxschlosseria	extinct	37.71	47.8
Maxschlosseria	extinct	37.71	47.8
Maxschlosseria	extinct	37.71	47.8
Maxschlosseria	extinct	37.71	47.8
Maxschlosseria	extinct	37.71	47.8
Maxschlosseria	extinct	37.71	47.8
Maxschlosseria	extinct	37.71	47.8
Maxschlosseria	extinct	37.71	47.8
Maxschlosseria	extinct	37.71	47.8
Oldfieldthomasia	extinct	37.71	47.8
Oldfieldthomasia	extinct	37.71	47.8
Oldfieldthomasia	extinct	37.71	47.8
Oldfieldthomasia	extinct	37.71	47.8
Oldfieldthomasia	extinct	38	47.8
Oldfieldthomasia	extinct	37.71	47.8
Oldfieldthomasia	extinct	37.71	47.8
Oldfieldthomasia	extinct	37.71	47.8
Oldfieldthomasia	extinct	37.71	47.8
Oldfieldthomasia	extinct	37.71	47.8
Oldfieldthomasia	extinct	37.71	47.8
Oldfieldthomasia	extinct	33.9	37.71
Oldfieldthomasia	extinct	37.71	47.8
Oldfieldthomasia	extinct	37.71	47.8
Oldfieldthomasia	extinct	37.71	47.8
Oldfieldthomasia	extinct	37.71	47.8
Oldfieldthomasia	extinct	37.71	47.8
Oldfieldthomasia	extinct	37.71	47.8
