Species	Status
Abderites	extinct
Acdestis	extinct
Acdestodon	extinct
Acdestoides	extinct
Antawallathentes	extinct
Bardalestes	extinct
Caenolestes	extant
Caenolestoides	extinct
Carlothentes	extinct
Evolestes	extinct
Gaimanlestes	extinct
Lestoros	extant
Palaeothentes	extinct
Parabderites	extinct
Perulestes	extinct
Phonocdromus	extinct
Pichipilus	extinct
Pilchenia	extinct
Pitheculites	extinct
Pliolestes	extinct
Progarzonia	extinct
Propalaeothentes	extinct
Pseudhalmarhiphus	extinct
Rhyncholestes	extant
Riolestes	extinct
Sasawatsu	extinct
Stilotherium	extinct
Titanothentes	extinct
Trelewthentes	extinct
