Species	Status
?Sallamys	extinct
Abalosia	extinct
Abrawayaomys	extant
Abrocoma	extant
Abrothrix	extant
Acarechimys	extinct
Acaremys	extinct
Aconaemys	extant
Actenomys	extinct
Adelphomys	extinct
Aegialomys	extant
Aenigmys	extinct
Aepeomys	extant
aff._Tarapotomys	extinct
Akodon	extant
Akodon_(Akodon)	extant
Allocavia	extinct
Alloiomys	extinct
Ameghinomys	extinct
Amphinectomys	extant
Anatochoerus	extinct
Andalgalomys	extant
Andemys	extinct
Andinomys	extant
Anotomys	extant
Arazamys	extinct
Artigasia	extinct
Asteromys	extinct
Auliscomys	extinct
Australoprocta	extinct
Balsayacuy	extinct
Banderomys	extinct
Bibimys	extant
Blarinomys	extant
Branisamyopsis	extinct
Branisamys	extinct
Briaromys	extinct
Brucepattersonius	extant
Cachiyacuy	extinct
Callistomys	extant
Calomys	extant
Canaanimys	extinct
Cantracavia	extinct
Cardiatherium	extinct
Cardiomys	extinct
Carlesia	extinct
Carterodon	extant
Cavia	extant
Caviocricetus	extinct
Caviodon	extinct
Cephalomyopsis	extinct
Cephalomys	extinct
Cercomys	extinct
Cerradomys	extant
cf._Cachiyacuy	extinct
cf._Eoespina	extinct
cf._Pozomys	extinct
cf._Tarapotomys	extinct
Chachapoyamys	extinct
Chaetomys	extant
Chambiramys	extinct
Changquin	extinct
Chasichimys	extinct
Chasicomys	extinct
Chelemys	extant
Chibchanomys	extant
Chilomys	extant
Chinchilla	extant
Chinchillula	extant
Cholamys	extinct
Cholomys	extinct
Chubutomys	extinct
Chukimys	extinct
Clyomys	extant
Coendou	extant
Colomys	extant
Colpostemma	extinct
Contracavia	extinct
Ctenomys	extant
Cuniculus	extant
Dactylomys	extant
Dankomys	extinct
Dasyprocta	extant
Delomys	extant
Deltamys	extant
Deseadomys	extinct
Diaphoromys	extinct
Dicardia	extinct
Dicolpomys	extinct
Dinomys	extant
Diplomys	extant
Discolomys	extinct
Disteiromys	extinct
Doellomys	extinct
Dolicavia	extinct
Dolichotis	extant
Doryperimys	extinct
Draconomys	extinct
Drymoreomys	extant
Drytomomys	extinct
Dudumus	extinct
Echimys	extant
Eligmodontia	extant
Eobranisamys	extinct
Eocardia	extinct
Eocardia_(Dicardia)	extinct
Eodelphomys	extinct
Eodolichotis	extinct
Eoespina	extinct
Eoincamys	extinct
Eopicure	extinct
Eopululo	extinct
Eosachacui	extinct
Eosallamys	extinct
Eosteiromys	extinct
Eoviscaccia	extinct
Eremoryzomys	extant
Erethizon	extinct
Ethelomys	extinct
Eucelophorus	extinct
Eucoelophorus	extinct
Eumegamys	extinct
Eumegamysops	extinct
Eumysops	extinct
Euneomys	extant
Euryoryzomys	extant
