Species	Status
Abderites	extinct
Acdestis	extinct
Acdestodon	extinct
Acdestoides	extinct
Amphidolops	extinct
Anargyrolagus	extinct
Antawallathentes	extinct
Argyrolagus	extinct
Bardalestes	extinct
Bonapartherium	extinct
Caenolestoides	extinct
Caluromys	extant
Caluromysiops	extant
Carlothentes	extinct
Chironectes	extant
Clenia	extinct
Coloradolops	extinct
Cryptonanus	extant
Didelphis	extant
Eomicrobiotherium	extinct
Epidolops	extinct
Eudolops	extinct
Evolestes	extinct
Gaimanlestes	extinct
Gaylordia	extinct
Gracilinanus	extant
Hesperocynus	extinct
Hondalagus	extinct
Hyperdidelphys	extinct
Hypodolops	extinct
Incadelphys	extinct
Incadolops	extinct
Khasia	extinct
Kirutherium	extinct
Klohnia	extinct
Kramadolops	extinct
Lestodelphys	extant
Lutreolina	extant
Marmosa	extant
Marmosops	extant
Metachirus	extant
Micoureus	extant
Microbiotherium	extinct
Microtragulus	extinct
Mirandatherium	extinct
Mizquedelphys	extinct
Monodelphis	extant
Oligobiotherium	extinct
Pachybiotherium	extinct
Palaeothentes	extinct
Parabderites	extinct
Paradidelphys	extinct
Perulestes	extinct
Philander	extant
Phonocdromus	extinct
Pichipilus	extinct
Pilchenia	extinct
Pitheculites	extinct
Pliolestes	extinct
Polydolops	extinct
Prepidolops	extinct
Proargyrolagus	extinct
Progarzonia	extinct
Propalaeothentes	extinct
Pseudhalmarhiphus	extinct
Pseudolops	extinct
Punadolops	extinct
Riolestes	extinct
Roberthoffstetteria	extinct
Sairadelphys	extinct
Sasawatsu	extinct
Sparassocynus	extinct
Stilotherium	extinct
Szalinia	extinct
Thylamys	extant
Thylatheridium	extinct
Thylophorops	extinct
Titanothentes	extinct
Tiulordia	extinct
Trelewthentes	extinct
Wamradolops	extinct
Woodburnodon	extinct
Zygolestes	extinct
