Species	Status
Agalmaceros	extinct
Antifer	extinct
Argyrohyus	extinct
Blastocerus	extant
Brasiliochoerus	extinct
Catagonus	extant
Cervus	extant
Charitoceros	extinct
Dicotyles	extinct
Epieurycerus	extinct
Eulamaops	extinct
Hemiauchenia	extinct
Hippocamelus	extant
Lama	extant
Mazama	extant
Morenelaphus	extinct
Odocoileus	extant
Ozotoceros	extant
Palaeolama	extinct
Palaeolama_(Astylolama)	extinct
Palaeolama_(Palaeolama)	extinct
Palaeolama_(Protauchenia)	extinct
Paraceros	extinct
Pecari	extant
Platygonus	extinct
Pudu	extant
Tayassu	extant
Vicugna	extant
