Species	Status
Caluromys	extant
Caluromysiops	extant
Chironectes	extant
Cryptonanus	extant
Didelphis	extant
Gracilinanus	extant
Hesperocynus	extinct
Hyperdidelphys	extinct
Incadelphys	extinct
Lestodelphys	extant
Lutreolina	extant
Marmosa	extant
Marmosops	extant
Metachirus	extant
Micoureus	extant
Mizquedelphys	extinct
Monodelphis	extant
Paradidelphys	extinct
Philander	extant
Sairadelphys	extinct
Sparassocynus	extinct
Szalinia	extinct
Thylamys	extant
Thylatheridium	extinct
Thylophorops	extinct
Tiulordia	extinct
Zygolestes	extinct
