Species	Status	min_age	max_age
Anathitus	extinct	16.3	17.5
Hiskatherium	extinct	12.4	13
Pseudoglyptodon	extinct	36	39
Pseudoglyptodon	extinct	28.4	33.9
Pseudoglyptodon	extinct	28.4	33.9
Pseudoglyptodon	extinct	23.03	29
Pseudoglyptodon	extinct	23.03	29
Bradypus	extant	0	0.0117
Bradypus	extant	0	0.0117
Cyclopes	extant	0	0.0117
Cyclopes	extant	0	0.0117
Palaeomyrmidon	extinct	3.3	5.333
Adiastaltus	extinct	16.9	17.41
Adiastaltus	extinct	17.41	17.5
Adiastaltus	extinct	16.3	17.5
Argyromanis	extinct	16.3	17.5
Orthoarthrus	extinct	16.3	17.5
Ahytherium	extinct	0.012	0.126
Ahytherium	extinct	0.0117	0.129
Amphiocnus	extinct	6.8	8
Australonyx	extinct	0.012	0.126
Choloepus	extant	0	0.0117
Choloepus	extant	0	0.0117
Deseadognathus	extinct	23.03	29
Diheterocnus	extinct	3.3	4
Diheterocnus	extinct	3.3	4
Eucholoeops	extinct	16.3	17.5
Eucholoeops	extinct	16.3	17.5
Eucholoeops	extinct	16.3	17.5
Eucholoeops	extinct	16.3	17.5
Eucholoeops	extinct	16.3	17.5
Eucholoeops	extinct	16.3	17.5
Eucholoeops	extinct	16.3	17.5
Eucholoeops	extinct	16.3	17.5
Eucholoeops	extinct	16.3	17.5
Eucholoeops	extinct	17.41	17.5
Eucholoeops	extinct	17.41	17.5
Eucholoeops	extinct	17.41	17.5
Eucholoeops	extinct	16.3	17.5
Eucholoeops	extinct	11.5	13
Eucholoeops	extinct	16.3	17.5
Eucholoeops	extinct	16.3	17.5
Eucholoeops	extinct	16.3	17.5
Eucholoeops	extinct	16.88	17.41
Eucholoeops	extinct	17.41	17.5
Eucholoeops	extinct	17.49	17.5
Eucholoeops	extinct	16.3	17.5
Eucholoeops	extinct	16.3	17.5
Hapaloides	extinct	20	21
Hapalops	extinct	11.8	13
Hapalops	extinct	7.246	11.62
Hapalops	extinct	15.97	20.44
Hapalops	extinct	15.97	20.44
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	11.8	13
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	12.58	16
Hapalops	extinct	12.58	16
Hapalops	extinct	12.58	16
Hapalops	extinct	11.8	13
Hapalops	extinct	10.52	12.58
Hapalops	extinct	11.8	13
Hapalops	extinct	10.52	12.58
Hapalops	extinct	11.8	13
Hapalops	extinct	10.52	12.58
Hapalops	extinct	12.58	16
Hapalops	extinct	11.8	13
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	12.4	13
Hapalops	extinct	17.41	17.5
Hapalops	extinct	16.9	17.41
Hapalops	extinct	17.41	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	17.41	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.49	17.04
Hapalops	extinct	16.3	16.32
Hapalops	extinct	16.88	17.41
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.88	17.41
Hapalops	extinct	16.3	17.5
Hapalops	extinct	17.41	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.3	17.5
Hapalops	extinct	16.88	17.41
Hapalops	extinct	16.3	17.5
Holomegalonyx	extinct	20	21
Hyperleptus	extinct	16.3	17.5
Hyperleptus	extinct	13.82	20.44
Hyperleptus	extinct	16.3	17.5
Hyperleptus	extinct	16.3	17.5
Megalonychops	extinct	0.781	1.2
Megalonychops	extinct	6.8	8
Megalonychotherium	extinct	16.88	17.41
Megistonyx	extinct	0.017146	0.017624
Mesopotamocnus	extinct	6.8	8
Nothropus	extinct	0.781	2.58
Nothropus	extinct	0.0117	0.126
Nothropus	extinct	0	0.0117
Ocnopus	extinct	0.0117	2.58
Ocnopus	extinct	0.0117	0.35
Ortotherium	extinct	6.8	8
Ortotherium	extinct	6.8	8
Ortotherium	extinct	6.8	8
Ortotherium	extinct	6.8	8
Ortotherium	extinct	6.8	8
Ortotherium	extinct	6.8	8
Paranabradys	extinct	6.8	9
Pattersonocnus	extinct	5.333	11.608
Pelecyodon	extinct	16.3	17.5
Pelecyodon	extinct	16.3	17.5
Pelecyodon	extinct	16.3	17.5
Pelecyodon	extinct	16.3	17.5
Pelecyodon	extinct	17.41	17.5
Pelecyodon	extinct	17.41	17.5
Pelecyodon	extinct	16.88	17.41
Pliomorphus	extinct	7.246	11.62
Pliomorphus	extinct	5.333	11.608
Pliomorphus	extinct	6.8	8
Pliomorphus	extinct	6.8	8
Pliomorphus	extinct	6.8	8
Pliomorphus	extinct	6.8	8
Pliomorphus	extinct	6.8	8
Proplatyarthrus	extinct	28.4	29.2
Proschismotherium	extinct	20	21
Protomegalonyx	extinct	7.246	11.62
Protomegalonyx	extinct	8	9
