Species	Status
Acamana	extinct
Acoelodus	extinct
Acoelohyrax	extinct
Allalmeia	extinct
Anayatherium	extinct
Ancylocoelus	extinct
Anisotemnus	extinct
Antepithecus	extinct
Antofagastia	extinct
Archaeohyrax	extinct
Archaeophylus	extinct
Archaeopithecus	extinct
Archaeotypotherium	extinct
Argyrohyrax	extinct
Asmodeus	extinct
Boreastylops	extinct
Brachystephanus	extinct
Brucemacfaddenia	extinct
Bryanpattersonia	extinct
Calodontotherium	extinct
Camargomendesia	extinct
Campanorco	extinct
Chilestylops	extinct
Cochilius	extinct
Coelostylodon	extinct
Colbertia	extinct
Colhuelia	extinct
Coquenia	extinct
Coresodon	extinct
Distylophorus	extinct
Dolichostylodon	extinct
Edvardotrouessartia	extinct
Elmerriggsia	extinct
Eohyrax	extinct
Eomorphippus	extinct
Eopachyrucos	extinct
Eurygenium	extinct
Eurystephanodon	extinct
Federicoanaya	extinct
Fiandraia	extinct
Griphotherion	extinct
Gualta	extinct
Guilielmoscottia	extinct
Hegetotheriopsis	extinct
Hegetotherium	extinct
Henricofilholia	extinct
Henricosbornia	extinct
Heterolophodon	extinct
Homalodontotherium	extinct
Homalostylops	extinct
Ignigena	extinct
Isolophodon	extinct
Isotemnus	extinct
Isotypotherium	extinct
Itaboraitherium	extinct
Johnbell	extinct
Kibenikhoria	extinct
Leontinia	extinct
Martinmiguelia	extinct
Maxschlosseria	extinct
Medistylus	extinct
Mendozahippus	extinct
Moqueguahippus	extinct
Nanolophodon	extinct
Nesodon	extinct
Notopithecus	extinct
Notostylops	extinct
Oldfieldthomasia	extinct
Orome	extinct
Orthogeniops	extinct
Ortholophodon	extinct
Othnielmarshia	extinct
Otrhonia	extinct
Paginula	extinct
Pampahippus	extinct
Pampatemnus	extinct
Pascualihippus	extinct
Patagonhippus	extinct
Peripantostylops	extinct
Periphragnis	extinct
Perutherium	extinct
Pleurostylodon	extinct
Proadinotherium	extinct
Proargyrohyrax	extinct
Progaleopithecus	extinct
Prohegetotherium	extinct
Propachyrucos	extinct
Prosotherium	extinct
Protarchaeohyrax	extinct
Protypotherium	extinct
Pseudhyrax	extinct
Pseudohegetotherium	extinct
Pseudopachyrucos	extinct
Puelia	extinct
Punahyrax	extinct
Punapithecus	extinct
Rhynchippus	extinct
Rhyphodon	extinct
Rosendo	extinct
Sallatherium	extinct
Santiagorothia	extinct
Scarrittia	extinct
Suniodon	extinct
Taubatherium	extinct
Teratopithecus	extinct
Termastherium	extinct
Teushentherium	extinct
Thomashuxleya	extinct
Trachytherus	extinct
Transpithecus	extinct
Trigonolophodon	extinct
Trimerostephanos	extinct
Tsamnichoria	extinct
Ultrapithecus	extinct
Xenostephanus	extinct
