Species	Status
?Sallamys	extinct
Acarechimys	extinct
aff._Tarapotomys	extinct
Andemys	extinct
Asteromys	extinct
Balsayacuy	extinct
Branisamys	extinct
Cachiyacuy	extinct
Canaanimys	extinct
Cephalomyopsis	extinct
Cephalomys	extinct
cf._Cachiyacuy	extinct
cf._Eoespina	extinct
cf._Pozomys	extinct
cf._Tarapotomys	extinct
Chachapoyamys	extinct
Chambiramys	extinct
Changquin	extinct
Cholamys	extinct
Chubutomys	extinct
Deseadomys	extinct
Draconomys	extinct
Eobranisamys	extinct
Eodelphomys	extinct
Eoespina	extinct
Eoincamys	extinct
Eopicure	extinct
Eopululo	extinct
Eosachacui	extinct
Eosallamys	extinct
Eoviscaccia	extinct
Ethelomys	extinct
Galileomys	extinct
Incamys	extinct
Kichkasteiromys	extinct
Lapazomys	extinct
Leucokephalos	extinct
Litodontomys	extinct
Llitun	extinct
Loncolicu	extinct
Loretomys	extinct
Mayomys	extinct
Migraveramus	extinct
Neoreomys	extinct
Palaeosteiromys	extinct
Paulacoutomys	extinct
Platypittamys	extinct
Plesiosteiromys	extinct
Pozomys	extinct
Protacaremys	extinct
Protosteiromys	extinct
Sallamys	extinct
Scleromys	extinct
Scotamys	extinct
Selvamys	extinct
Shapajamys	extinct
Steiromys	extinct
Tacheria	extinct
Tarapotomys	extinct
Ucayalimys	extinct
Vallehermosomys	extinct
Vucetichimys	extinct
Xylechimys	extinct
