Species	Status
?_Eocoleophorus	extinct
Acarechimys	extinct
Acdestis	extinct
Acdestoides	extinct
aff_Clenia	extinct
Allalmeia	extinct
Amilnedwardsia	extinct
Andemys	extinct
Andinogale	extinct
Angelocabrerus	extinct
Apeirodon	extinct
Archaeophylus	extinct
Austropediomys	extinct
Bardalestes	extinct
Bergqvistherium	extinct
Brachystephanus	extinct
Calodontotherium	extinct
Campanorco	extinct
Canchadelphys	extinct
Carolocoutoia	extinct
Carolozittelia	extinct
cf._Eoespina	extinct
cf._Perulestes	extinct
cf._Pozomys	extinct
cf._Tarapotomys	extinct
cf._Yuruatherium	extinct
Chilestylops	extinct
Cholamys	extinct
Chulpasia	extinct
Clypeotherium	extinct
Cochilius	extinct
Colhuelia	extinct
Colombitherium	extinct
Coloradolops	extinct
Cramauchenia	extinct
Deseadognathus	extinct
Diogenesia	extinct
Dolichostylodon	extinct
Draconomys	extinct
Elmerriggsia	extinct
Eobrasilia	extinct
Eodelphomys	extinct
Eolicaphrium	extinct
Eomakhaira	extinct
Eopicure	extinct
Eosachacui	extinct
Ethelomys	extinct
Eurystephanodon	extinct
Eutrochodon	extinct
Federicoanaya	extinct
Fiandraia	extinct
Fieratherium	extinct
Galileomys	extinct
Greniodon	extinct
Griphotherion	extinct
Gualta	extinct
Guilielmofloweria	extinct
Heteroglyphis	extinct
Heterolophodon	extinct
Homalodontotherium	extinct
Ignigena	extinct
Incadolops	extinct
Indalecia	extinct
Isolophodon	extinct
Itaboraitherium	extinct
Kirutherium	extinct
Kiruwamaq	extinct
Kuntinaru	extinct
Lamegoia	extinct
Lapazomys	extinct
Leucokephalos	extinct
Llitun	extinct
Lomaphorelus	extinct
Loncolicu	extinct
Lumbreratherium	extinct
Maddenia	extinct
Martinmiguelia	extinct
Mayomys	extinct
Mazzoniphractus	extinct
Microbiotherium	extinct
Miguelsoria	extinct
Nanolophodon	extinct
Nesodon	extinct
Notodiaphorus	extinct
Orthogeniops	extinct
Ortholophodon	extinct
Palaeocladosictis	extinct
Palaeopeltis	extinct
Parabderites	extinct
Paranisolambda	extinct
Paroctodontotherium	extinct
Peradectes	extinct
Periakros	extinct
Periprotodidelphis	extinct
Perupithecus	extinct
Phoradiadius	extinct
Picunia	extinct
Praedens	extinct
Proargyrolagus	extinct
Proeocoleophorus	extinct
Progarzonia	extinct
Propachyrucos	extinct
Protacaremys	extinct
Proterotherium	extinct
Protheosodon	extinct
Proticia	extinct
Protolipterna	extinct
Protypotherium	extinct
Pseudhalmarhiphus	extinct
Pseudohegetotherium	extinct
Pseudolops	extinct
Pseudopachyrucos	extinct
Pseudostegotherium	extinct
Punatherium	extinct
Reigia	extinct
Ricardocifellia	extinct
Riolestes	extinct
Riostegotherium	extinct
Ronwolffia	extinct
Rutimeyeria	extinct
Sallatherium	extinct
Saltaodus	extinct
Saltatherium	extinct
Selvamys	extinct
Sillustania	extinct
Sparnotheriodon	extinct
Stegosimpsonia	extinct
Tacheria	extinct
tegotherium	extinct
Termastherium	extinct
Thadanius	extinct
Trimerostephanos	extinct
Tsamnichoria	extinct
Ucayalimys	extinct
Ucayalipithecus	extinct
Umayodus	extinct
Uruguaytherium	extinct
Vassallia	extinct
Vucetichimys	extinct
Wirunodon	extinct
Woodburnodon	extinct
Xenostephanus	extinct
Xylechimys	extinct
Yuruatherium	extinct
Zeusdelphys	extinct
