Species	Status
?_Eocoleophorus	extinct
Acamana	extinct
Acarechimys	extinct
Acdestis	extinct
Acdestoides	extinct
Acoelodus	extinct
Acoelohyrax	extinct
Adiantoides	extinct
aff._Tarapotomys	extinct
aff_Clenia	extinct
Albertogaudrya	extinct
Allalmeia	extinct
Amilnedwardsia	extinct
Amphidolops	extinct
Anayatherium	extinct
Ancylocoelus	extinct
Andemys	extinct
Andinogale	extinct
Angelocabrerus	extinct
Anisolambda	extinct
Anisotemnus	extinct
Antawallathentes	extinct
Antepithecus	extinct
Antofagastia	extinct
Apeirodon	extinct
Archaeodolops	extinct
Archaeohyrax	extinct
Archaeophylus	extinct
Archaeopithecus	extinct
Archaeotypotherium	extinct
Archaeutatus	extinct
Argyrohyrax	extinct
Arminiheringia	extinct
Asmithwoodwardia	extinct
Asmodeus	extinct
Astegotherium	extinct
Asteromys	extinct
Astraponotus	extinct
Australohyaena	extinct
Austropediomys	extinct
Balsayacuy	extinct
Bardalestes	extinct
Barrancatatus	extinct
Bergqvistherium	extinct
Bobbschaefferia	extinct
Bonapartherium	extinct
Boreastylops	extinct
Brachystephanus	extinct
Branisamys	extinct
Branisella	extinct
Brucemacfaddenia	extinct
Bryanpattersonia	extinct
Cachiyacuy	extinct
Callistoe	extinct
Calodontotherium	extinct
Camargomendesia	extinct
Campanorco	extinct
Canaanimys	extinct
Canchadelphys	extinct
Carlothentes	extinct
Carodnia	extinct
Caroloameghinia	extinct
Carolocoutoia	extinct
Carolopaulacoutoia	extinct
Carolozittelia	extinct
Cephalomyopsis	extinct
Cephalomys	extinct
cf._Cachiyacuy	extinct
cf._Eoespina	extinct
cf._Perulestes	extinct
cf._Pozomys	extinct
cf._Proargyrolagus	extinct
cf._Tarapotomys	extinct
cf._Yuruatherium	extinct
Chachapoyamys	extinct
Chilestylops	extinct
Cholamys	extinct
Chubutomys	extinct
Chulpasia	extinct
Clypeotherium	extinct
Cochilius	extinct
Coelostylodon	extinct
Colbertia	extinct
Colhuelia	extinct
Colombitherium	extinct
Coloradolops	extinct
Coniopternium	extinct
Coona	extinct
Coquenia	extinct
Coresodon	extinct
Cramauchenia	extinct
Derorhynchus	extinct
Deseadognathus	extinct
Deseadomys	extinct
Deuterotherium	extinct
Didelphopsis	extinct
Didolodus	extinct
Diogenesia	extinct
Distylophorus	extinct
Dolichostylodon	extinct
Draconomys	extinct
Edvardotrouessartia	extinct
Elmerriggsia	extinct
Eobranisamys	extinct
Eobrasilia	extinct
Eodelphomys	extinct
Eoespina	extinct
Eohyrax	extinct
Eoincamys	extinct
Eolicaphrium	extinct
Eomakhaira	extinct
Eomicrobiotherium	extinct
Eomorphippus	extinct
Eopachyrucos	extinct
Eopicure	extinct
Eopululo	extinct
Eosachacui	extinct
Eosallamys	extinct
Eoviscaccia	extinct
Epidolops	extinct
Ernestohaeckelia	extinct
Ernestokokenia	extinct
Ethelomys	extinct
Eudolops	extinct
Eurygenium	extinct
Eurystephanodon	extinct
Eutrochodon	extinct
Federicoanaya	extinct
Fiandraia	extinct
Fieratherium	extinct
Florentinoameghinia	extinct
Galileomys	extinct
Gashternia	extinct
Gaylordia	extinct
Glyptatelus	extinct
Greniodon	extinct
Griphodon	extinct
Griphotherion	extinct
Groeberia	extinct
Gualta	extinct
Guggenheimia	extinct
Guilielmofloweria	extinct
Guilielmoscottia	extinct
Hegetotheriopsis	extinct
Hegetotherium	extinct
Henricofilholia	extinct
Henricosbornia	extinct
Heteroglyphis	extinct
Heterolophodon	extinct
Homalodontotherium	extinct
Homalostylops	extinct
Hondonadia	extinct
Hypodolops	extinct
Ignigena	extinct
Incadolops	extinct
Incamys	extinct
Indalecia	extinct
Isolophodon	extinct
Isotemnus	extinct
Itaboraidelphys	extinct
Itaboraitherium	extinct
Johnbell	extinct
Kibenikhoria	extinct
Kirutherium	extinct
Kiruwamaq	extinct
Klohnia	extinct
Kramadolops	extinct
Kuntinaru	extinct
Lambdaconus	extinct
Lamegoia	extinct
Lapazomys	extinct
Leontinia	extinct
Leucokephalos	extinct
Liarthrus	extinct
Litodontomys	extinct
Llitun	extinct
Lomaphorelus	extinct
Loncolicu	extinct
Lumbreratherium	extinct
Machlydotherium	extinct
Maddenia	extinct
Marmosopsis	extinct
Martinmiguelia	extinct
Maxschlosseria	extinct
Mayomys	extinct
Mazzoniphractus	extinct
Medistylus	extinct
Mendozahippus	extinct
Meteutatus	extinct
Microbiotherium	extinct
Migraveramus	extinct
Miguelsoria	extinct
Minusculodelphis	extinct
Mirandatherium	extinct
Monodelphopsis	extinct
Moqueguahippus	extinct
Nanolophodon	extinct
Nemolestes	extinct
Neoreomys	extinct
Nesodon	extinct
Notodiaphorus	extinct
Notogale	extinct
Notopithecus	extinct
Notostylops	extinct
Octodontotherium	extinct
Oldfieldthomasia	extinct
Orthogeniops	extinct
Ortholophodon	extinct
Othnielmarshia	extinct
Otrhonia	extinct
Paginula	extinct
Palaeocladosictis	extinct
Palaeopeltis	extinct
Palaeothentes	extinct
Palangania	extinct
Pampahippus	extinct
Pampatemnus	extinct
Parabderites	extinct
Paraborhyaena	extinct
Paranisolambda	extinct
Parastegosimpsonia	extinct
Parastrapotherium	extinct
Paroctodontotherium	extinct
Parutaetus	extinct
Pascualihippus	extinct
Patagonhippus	extinct
Patene	extinct
Pauladelphys	extinct
Paulogervaisia	extinct
Peltephilus	extinct
Peradectes	extinct
Periakros	extinct
Peripantostylops	extinct
Periphragnis	extinct
Periprotodidelphis	extinct
Perulestes	extinct
Perupithecus	extinct
