Species	Status
?_Eocoleophorus	extinct
?Sallamys	extinct
Andinogale	extinct
Apeirodon	extinct
Austropediomys	extinct
Bergqvistherium	extinct
Canaanimico	extinct
Carolocoutoia	extinct
cf._Eoespina	extinct
cf._Perulestes	extinct
cf._Pozomys	extinct
cf._Tarapotomys	extinct
cf._Yuruatherium	extinct
Cholamys	extinct
Chulpasia	extinct
Colombitherium	extinct
Coloradolops	extinct
Diogenesia	extinct
Dolichostylodon	extinct
Eobrasilia	extinct
Eodelphomys	extinct
Eopicure	extinct
Eosachacui	extinct
Fredszalaya	extinct
Griphotherion	extinct
Incadolops	extinct
Indalecia	extinct
Kichkasteiromys	extinct
Kirutherium	extinct
Kiruwamaq	extinct
Kuntinaru	extinct
Lamegoia	extinct
Loretomys	extinct
Lumbreratherium	extinct
Martinmiguelia	extinct
Mayomys	extinct
Miguelsoria	extinct
Nanolophodon	extinct
Palaeocladosictis	extinct
Palaeosteiromys	extinct
Paranisolambda	extinct
Paroctodontotherium	extinct
Paulacoutomys	extinct
Peradectes	extinct
Peridolopidae_gen_A	extinct
Periprotodidelphis	extinct
Perupithecus	extinct
Perutherium	extinct
Plesiosteiromys	extinct
Proeocoleophorus	extinct
Proticia	extinct
Protolipterna	extinct
Punatherium	extinct
Reigia	extinct
Ricardocifellia	extinct
Riolestes	extinct
Ronwolffia	extinct
Saltaodus	extinct
Saltatherium	extinct
Selvamys	extinct
Sillustania	extinct
Tacheria	extinct
tegotherium	extinct
Ucayalipithecus	extinct
Umayodus	extinct
Vucetichimys	extinct
Wirunodon	extinct
Xenastrapotherium	extinct
Yuruatherium	extinct
Zeusdelphys	extinct
