Species	Status
?Sallamys	extinct
Acamana	extinct
Acamana_ambiguus	extinct
Acarechimys_leucotheae	extinct
Acoelodus_debilitatus	extinct
Acoelodus_oppositus	extinct
Acoelodus_proclivus	extinct
Acoelodus_terminalis	extinct
Acoelohyrax	extinct
Acoelohyrax_coalitus	extinct
Acoelohyrax_coarctatus	extinct
Acoelohyrax_complicatissimus	extinct
Acoelohyrax_coronatus	extinct
Acoelohyrax_sigma	extinct
Adiantoides_leali	extinct
Adiantoides_magnus	extinct
aff._Eosallamys_sp.	extinct
aff._Tarapotomys	extinct
aff._Tarapotomys_sp.	extinct
Albertogaudrya	extinct
Albertogaudrya_carahuasensis	extinct
Albertogaudrya_robusta	extinct
Albertogaudrya_unica	extinct
Allalmeia_atalaensis	extinct
Amilnedwardsia_brevicula	extinct
Anayatherium	extinct
Anayatherium_ekecoa	extinct
Anayatherium_fortis	extinct
Ancylocoelus_frequens	extinct
Ancylocoelus_minor	extinct
Andemys_termasi	extinct
Anisolambda	extinct
Anisolambda_amel	extinct
Anisolambda_fissidens	extinct
Anisotemnus	extinct
Anisotemnus_distentus	extinct
Antepithecus	extinct
Antepithecus_brachystephanus	extinct
Antepithecus_innexus	extinct
Antofagastia	extinct
Antofagastia_turneri	extinct
Archaeohyrax	extinct
Archaeohyrax_patagonicus	extinct
Archaeohyrax_suniensis	extinct
Archaeophylus_patrius	extinct
Archaeopithecus_rogeri	extinct
Archaeotypotherium	extinct
Archaeotypotherium_pattersoni	extinct
Archaeotypotherium_propheticus	extinct
Archaeotypotherium_tinguiriricaense	extinct
Argyrohyrax	extinct
Argyrohyrax_proavus	extinct
Asmithwoodwardia	extinct
Asmithwoodwardia_scotti	extinct
Asmithwoodwardia_subtrigona	extinct
Asmodeus	extinct
Asmodeus_osborni	extinct
Asmodeus_petrasnerus	extinct
Asteromys_bolivianus	extinct
Asteromys_puelche	extinct
Asteromys_punctus	extinct
Astraponotus	extinct
Astraponotus_assymmetrus	extinct
Astraponotus_dicksoni	extinct
Astraponotus_dilatatus	extinct
Astraponotus_holdichi	extinct
Astraponotus_thompsoni	extinct
Baguatherium_jaureguii	extinct
Balsayacuy	extinct
Balsayacuy_huallagaensis	extinct
Boreastylops_lumbrerensis	extinct
Brachystephanus_postremus	extinct
Branisamys_luribayensis	extinct
Brucemacfaddenia_boliviensis	extinct
Bryanpattersonia_nesodontoides	extinct
Bryanpattersonia_sulcidens	extinct
Cachiyacuy_cf._contamanensis	extinct
Cachiyacuy_cf._kummeli	extinct
Cachiyacuy_contamanensis	extinct
Cachiyacuy_kummeli	extinct
Cachiyacuy_sp.	extinct
Calodontotherium_varietatum	extinct
Camargomendesia	extinct
Campanorco	extinct
Campanorco_inauguralis	extinct
Canaanimys_maquiensis	extinct
Canaanimys_sp.	extinct
Carolozittelia_tapiroides	extinct
Cephalomyopsis	extinct
Cephalomys	extinct
Cephalomys_arcidens	extinct
Cephalomys_ceciae	extinct
cf._Cachiyacuy_kummeli	extinct
cf._Eoespina	extinct
cf._Pozomys_ucayaliensis	extinct
cf._Tarapotomys	extinct
Chachapoyamys_cf._kathetos	extinct
Chachapoyamys_kathetos	extinct
Chambiramys_shipiborum	extinct
Chambiramys_sylvaticus	extinct
Changquin_woodi	extinct
Chilestylops_davidsoni	extinct
Cholamys_tetralophodonta	extinct
Chubutomys_navaensis	extinct
Chubutomys_simpsoni	extinct
Cochilius	extinct
Cochilius_fumensis	extinct
Cochilius_volvens	extinct
Coelostylodon_caroloameghinoi	extinct
Coelostylodon_florentinoameghinoi	extinct
Colbertia	extinct
Colbertia_falui	extinct
Colbertia_lumbrerense	extinct
Colbertia_magellanica	extinct
Colhuelia_fruhi	extinct
Colombitherium_tolimense	extinct
Coniopternium	extinct
Coniopternium_andinum	extinct
Coniopternium_primitivum	extinct
Coquenia	extinct
Coquenia_bondi	extinct
Coresodon	extinct
Coresodon_scalpridens	extinct
Cramauchenia_normalis	extinct
Deseadognathus_riggsi	extinct
Deseadomys_arambourgi	extinct
Deuterotherium	extinct
Deuterotherium_distichum	extinct
Distylophorus_alouatinus	extinct
Dolichostylodon_saltensis	extinct
Draconomys_verai	extinct
Edvardotrouessartia_sola	extinct
Elmerriggsia_fieldia	extinct
Eobranisamys	extinct
Eobranisamys_javierpradoi	extinct
Eobranisamys_riverai	extinct
Eobranisamys_romeropittmanae	extinct
Eodelphomys_almeidacomposi	extinct
Eoespina	extinct
Eoespina_woodi	extinct
Eohyrax	extinct
Eohyrax_isotemnoides	extinct
Eohyrax_platyodus	extinct
Eohyrax_praerusticus	extinct
Eohyrax_rusticus	extinct
Eoincamys	extinct
Eoincamys_aff._pascuali	extinct
Eoincamys_ameghinoi	extinct
Eoincamys_cf._pascuali	extinct
Eoincamys_parvus	extinct
Eoincamys_pascuali	extinct
Eoincamys_sp.	extinct
Eoincamys_valverdei	extinct
Eolicaphrium_primarium	extinct
Eomorphippus	extinct
Eomorphippus_bondi	extinct
Eomorphippus_neilopdykei	extinct
Eomorphippus_obscurus	extinct
Eopachyrucos	extinct
Eopachyrucos_pliciferus	extinct
Eopachyrucos_pliciformis	extinct
Eopachyrucos_ranchoverdensis	extinct
Eopicure_kraglievichi	extinct
Eopululo_sp.	extinct
Eopululo_wigmorei	extinct
Eosachacui_lavocati	extinct
Eosallamys_paulacoutoi	extinct
Eosallamys_simpsoni	extinct
Eoviscaccia	extinct
Eoviscaccia_australis	extinct
Eoviscaccia_frassinettii	extinct
Ernestohaeckelia_aculeata	extinct
Ernestohaeckelia_acutidens	extinct
Ethelomys	extinct
Eurygenium_latirostris	extinct
Eurygenium_pacegnum	extinct
Eurystephanodon_cattanii	extinct
Eutrachytherus_grandis	extinct
Federicoanaya_sallaensis	extinct
Fiandraia	extinct
Galileomys_baios	extinct
Griphodon	extinct
Griphodon_peruvianus	extinct
Griphotherion_peiranoi	extinct
Gualta_cuyana	extinct
Guilielmofloweria_plicata	extinct
Guilielmoscottia	extinct
Guilielmoscottia_plicifera	extinct
Hegetotheriopsis_sulcatus	extinct
Hegetotherium	extinct
Henricofilholia_lustrata	extinct
Henricofilholia_vucetichia	extinct
Henricosbornia	extinct
Henricosbornia_ampla	extinct
Henricosbornia_lophodonta	extinct
Henricosbornia_minuta	extinct
Heteroglyphis_dewoletzky	extinct
Heterolophodon_ampliatus	extinct
Homalodontotherium	extinct
Homalostylops	extinct
Homalostylops_atavus	extinct
Homalostylops_parvus	extinct
Ignigena_minisculus	extinct
Incamys_bolivianus	extinct
Incamys_menniorum	extinct
Indalecia_grandensis	extinct
Isolophodon_cingulosus	extinct
Isostylops_fretus	extinct
Isotemnus	extinct
Isotemnus_ctalego	extinct
Isotemnus_haugi	extinct
Isotemnus_latidens	extinct
Isotemnus_primitivus	extinct
Isotypotherium_annulatum	extinct
Itaboraitherium	extinct
Johnbell_hatcheri	extinct
Josepholeidya_adunca	extinct
Josepholeidya_deculca	extinct
Kibenikhoria	extinct
Kibenikhoria_get	extinct
Kichkasteiromys_raimondii	extinct
Lambdaconus_suinus	extinct
Lapazomys_hartenbergeri	extinct
Lemudeus_angustidens	extinct
Leontinia	extinct
Leontinia_gaudryi	extinct
Leucokephalos_zeffiae	extinct
Liarthrus_copei	extinct
Litodontomys_chubutensis	extinct
Llitun_notuca	extinct
Loncolicu_tretos	extinct
Loretomys_minutus	extinct
Maddenia_lapidaria	extinct
Martinmiguelia_fernandezi	extinct
Maxschlosseria	extinct
Maxschlosseria_consumata	extinct
Maxschlosseria_expansa	extinct
Maxschlosseria_minima	extinct
Maxschlosseria_minuta	extinct
Maxschlosseria_praeterita	extinct
Maxschlosseria_rusticula	extinct
Maxschlosseria_septa	extinct
Mayomys_confluens	extinct
Medistylus_dorsatus	extinct
Mendozahippus_fierensis	extinct
Migraveramus_beatus	extinct
Migraveramus_lavocati	extinct
Migraveramus_quispea	extinct
Miguelsoria_parayirunhor	extinct
Moqueguahippus_glycisma	extinct
Nanolophodon_tutuca	extinct
Neoreomys	extinct
Nesodon	extinct
Notodiaphorus_crassus	extinct
Notopithecus	extinct
Notopithecus_adapinus	extinct
Notopithecus_amplidens	extinct
Notostylops	extinct
Notostylops_appressus	extinct
Notostylops_aspectans	extinct
Notostylops_brachycephalus	extinct
Notostylops_murinus	extinct
Notostylops_pendens	extinct
Notostylops_pigafettai	extinct
Octodontotherium	extinct
Oldfieldthomasia	extinct
Oldfieldthomasia_anfractuosa	extinct
Oldfieldthomasia_debilitata	extinct
Oldfieldthomasia_parvidens	extinct
Oldfieldthomasia_transversa	extinct
Orome_deepi	extinct
Orthogeniops_ameghinoi	extinct
Ortholophodon_prolongus	extinct
Othnielmarshia	extinct
Othnielmarshia_curvicrista	extinct
Othnielmarshia_lacunifera	extinct
Othnielmarshia_reflexa	extinct
Otronia_muehlbergi	extinct
Paginula_parca	extinct
Palaeosteiromys_amazonensis	extinct
Pampahippus	extinct
Pampahippus_arenalesi	extinct
Pampahippus_powelli	extinct
Pampahippus_secundus	extinct
Pampatemnus_deuteros	extinct
Pampatemnus_infernalis	extinct
Pantostylops_typus	extinct
Paranisolambda_prodromus	extinct
Parastrapotherium	extinct
Parastrapotherium_holmbergi	extinct
Parastrapotherium_martiale	extinct
Parastrapotherium_voghti	extinct
Paroctodontotherium_calleorum	extinct
Pascualihippus	extinct
Pascualihippus_boliviensis	extinct
Patagonhippus_canterensis	extinct
Patagonhippus_dukei	extinct
Patagonia_peregrina	extinct
Paulacoutomys_paulista	extinct
Peripantostylops	extinct
Peripantostylops_minutus	extinct
Periphragnis	extinct
Periphragnis_circunflexus	extinct
