order	family	genus	accepted_name	status	gen_lvl_status	cc	state	locality	formation	period	epoch	Sub_epoch	stage	min_ma	max_ma	collection_no	authorizer	primary_reference
		Marmosopsis	Marmosopsis	extinct	extinct	Argentina	Chubut			Paleogene	Eocene	Late Paleocene-Early Eocene	Late Paleocene-Early Eocene	47.8	59.2	133039	J. Zijlstra	M. F. Tejedor, F. J. Goin, and J. N. Gelfo, G. López, M. Bond, A. A. Carlini, G. J. Scillato-Yané, M. O. Woodburne, L. Chornogubsky, E. Aragón, M. A. Reguero, N. J. Czaplewski, S. Vincon, G. M. Martin, M. R. Ciancio. 2009. New Early Eocene mammalian fauna from western Patagonia, Argentina. American Museum Novitates 3638:1-43
		Marmosopsis	Marmosopsis	extinct	extinct	Argentina	Chubut			Paleogene	Eocene	Ypresian	Ypresian	47.8	56	133040	P. Mannion	E. V. Oliveira and F. J. Goin. 2011. A reassessment of bunodont metatherians from the Paleogene of Itaborai (Brazil): Systematics and the age of the Itaborian SALMA. Revista Brasileira de Paleontologia 14(2):105-136
		Marmosopsis	Marmosopsis_juradoi	extinct	extinct	Brazil	Rio de Janeiro	Cabucu		Paleogene	Eocene	Early Eocene	Early Eocene	47.8	56	118314	C. Jaramillo	C. Paula Couto. 1962. Didelfidos fosiles del Paleoceno de Brasil. Revista del Museo Argentino de Ciencias Naturales "Bernardino Rivadavia" 8:135-166
		Monodelphopsis	Monodelphopsis	extinct	extinct	Argentina	Chubut			Paleogene	Eocene	Ypresian	Ypresian	47.8	56	133040	P. Mannion	E. V. Oliveira and F. J. Goin. 2011. A reassessment of bunodont metatherians from the Paleogene of Itaborai (Brazil): Systematics and the age of the Itaborian SALMA. Revista Brasileira de Paleontologia 14(2):105-136
		Monodelphopsis	Monodelphopsis_travassosi	extinct	extinct	Brazil	Rio de Janeiro	Cabucu		Paleogene	Eocene	Early Eocene	Early Eocene	47.8	56	118314	P. Mannion	C. d. Paula Couto. 1952. Fossil mammals from the beginning of the Cenozoic in Brazil. Marsupialia: Didelphidae. American Museum Novitates 1567:1-26
	Derorhynchidae	Derorhynchus	Derorhynchus	extinct	extinct	Argentina	Chubut			Paleogene	Eocene	Ypresian	Ypresian	47.8	56	133040	P. Mannion	E. V. Oliveira and F. J. Goin. 2011. A reassessment of bunodont metatherians from the Paleogene of Itaborai (Brazil): Systematics and the age of the Itaborian SALMA. Revista Brasileira de Paleontologia 14(2):105-136
	Derorhynchidae	Derorhynchus	Derorhynchus_minutus	extinct	extinct	Argentina	Chubut			Paleogene	Paleocene	Danian	Danian	61.6	66	95914	J. Zijlstra	A. M. Forasiepi and G. W. Rougier. 2009. Additional data on early Paleocene metatherians (Mammalia) from Punta Peligro (Salamanca Formation, Argentina): comments based on petrosal morphology. Journal of Zoological Systematics and Evolutionary Research 47(4):391-398
	Derorhynchidae	Derorhynchus	Derorhynchus_singularis	extinct	extinct	Brazil	Rio de Janeiro	Cabucu		Paleogene	Eocene	Early Eocene	Early Eocene	47.8	56	118314	P. Mannion	C. d. Paula Couto. 1952. Fossil mammals from the beginning of the Cenozoic in Brazil. Marsupialia: Didelphidae. American Museum Novitates 1567:1-26
	Derorhynchidae	Pauladelphys	Pauladelphys	extinct	extinct	Argentina	Chubut			Paleogene	Eocene	Lutetian	Lutetian	41.3	47.8	133039	J. Zijlstra	M. F. Tejedor, F. J. Goin, and J. N. Gelfo, G. López, M. Bond, A. A. Carlini, G. J. Scillato-Yané, M. O. Woodburne, L. Chornogubsky, E. Aragón, M. A. Reguero, N. J. Czaplewski, S. Vincon, G. M. Martin, M. R. Ciancio. 2009. New Early Eocene mammalian fauna from western Patagonia, Argentina. American Museum Novitates 3638:1-43
	Derorhynchidae	Pauladelphys	Pauladelphys	extinct	extinct	Argentina	Chubut			Paleogene	Eocene	Ypresian	Ypresian	47.8	56	176059	J. Zijlstra	M. F. Tejedor, F. J. Goin, and J. N. Gelfo, G. López, M. Bond, A. A. Carlini, G. J. Scillato-Yané, M. O. Woodburne, L. Chornogubsky, E. Aragón, M. A. Reguero, N. J. Czaplewski, S. Vincon, G. M. Martin, M. R. Ciancio. 2009. New Early Eocene mammalian fauna from western Patagonia, Argentina. American Museum Novitates 3638:1-43
