Species	Status	min_age	max_age
?Sallamys	extinct	24.5	24.5
Aenigmys	extinct	0.0117	2.58
aff. Tarapotomys	extinct	33.9	37.71
aff. Tarapotomys	extinct	33.9	37.71
Balsayacuy	extinct	27.82	33.9
Balsayacuy	extinct	33.9	37.71
Balsayacuy	extinct	33.9	37.71
Cachiyacuy	extinct	33.9	37.2
Cachiyacuy	extinct	33.9	41.2
Cachiyacuy	extinct	33.9	37.71
Cachiyacuy	extinct	33.9	41.2
Cachiyacuy	extinct	33.9	41.2
Cachiyacuy	extinct	33.9	41.2
Cachiyacuy	extinct	33.9	37.2
Cachiyacuy	extinct	33.9	41.2
Cachiyacuy	extinct	27.82	33.9
Canaanimys	extinct	33.9	41.2
Canaanimys	extinct	27.82	31.1
cf. Cachiyacuy	extinct	27.82	31.1
cf. Cachiyacuy	extinct	27.82	31.1
cf. Eoespina	extinct	33.9	37.2
cf. Pozomys	extinct	27.82	31.1
cf. Tarapotomys	extinct	33.9	37.71
Chachapoyamys	extinct	33.9	41.2
Chachapoyamys	extinct	33.9	37.71
Chambiramys	extinct	23.03	27.82
Chambiramys	extinct	23.03	27.82
Draconomys	extinct	30.617	30.77
Dudumus	extinct	15.97	23.03
Dudumus	extinct	15.97	23.03
Eobranisamys	extinct	33.9	37.71
Eobranisamys	extinct	28.1	33.9
Eobranisamys	extinct	33.9	41.2
Eobranisamys	extinct	27.82	31.1
Eobranisamys	extinct	27.82	31.1
Eocardia (Dicardia)	extinct	15.97	20.44
Eocardia (Dicardia)	extinct	15.97	23.03
Eocardia (Dicardia)	extinct	15.97	23.03
Eocardia (Dicardia)	extinct	15.97	23.03
Eocardia (Dicardia)	extinct	15.97	23.03
Eocardia (Dicardia)	extinct	15.97	23.03
Eoespina	extinct	33.9	41.2
Eoespina	extinct	33.9	37.2
Eoespina	extinct	27.82	31.1
Eoincamys	extinct	27.82	33.9
Eoincamys	extinct	33.9	37.71
Eoincamys	extinct	27.82	33.9
Eoincamys	extinct	27.82	31.1
Eoincamys	extinct	27.82	33.9
Eoincamys	extinct	33.9	37.71
Eoincamys	extinct	33.9	37.71
Eoincamys	extinct	27.82	33.9
Eoincamys	extinct	27.82	31.1
Eoincamys	extinct	27.82	33.9
Eoincamys	extinct	33.9	37.71
Eoincamys	extinct	27.82	33.9
Eoincamys	extinct	33.9	37.71
Eoincamys	extinct	27.82	33.9
Eopicure	extinct	27.82	31.1
Eosachacui	extinct	27.82	31.1
Eosallamys	extinct	23.03	27.82
Eosallamys	extinct	27.82	31.1
Eosallamys	extinct	27.82	31.1
Ethelomys	extinct	23.03	27.82
Garridomys	extinct	15.97	23.03
Garridomys	extinct	15.97	23.03
Guiomys	extinct	13.82	20.44
Guiomys	extinct	11.63	15.97
Guiomys	extinct	11.63	15.97
Guiomys	extinct	11.63	15.97
Guiomys	extinct	11.63	15.97
Kichkasteiromys	extinct	34	35
Lapazomys	extinct	26	26
Lapazomys	extinct	24.5	24.5
Leucokephalos	extinct	15.97	23.03
Leucokephalos	extinct	23.03	27.82
Llitun	extinct	23.03	27.82
Loncolicu	extinct	23.03	27.82
Loretomys	extinct	23.03	27.82
Mayomys	extinct	27.82	33.9
Microcardiodon	extinct	11.63	15.97
Microcardiodon	extinct	11.63	15.97
Microcardiodon	extinct	11.63	15.97
Microscleromys	extinct	10	13
Microscleromys	extinct	11.63	15.97
Microscleromys	extinct	11.63	15.97
Microscleromys	extinct	11.63	15.97
Microscleromys	extinct	11.63	15.97
Microscleromys	extinct	11.63	15.97
Microscleromys	extinct	11.63	15.97
Microscleromys	extinct	11.63	15.97
Microscleromys	extinct	11.63	15.97
Microscleromys	extinct	11.63	15.97
Microscleromys	extinct	11.63	15.97
Microscleromys	extinct	11.63	15.97
Microscleromys	extinct	11.63	15.97
Microsteiromys	extinct	13.82	20.44
Microsteiromys	extinct	11.63	15.97
Microsteiromys	extinct	11.63	15.97
Microsteiromys	extinct	11.63	15.97
Microsteiromys	extinct	11.63	15.97
Niedemys	extinct	0.0117	2.58
Paulacoutomys	extinct	23.03	27.82
Plesiacarechimys	extinct	11.63	13.82
Plesiosteiromys	extinct	23.03	27.82
Pozomys	extinct	27.82	31.1
Pozomys	extinct	27.82	31.1
Pozomys	extinct	33.9	41.2
Prospaniomys	extinct	15.97	23.03
Prospaniomys	extinct	15.97	23.03
Prospaniomys	extinct	15.97	23.03
Prospaniomys	extinct	15.97	23.03
Prospaniomys	extinct	15.97	23.03
Prospaniomys	extinct	15.97	23.03
Prospaniomys	extinct	15.97	23.03
Prospaniomys	extinct	15.97	23.03
Protacaremys	extinct	11.63	15.97
Protacaremys	extinct	15.5	17.5
Protacaremys	extinct	15.97	23.03
Protacaremys	extinct	23.03	27.82
Protacaremys	extinct	15.97	23.03
Protacaremys	extinct	11.63	15.97
Protacaremys	extinct	11.63	15.97
Protacaremys	extinct	15.97	23.03
Protacaremys	extinct	15.97	23.03
Sallamys	extinct	26	26
Sallamys	extinct	24.5	24.5
Sallamys	extinct	26	26
Sallamys	extinct	24.5	24.5
Sallamys	extinct	26	26
Sallamys	extinct	24.5	24.5
Saremmys	extinct	15.97	23.03
Saremmys	extinct	15.97	23.03
Saremmys	extinct	15.97	23.03
Scleromys	extinct	15.97	20.44
Scleromys	extinct	15.97	20.44
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
Scleromys	extinct	13.82	20.44
Scleromys	extinct	15.97	23.03
Scleromys	extinct	15.97	23.03
Scleromys	extinct	15.97	23.03
Scleromys	extinct	15.97	23.03
Scleromys	extinct	15.97	23.03
Scleromys	extinct	15.97	23.03
Scleromys	extinct	15.97	23.03
Scleromys	extinct	15.97	23.03
Scleromys	extinct	15.97	23.03
Scleromys	extinct	15.97	23.03
Scleromys	extinct	15.97	23.03
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
Scleromys	extinct	5.333	11.63
Scleromys	extinct	5.333	11.63
Scleromys	extinct	5.333	11.63
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
Scleromys	extinct	18	19
Scleromys	extinct	18	19
Scleromys	extinct	18	19
Scleromys	extinct	18	19
Scleromys	extinct	23.03	27.82
Scleromys	extinct	18	19
Scleromys	extinct	18	19
Scleromys	extinct	18	19
Scleromys	extinct	18	19
Scleromys	extinct	18	19
Scleromys	extinct	18	19
Scleromys	extinct	18	19
Scleromys	extinct	15.97	20.44
Scleromys	extinct	15.97	23.03
Scleromys	extinct	16.3	21
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
Scleromys	extinct	11.63	15.97
