Species	Status	min_age	max_age
Australogale	extinct	11.63	15.97
Acrocyon	extinct	15.97	23.03
Acrocyon	extinct	15.97	23.03
Acrocyon	extinct	15.97	23.03
Acrocyon	extinct	15.97	23.03
Acrocyon	extinct	15.97	23.03
Acrocyon	extinct	15.97	23.03
Arctodictis	extinct	11.63	15.97
Arctodictis	extinct	11.63	15.97
Arctodictis	extinct	15.97	23.03
Arctodictis	extinct	15.97	23.03
Arctodictis	extinct	15.97	23.03
Arctodictis	extinct	15.97	23.03
Arctodictis	extinct	15.97	23.03
Arctodictis	extinct	15.97	23.03
Arctodictis	extinct	15.97	23.03
Arctodictis	extinct	15.97	23.03
Australohyaena	extinct	23.03	27.82
Australohyaena	extinct	23.03	27.82
Australohyaena	extinct	23.03	27.82
Australohyaena	extinct	23.03	27.82
Australohyaena	extinct	23.03	27.82
Borhyaena	extinct	15.97	23.03
Borhyaena	extinct	15.97	23.03
Borhyaena	extinct	15.97	23.03
Borhyaena	extinct	11.63	15.97
Borhyaena	extinct	15.97	23.03
Borhyaena	extinct	15.97	23.03
Borhyaena	extinct	15.97	23.03
Borhyaena	extinct	15.97	23.03
Borhyaena	extinct	15.97	23.03
Borhyaena	extinct	15.97	23.03
Borhyaena	extinct	15.97	23.03
Borhyaena	extinct	15.97	23.03
Borhyaena	extinct	15.97	23.03
Borhyaena	extinct	15.97	23.03
Borhyaena	extinct	15.97	23.03
Borhyaena	extinct	15.97	23.03
Borhyaena	extinct	15.97	23.03
Borhyaena	extinct	15.97	23.03
Borhyaena	extinct	15.97	23.03
Borhyaena	extinct	15.97	23.03
Borhyaena	extinct	15.97	23.03
Borhyaena	extinct	15.97	23.03
Borhyaena	extinct	15.97	23.03
Fredszalaya	extinct	26	26
Acyon	extinct	11.63	15.97
Acyon	extinct	15.97	23.03
Acyon	extinct	15.97	23.03
Acyon	extinct	15.97	23.03
Acyon	extinct	15.97	23.03
Acyon	extinct	15.97	23.03
Borhyaenidium	extinct	6.8	9
Borhyaenidium	extinct	5.333	11.63
Borhyaenidium	extinct	5.333	11.63
Borhyaenidium	extinct	3.6	5.333
Chasicostylus	extinct	5.333	11.63
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	11.63	15.97
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	13.82	15.97
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Cladosictis	extinct	15.97	23.03
Contrerascynus	extinct	5.333	11.63
Notictis	extinct	4.7	10
Notictis	extinct	6.8	9
Notocynus	extinct	4	6.8
Notocynus	extinct	3.6	5.333
Notocynus	extinct	4	6.8
Notogale	extinct	23.03	27.82
Notogale	extinct	23.03	27.82
Notogale	extinct	23.03	27.82
Notogale	extinct	23.03	27.82
Notogale	extinct	23.03	27.82
Notogale	extinct	23.03	27.82
Notogale	extinct	23.03	27.82
Perathereutes	extinct	15.97	23.03
Perathereutes	extinct	15.97	23.03
Perathereutes	extinct	15.97	23.03
Perathereutes	extinct	15.97	23.03
Perathereutes	extinct	15.97	23.03
Pseudonotictis	extinct	11.63	15.97
Pseudonotictis	extinct	15.97	23.03
Pseudonotictis	extinct	15.97	23.03
Pseudonotictis	extinct	15.97	23.03
Sallacyon	extinct	23.03	27.82
Sallacyon	extinct	23.03	27.82
Sallacyon	extinct	23.03	27.82
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.5	17.5
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	11.63	15.97
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	11.63	15.97
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Sipalocyon	extinct	15.97	23.03
Arminiheringia	extinct	37.71	41.3
Arminiheringia	extinct	47.8	56
Arminiheringia	extinct	37.71	47.8
Arminiheringia	extinct	37.71	47.8
Arminiheringia	extinct	37.71	47.8
Arminiheringia	extinct	37.71	47.8
Arminiheringia	extinct	37.71	47.8
Arminiheringia	extinct	37.71	47.8
Arminiheringia	extinct	37.71	47.8
Arminiheringia	extinct	37.71	47.8
Callistoe	extinct	46.2	52.5
Callistoe	extinct	46.2	52.5
Paraborhyaena	extinct	23.03	27.82
Paraborhyaena	extinct	23.03	27.82
Proborhyaena	extinct	23.03	27.82
Proborhyaena	extinct	23.03	27.82
Proborhyaena	extinct	23.03	27.82
Proborhyaena	extinct	23.03	27.82
Proborhyaena	extinct	23.03	27.82
Proborhyaena	extinct	23.03	27.82
Anachlysictis	extinct	11.63	15.97
Eomakhaira	extinct	27.82	33.9
Patagosmilus	extinct	11.63	15.97
Thylacosmilus	extinct	3.6	5.333
Thylacosmilus	extinct	4.7	9.47
Thylacosmilus	extinct	5.333	11.63
Thylacosmilus	extinct	5.333	11.63
Thylacosmilus	extinct	5.333	11.63
Thylacosmilus	extinct	2.58	3.6
Thylacosmilus	extinct	3.6	5.333
Thylacosmilus	extinct	3.6	5.333
Thylacosmilus	extinct	5.333	11.63
Thylacosmilus	extinct	5.333	11.63
Thylacosmilus	extinct	3.6	5.333
Andinogale	extinct	23.03	27.82
Angelocabrerus	extinct	37.71	47.8
Argyrolestes	extinct	37.71	47.8
Chlorocyon	extinct	33.9	37.71
Dukecynus	extinct	11.63	15.97
Dukecynus	extinct	11.63	15.97
Lycopsis	extinct	11.63	15.97
Lycopsis	extinct	11.63	15.97
Lycopsis	extinct	11.63	15.97
Lycopsis	extinct	15.97	23.03
Lycopsis	extinct	15.97	23.03
Lycopsis	extinct	15.97	23.03
Lycopsis	extinct	15.97	23.03
Lycopsis	extinct	15.97	23.03
Lycopsis	extinct	5.333	11.63
Nemolestes	extinct	37.71	47.8
Nemolestes	extinct	37.71	41.2
Nemolestes	extinct	37.71	47.8
Patene	extinct	41.2	47.8
Patene	extinct	33.9	37.71
Patene	extinct	37.71	41.3
Patene	extinct	37.71	41.3
Patene	extinct	47.8	56
Patene	extinct	47.8	56
Patene	extinct	41.2	47.8
Patene	extinct	41.2	47.8
Pharsophorus	extinct	23.03	27.82
Pharsophorus	extinct	23.03	27.82
Pharsophorus	extinct	23.03	27.82
Pharsophorus	extinct	23.03	27.82
Pharsophorus	extinct	23.03	27.82
Pharsophorus	extinct	23.03	27.82
Pharsophorus	extinct	23.03	27.82
Pharsophorus	extinct	23.03	27.82
Plesiofelis	extinct	33.9	37.2
Plesiofelis	extinct	33.9	37.2
Plesiofelis	extinct	33.9	41.2
Procladosictis	extinct	38	41.3
Procladosictis	extinct	33.9	37.71
Prothylacynus	extinct	15.97	23.03
Prothylacynus	extinct	15.97	23.03
Prothylacynus	extinct	11.63	15.97
Prothylacynus	extinct	15.97	23.03
Prothylacynus	extinct	15.97	23.03
Prothylacynus	extinct	15.97	23.03
Prothylacynus	extinct	15.97	23.03
Prothylacynus	extinct	15.97	23.03
Prothylacynus	extinct	15.97	23.03
Prothylacynus	extinct	15.97	23.03
Prothylacynus	extinct	15.97	23.03
Prothylacynus	extinct	15.97	23.03
