Species	Status
Acrocyon	extinct
Acyon	extinct
Anachlysictis	extinct
Andinogale	extinct
Angelocabrerus	extinct
Arctodictis	extinct
Argyrolestes	extinct
Arminiheringia	extinct
Australogale	extinct
Australohyaena	extinct
Borhyaena	extinct
Borhyaenidium	extinct
Callistoe	extinct
Chasicostylus	extinct
Chlorocyon	extinct
Cladosictis	extinct
Contrerascynus	extinct
Dukecynus	extinct
Eomakhaira	extinct
Fredszalaya	extinct
Lycopsis	extinct
Nemolestes	extinct
Notictis	extinct
Notocynus	extinct
Notogale	extinct
Paraborhyaena	extinct
Patagosmilus	extinct
Patene	extinct
Perathereutes	extinct
Pharsophorus	extinct
Plesiofelis	extinct
Proborhyaena	extinct
Procladosictis	extinct
Prothylacynus	extinct
Pseudolycopsis	extinct
Pseudonotictis	extinct
Pseudothylacynus	extinct
Sallacyon	extinct
Sipalocyon	extinct
Stylocynus	extinct
Thylacosmilus	extinct
