Species	Status	MinT	MaxT
Neodolodus	extinct	11.8	13.8
Neodolodus	extinct	11.8	13.8
Neodolodus	extinct	11.8	13.8
Prothoatherium	extinct	11.8	13.8
Neodolodus	extinct	11.8	13.8
Neodolodus	extinct	11.8	13.8
Proargyrolagus	extinct	21	29
Cozzuoliphyseter	extinct	5.333	7.246
Metaxytherium	extinct	11.608	23.03
Roberthoffstetteria	extinct	61.6	66
Xenocardia	extinct	9	10
Phugatherium	extinct	4	6.8
Phugatherium	extinct	7.246	11.62
Chironectes	extant	7.246	11.62
Leopardus	extant	2.588	3.6
Aotus	extant	11.8	13.8
Nanoastegotherium	extinct	11.8	13.8
Proeuphractus	extinct	11.62	13.82
Nanoastegotherium	extinct	11.8	13.8
Anadasypus	extinct	11.8	13.8
Anadasypus	extinct	11.8	13.8
Anadasypus	extinct	11.8	13.8
Anadasypus	extinct	11.8	13.8
Pedrolypeutes	extinct	11.608	15.97
Pedrolypeutes	extinct	11.8	13.8
Pedrolypeutes	extinct	11.8	13.8
Pedrolypeutes	extinct	11.8	13.8
Boreostemma	extinct	11.8	13.8
Pedrolypeutes	extinct	11.8	13.8
Pedrolypeutes	extinct	11.8	13.8
Neoglyptatelus	extinct	11.8	13.8
Neoglyptatelus	extinct	10	13.8
Neoglyptatelus	extinct	11.8	13.8
Neoglyptatelus	extinct	11.8	13.8
Neoglyptatelus	extinct	11.8	13.8
Boreostemma	extinct	11.8	13.8
Boreostemma	extinct	11.8	13.8
Boreostemma	extinct	11.8	13.8
Boreostemma	extinct	11.608	15.97
Indalecia	extinct	41.3	47.8
Cardiatherium	extinct	6.8	9
Patene	extinct	38	41.3
Carodnia	extinct	47.8	56
Carodnia	extinct	47.8	56
Polydolops	extinct	55.8	57
Ernestokokenia	extinct	55.8	57
Amphidolops	extinct	61.6	66
Wainka	extinct	61.6	66
Didelphis	extant	3	4
Didelphis	extant	3	4
Didelphis	extant	3	4
Didelphis	extant	3	4
Marmosa	extant	3	4
Lutreolina	extant	3	4
Lutreolina	extant	3	4
Thylophorops	extinct	3	4
Thylophorops	extinct	3	4
Thylophorops	extinct	3	4
Thylophorops	extinct	3	4
Thylophorops	extinct	3	4
Gashternia	extinct	55.8	57
Ernestokokenia	extinct	55.8	57
Henricosbornia	extinct	55.8	57
Henricosbornia	extinct	55.8	57
Kibenikhoria	extinct	55.8	57
Trigonostylops	extinct	55.8	57
Isotemnus	extinct	55.8	57
Isotemnus	extinct	55.8	57
Kibenikhoria	extinct	55.8	57
Notogale	extinct	21	29
Pharsophorus	extinct	21	29
Proborhyaena	extinct	21	29
Polydolops	extinct	21	29
Notogale	extinct	21	29
Pharsophorus	extinct	21	29
Palaeothentes	extinct	21	29
Glyptatelus	extinct	21	29
Eoviscaccia	extinct	21	29
Cephalomyopsis	extinct	21	29
Trachytherus	extinct	21	29
Prohegetotherium	extinct	21	29
Prepidolops	extinct	47.8	56
Bonapartherium	extinct	47.8	56
Sylvilagus	extant	0	0.0117
Heteromys	extant	0	0.0117
Sigmodon	extant	0	0.0117
Pecari	extant	0	0.0117
Leopardus	extant	0	0.0117
Puma	extant	0	0.0117
Conepatus	extant	0	0.0117
Eira	extant	0	0.0117
Galictis	extant	0	0.0117
Procyon	extant	0	0.0117
Saccopteryx	extant	0	0.0117
Saccopteryx	extant	0	0.0117
Saccopteryx	extant	0	0.0117
Eumops	extant	0	0.0117
Eumops	extant	0	0.0117
Molossops	extant	0	0.0117
Molossus	extant	0	0.0117
Artibeus (Artibeus)	extant	0	0.0117
Carollia	extant	0	0.0117
Desmodus	extant	0	0.0117
Glossophaga	extant	0	0.0117
Glossophaga	extant	0	0.0117
Micronycteris	extant	0	0.0117
Mimon	extant	0	0.0117
Phyllostomus	extant	0	0.0117
Phyllostomus	extant	0	0.0117
Sturnira	extant	0	0.0117
Sturnira	extant	0	0.0117
Trachops	extant	0	0.0117
Uroderma	extant	0	0.0117
Eptesicus	extant	0	0.0117
Lasiurus	extant	0	0.0117
Myotis	extant	0	0.0117
Rhogeessa	extant	0	0.0117
Alouatta	extant	0	0.0117
Cuniculus	extant	0	0.0117
Rhynchonycteris	extant	0	0.0117
Noctilio	extant	0	0.0117
Noctilio	extant	0	0.0117
Micronycteris	extant	0	0.0117
Micronycteris	extant	0	0.0117
Tonatia	extinct	0	0.0117
Tonatia	extinct	0	0.0117
Phyllostomus	extant	0	0.0117
Myotis	extant	0	0.0117
Molossops	extant	0	0.0117
Molossus	extant	0	0.0117
Eumops	extant	0	0.0117
Eumops	extant	0	0.0117
Eumops	extant	0	0.0117
Cebus	extant	0	0.0117
Cerdocyon	extant	0	0.0117
Sciurus	extant	0	0.0117
Oryzomys	extant	0	0.0117
Zygodontomys	extant	0	0.0117
Coendou	extant	0	0.0117
Echimys	extinct	0	0.0117
Dasyprocta	extant	0	0.0117
Hydrochoerus	extant	0	0.0117
Odocoileus	extant	0	0.0117
Lasiurus	extant	0	0.0117
Choloepus	extant	0	0.0117
Dasyprocta	extant	0	0.0117
Myoprocta	extant	0	0.0117
Pecari	extant	0	0.0117
Speothos	extant	0	0.0117
Eira	extant	0	0.0117
Lontra	extant	0	0.0117
Nasua	extant	0	0.0117
Potos	extant	0	0.0117
Caluromys	extant	0	0.0117
Caluromys	extant	0	0.0117
Didelphis	extant	0	0.0117
Marmosa	extant	0	0.0117
Marmosa	extant	0	0.0117
Monodelphis	extant	0	0.0117
Marmosa	extant	0	0.0117
Metachirus	extant	0	0.0117
Tapirus	extant	0	0.0117
Alouatta	extant	0	0.0117
Ateles	extant	0	0.0117
Sapajus	extant	0	0.0117
Chiropotes	extant	0	0.0117
Pithecia	extant	0	0.0117
Saguinus	extant	0	0.0117
Mesomys	extant	0	0.0117
Isothrix	extant	0	0.0117
Proechimys	extant	0	0.0117
Cuniculus	extant	0	0.0117
Proechimys	extant	0	0.0117
Dasypus (Dasypus)	extant	0	0.0117
Tamandua	extant	0	0.0117
Myrmecophaga	extant	0	0.0117
Oryzomys	extant	0	0.0117
Coendou	extant	0	0.0117
Philander	extant	0	0.0117
Bradypus	extant	0	0.0117
Cyclopes	extant	0	0.0117
Priodontes	extant	0	0.0117
Dasypus (Hyperoambon)	extant	0	0.0117
Sciurus	extant	0	0.0117
Oryzomys	extant	0	0.0117
Oryzomys	extant	0	0.0117
Oryzomys	extant	0	0.0117
Neacomys	extant	0	0.0117
Rhipidomys	extant	0	0.0117
Tayassu	extant	0	0.0117
Mazama	extant	0	0.0117
Cervus	extinct	0	0.0117
Puma	extant	0	0.0117
Panthera	extant	0	0.0117
Pecari	extant	0	0.0117
Leopardus	extant	0	0.0117
Puma	extant	0	0.0117
Eira	extant	0	0.0117
Galictis	extant	0	0.0117
Lontra	extant	0	0.0117
Pteronura	extant	0	0.0117
Bassaricyon	extant	0	0.0117
Nasua	extant	0	0.0117
Potos	extant	0	0.0117
Sylvilagus	extant	0	0.0117
Caluromys	extant	0	0.0117
Didelphis	extant	0	0.0117
Philander	extant	0	0.0117
Metachirus	extant	0	0.0117
Tapirus	extant	0	0.0117
Choloepus	extant	0	0.0117
Alouatta	extant	0	0.0117
Aotus	extant	0	0.0117
Ateles	extant	0	0.0117
Plecturocebus	extant	0	0.0117
Cebus	extant	0	0.0117
Sapajus	extant	0	0.0117
Lagothrix	extant	0	0.0117
Saguinus	extant	0	0.0117
Saguinus	extant	0	0.0117
Saimiri	extant	0	0.0117
Callimico	extant	0	0.0117
Mesomys	extant	0	0.0117
Dasyprocta	extant	0	0.0117
Dactylomys	extant	0	0.0117
Proechimys	extant	0	0.0117
Oecomys	extant	0	0.0117
Oligoryzomys	extant	0	0.0117
Sciurus	extant	0	0.0117
Cuniculus	extant	0	0.0117
Myoprocta	extant	0	0.0117
Nectomys	extant	0	0.0117
Sciurus	extant	0	0.0117
Oryzomys	extant	0	0.0117
Proechimys	extant	0	0.0117
Dasypus (Dasypus)	extant	0	0.0117
Tamandua	extant	0	0.0117
Myrmecophaga	extant	0	0.0117
Coendou	extant	0	0.0117
Hydrochoerus	extant	0	0.0117
Cyclopes	extant	0	0.0117
Priodontes	extant	0	0.0117
Oryzomys	extant	0	0.0117
Oryzomys	extant	0	0.0117
Tayassu	extant	0	0.0117
Mazama	extant	0	0.0117
Cervus	extinct	0	0.0117
Micoureus	extant	0	0.0117
Marmosops	extinct	0	0.0117
Caluromysiops	extant	0	0.0117
Bradypus	extant	0	0.0117
Sciurus	extant	0	0.0117
Oecomys	extant	0	0.0117
Rhipidomys	extant	0	0.0117
Proechimys	extant	0	0.0117
Procyon	extant	0	0.0117
Cebuella	extant	0	0.0117
Dinomys	extant	0	0.0117
Puma	extant	0	0.0117
Panthera	extant	0	0.0117
Notiomastodon	extinct	0.0117	2.588
Dasypus	extant	0.0117	2.588
Cuvieronius	extinct	0.0117	2.588
Didelphis	extant	0	0.0117
Marmosa	extant	0	0.0117
Dasypus (Dasypus)	extant	0	0.0117
Tamandua	extant	0	0.0117
Myrmecophaga	extant	0	0.0117
Puma	extant	0	0.0117
Eomorphippus	extinct	42	48
Groeberia	extinct	36	42
Mesotherium	extinct	0.781	1.2
Leontinia	extinct	21	29
Hippidion	extinct	0.0117	2.588
Glyptodon	extinct	0.0117	2.588
Panochthus	extinct	0.0117	2.588
Toxodon	extinct	0.0117	0.126
Lestodon	extinct	0.0117	0.126
Megatherium	extinct	0.0117	0.126
Glyptodon	extinct	0.0117	0.126
Neoglyptatelus	extinct	11.8	13.8
Nanoastegotherium	extinct	11.8	13.8
Anadasypus	extinct	11.8	13.8
Eohyrax	extinct	42	48
Archaeohyrax	extinct	42	48
Periphragnis	extinct	42	48
Propyrotherium	extinct	42	48
Arctodictis	extinct	13.8	15.5
Reigitherium	extinct	66	72.1
Vincelestes	extinct	122.46	129.4
Mesotherium	extinct	0.781	1.2
Palaeolama	extinct	0.781	1.2
Eutatus	extinct	0.781	1.2
Neosclerocalyptus	extinct	0.781	1.2
Ctenomys	extant	0.012	0.781
Scelidotherium	extinct	0.012	0.781
Macrauchenia	extinct	0.012	0.781
Equus	extant	0.012	0.781
Megatherium	extinct	0.012	0.781
Prozaedyus	extinct	11.8	13.8
Propalaehoplophorus	extinct	11.8	13.8
Hapalops	extinct	11.8	13.8
Xenastrapotherium	extinct	11.8	13.8
Periphragnis	extinct	28.4	33.9
Chilestylops	extinct	28.4	33.9
Klohnia	extinct	28.4	33.9
Parutaetus	extinct	28.4	33.9
Bryanpattersonia	extinct	28.4	33.9
Pseudhyrax	extinct	28.4	33.9
Eomorphippus	extinct	28.4	33.9
Klohnia	extinct	28.4	33.9
Pseudoglyptodon	extinct	28.4	33.9
Santiagorothia	extinct	28.4	33.9
Protarchaeohyrax	extinct	28.4	33.9
Rhyphodon	extinct	28.4	33.9
Hondonadia	extinct	28.4	33.9
Trigonolophodon	extinct	28.4	33.9
Eomorphippus	extinct	28.4	33.9
Rosendo	extinct	28.4	33.9
Andemys	extinct	28.4	33.9
Archaeotypotherium	extinct	28.4	33.9
Pseudhyrax	extinct	28.4	33.9
Pseudhyrax	extinct	28.4	33.9
Archaeotypotherium	extinct	28.4	33.9
Pseudhyrax	extinct	28.4	33.9
Santiagorothia	extinct	28.4	33.9
Santiagorothia	extinct	28.4	33.9
Santiagorothia	extinct	28.4	33.9
Santiagorothia	extinct	28.4	33.9
Proargyrohyrax	extinct	28.4	33.9
Eopachyrucos	extinct	28.4	33.9
Eopachyrucos	extinct	28.4	33.9
Eopachyrucos	extinct	28.4	33.9
Bryanpattersonia	extinct	28.4	33.9
Protarchaeohyrax	extinct	28.4	33.9
Eomorphippus	extinct	28.4	33.9
Rosendo	extinct	28.4	33.9
Archaeotypotherium	extinct	28.4	33.9
Archaeotypotherium	extinct	28.4	33.9
Archaeotypotherium	extinct	28.4	33.9
Archaeotypotherium	extinct	23.03	33.9
Archaeotypotherium	extinct	23.03	56
Pseudhyrax	extinct	42	48
Pseudhyrax	extinct	42	48
Ernestokokenia	extinct	48	55.8
Coona	extinct	48	55.8
Coona	extinct	48	55.8
Satshatemnus	extinct	55.8	58.7
Punadolops	extinct	33.9	38
Bonapartherium	extinct	33.9	38
Callistoe	extinct	33.9	38
Ernestokokenia	extinct	33.9	38
Propyrotherium	extinct	33.9	38
Pampahippus	extinct	33.9	38
Suniodon	extinct	33.9	38
Colbertia	extinct	33.9	38
Punapithecus	extinct	33.9	38
Punahyrax	extinct	33.9	38
Colbertia	extinct	41.3	47.8
Pampahippus	extinct	41.3	47.8
Pampahippus	extinct	41.3	56
Prosqualodon	extinct	15.97	20.44
Sparnotheriodon	extinct	41.3	47.8
Albertogaudrya	extinct	47.8	56
Austrotriconodon	extinct	66	83.5
Mesungulatum	extinct	66	83.5
Groebertherium	extinct	66	83.5
Groebertherium	extinct	66	83.5
Ferugliotherium	extinct	66	83.5
Gondwanatherium	extinct	66	83.5
Ninoziphius	extinct	5.333	7.246
Piscolithax	extinct	5.333	7.246
Pliopontos	extinct	5.333	7.246
Odobenocetops	extinct	5.333	7.246
Incacetus	extinct	15.97	20.44
Scaphokogia	extinct	7.246	11.62
Australithax	extinct	7.246	11.62
Brachydelphis	extinct	5.333	11.608
Atocetus	extinct	5.333	11.608
Belonodelphis	extinct	5.333	11.608
Kentriodon	extinct	15.97	20.44
Kentriodon	extinct	15.97	20.44
Prosqualodon	extinct	20.44	23.03
Notocetus	extinct	20.44	23.03
Kentriodon	extinct	20.44	23.03
Delphinus	extant	5.333	11.62
Diaphorocetus	extinct	15.97	20.44
Notocetus	extinct	15.97	20.44
Preaulophyseter	extinct	5.333	28.4
Protororqualus	extinct	15.97	23.03
Morenocetus	extant	15.97	23.03
Piscobalaena	extinct	5.333	7.246
Hemisyntrachelus	extant	5.333	7.246
Thomashuxleya	extinct	48	55.8
Thomashuxleya	extinct	48	55.8
Pleurostylodon	extinct	48	55.8
Henricosbornia	extinct	48.6	55.8
Trigonostylops	extinct	48.6	55.8
Notogale	extinct	21	29
Proborhyaena	extinct	21	29
Pilchenia	extinct	21	29
Carlothentes	extinct	21	29
Acdestoides	extinct	21	29
Parabderites	extinct	21	29
Proborhyaena	extinct	23.03	28.1
Peltephilus	extinct	23.03	28.1
Platypittamys	extinct	23.03	28.1
Rhynchippus	extinct	23.03	28.1
Scarrittia	extinct	23.03	28.1
Archaeohyrax	extinct	21	29
Rhynchippus	extinct	21	29
Prosotherium	extinct	21	29
Prosotherium	extinct	21	29
Rhynchippus	extinct	21	29
Prohegetotherium	extinct	21	29
Rhynchippus	extinct	23.03	56
Notostylops	extinct	23.03	56
Pleurostylodon	extinct	23.03	56
Bryanpattersonia	extinct	23.03	56
Amphidolops	extinct	48	55.8
Polydolops	extinct	48	55.8
Trigonostylops	extinct	48	55.8
Notostylops	extinct	48	55.8
Pleurostylodon	extinct	48	55.8
Pleurostylodon	extinct	48	55.8
Caroloameghinia	extinct	38	41.3
Arminiheringia	extinct	38	41.3
Amphidolops	extinct	38	41.3
Polydolops	extinct	38	41.3
Trigonostylops	extinct	38	41.3
Notopithecus	extinct	38	41.3
Notopithecus	extinct	38	41.3
Isotemnus	extinct	38	41.3
Pleurostylodon	extinct	38	41.3
Periphragnis	extinct	38	41.3
Notostylops	extinct	38	41.3
Notostylops	extinct	38	41.3
Antepithecus	extinct	38	41.3
Albertogaudrya	extinct	38	41.3
Oldfieldthomasia	extinct	38	41.3
Bryanpattersonia	extinct	42	48
Oldfieldthomasia	extinct	38	41.3
Albertogaudrya	extinct	38	41.3
Notopithecus	extinct	38	41.3
Lestodon	extinct	0.0117	2.588
Notostylops	extinct	48	55.8
Trigonostylops	extinct	48	55.8
Notopithecus	extinct	48	55.8
Leontinia	extinct	21	29
Leontinia	extinct	21	29
Pyrotherium	extinct	21	29
Astrapotherium	extinct	21	29
Leontinia	extinct	21	29
Homalodontotherium	extinct	21	29
Trimerostephanos	extinct	21	29
Nesodon	extinct	21	29
Coresodon	extinct	21	29
Deuterotherium	extinct	21	29
Hegetotherium	extinct	21	29
Octodontotherium	extinct	21	29
Prohegetotherium	extinct	21	29
Prosotherium	extinct	21	29
Prosotherium	extinct	21	29
Trachytherus	extinct	21	29
Trachytherus	extinct	21	29
Trachytherus	extinct	21	29
Medistylus	extinct	21	29
Argyrohyrax	extinct	21	29
Argyrohyrax	extinct	21	29
Pyrotherium	extinct	21	29
Protheosodon	extinct	21	29
Notodiaphorus	extinct	21	29
Cephalomys	extinct	21	29
Rhynchippus	extinct	21	29
Cephalomys	extinct	21	29
Leontinia	extinct	21	29
Cephalomys	extinct	21	29
Proadinotherium	extinct	21	29
Coresodon	extinct	21	29
Protosteiromys	extinct	21	29
Asmodeus	extinct	21	29
Scotamys	extinct	21	29
Parastrapotherium	extinct	21	29
Litodontomys	extinct	21	29
Meteutatus	extinct	21	29
Prozaedyus	extinct	21	29
Prozaedyus	extinct	21	29
Proeuphractus	extinct	21	29
Peltephilus	extinct	21	29
Palaeopeltis	extinct	21	29
Pilchenia	extinct	21	29
Carlothentes	extinct	21	29
Deuterotherium	extinct	21	29
Pharsophorus	extinct	21	29
Notogale	extinct	21	29
Tricoelodus	extinct	21	29
Proadiantus	extinct	21	29
Archaeohyrax	extinct	21	29
Peradectes	extinct	47.8	59.2
Perutherium	extinct	47.8	59.2
Balaena	extinct	0.781	1.806
Notiocetus	extinct	0.781	1.806
Lomacetus	extinct	7.246	11.62
Brachydelphis	extinct	7.246	11.62
Ischyrorhynchus	extant	7.246	11.62
Saurocetes	extinct	7.246	11.62
Prosqualodon	extinct	20.44	23.03
Saurocetes	extinct	7.246	11.62
Idiorophus	extinct	15.97	20.44
Pontoporia	extant	0.781	1.806
Palangania	extinct	55.8	57
Florentinoameghinia	extinct	41.3	47.8
Hydrochoerus	extant	2.588	3.6
Lagostomus (Lagostomopsis)	extant	2.588	3.6
Oxyodontherium	extinct	2.588	3.6
Tapirus (Tapiralum)	extant	2.588	3.6
Hippidion	extinct	2.588	3.6
Antifer	extinct	2.588	3.6
Glyptodon	extinct	2.588	3.6
Megatherium	extinct	2.588	3.6
Scelidodon	extinct	2.588	3.6
Hydrochoeropsis	extinct	2.588	3.6
Eumegamys	extinct	2.588	3.6
Cardiomys	extinct	2.588	3.6
Myocastor	extant	2.588	3.6
Macrauchenia	extinct	2.588	3.6
Hippidion	extinct	2.588	3.6
Panochthus	extinct	2.588	3.6
Pontistes	extinct	7.246	11.62
Toxodon	extinct	7.246	11.62
Scalabrinitherium	extinct	7.246	11.62
Proterotherium	extinct	7.246	11.62
Eubalaena	extant	0	0.0117
Megaptera	extant	0.0117	0.126
Globicephala	extant	3.6	11.608
Eubalaena	extant	0.0117	0.126
Balaenoptera	extant	0.0117	0.126
Brachydelphis	extinct	5.333	7.246
Macrochorobates	extinct	6.8	9
Proeuphractus	extinct	6.8	9
Proeuphractus	extinct	6.8	9
Chaetophractus	extant	6.8	9
Eosclerocalyptus	extinct	6.8	9
Neophanomys	extinct	6.8	9
Lagostomus	extant	6.8	9
Orthomyctera	extinct	6.8	9
Potamarchus	extinct	6.8	9
Protypotherium	extinct	6.8	9
Hemihegetotherium	extinct	6.8	9
Tremacyllus	extinct	6.8	9
Pontistes	extinct	11.62	13.82
Balaenoptera	extant	11.62	13.82
Dioplotherium	extinct	11.62	13.82
Properiptychus	extinct	11.62	13.82
Adinotherium	extinct	6.8	9
Berroia	extinct	6.8	9
Xotodon	extinct	6.8	9
Xotodon	extinct	6.8	9
Eutomodus	extinct	6.8	9
Stenotephanos	extinct	6.8	9
Toxodontherium	extinct	6.8	9
Haplodontherium	extinct	6.8	9
Toxodontherium	extinct	6.8	9
Toxodontherium	extinct	6.8	9
Ischyrorhynchus	extant	7.246	11.62
Megaptera	extant	3.6	5.333
Saurocetes	extinct	6.8	9
Odobenocetops	extinct	5.333	11.62
Odobenocetops	extinct	5.333	7.246
Acrophoca	extinct	5.333	7.246
Piscophoca	extinct	5.333	7.246
Balaenoptera	extant	7.246	11.62
Balaenoptera	extant	5.333	11.62
Ribodon	extinct	7.246	11.62
Dioplotherium	extinct	11.62	15.97
Potamosiren	extinct	11.8	13.8
Prohegetotherium	extinct	21	29
Sallatherium	extinct	21	29
Kawas	extinct	7.246	11.62
Thalassocnus	extinct	7.246	11.62
Acrophoca	extinct	7.246	11.62
Piscolithax	extinct	7.246	11.62
Acrophoca	extinct	5.333	7.246
Piscolithax	extinct	5.333	7.246
Acrophoca	extinct	5.333	11.62
Piscophoca	extinct	5.333	11.62
Piscolithax	extinct	5.333	11.62
Stenella	extant	5.333	11.62
Hydrarctos	extinct	5.333	11.62
Galileomys	extinct	15.97	20.44
Prostichomys	extinct	15.97	20.44
Eosteiromys	extinct	15.97	20.44
Steiromys	extinct	15.97	20.44
Branisamyopsis	extinct	15.97	20.44
Perimys	extinct	15.97	20.44
Galileomys	extinct	15.97	20.44
Prostichomys	extinct	15.97	20.44
Eosteiromys	extinct	15.97	20.44
Branisamyopsis	extinct	15.97	20.44
Galileomys	extinct	15.97	20.44
Prostichomys	extinct	15.97	20.44
Acarechimys	extinct	15.97	20.44
Eosteiromys	extinct	15.97	20.44
Eosteiromys	extinct	15.97	20.44
Steiromys	extinct	15.97	20.44
Branisamyopsis	extinct	15.97	20.44
Galileomys	extinct	15.97	20.44
Prostichomys	extinct	15.97	20.44
Eosteiromys	extinct	15.97	20.44
Eosteiromys	extinct	15.97	20.44
Steiromys	extinct	15.97	20.44
Branisamyopsis	extinct	15.97	20.44
Galileomys	extinct	15.97	20.44
Prostichomys	extinct	15.97	20.44
Eosteiromys	extinct	15.97	20.44
Steiromys	extinct	15.97	20.44
Steiromys	extinct	15.97	20.44
Branisamyopsis	extinct	15.97	20.44
Galileomys	extinct	15.97	20.44
Prostichomys	extinct	15.97	20.44
Eosteiromys	extinct	15.97	20.44
Steiromys	extinct	15.97	20.44
Steiromys	extinct	15.97	20.44
Branisamyopsis	extinct	15.97	20.44
Galileomys	extinct	15.97	20.44
Prostichomys	extinct	15.97	20.44
Stichomys	extinct	15.97	20.44
Spaniomys	extinct	15.97	20.44
Eosteiromys	extinct	15.97	20.44
Steiromys	extinct	15.97	20.44
Steiromys	extinct	15.97	20.44
Branisamyopsis	extinct	15.97	20.44
Acaremys	extinct	16.3	17.5
Stichomys	extinct	16.3	17.5
Spaniomys	extinct	16.3	17.5
Acarechimys	extinct	16.3	17.5
Branisamyopsis	extinct	16.3	17.5
Acaremys	extinct	16.3	17.5
Adelphomys	extinct	16.3	17.5
Spaniomys	extinct	16.3	17.5
Acarechimys	extinct	16.3	17.5
Acaremys	extinct	16.3	17.5
Stichomys	extinct	16.3	17.5
Adelphomys	extinct	16.3	17.5
Spaniomys	extinct	16.3	17.5
Acarechimys	extinct	16.3	17.5
Stichomys	extinct	16.3	17.5
Prostichomys	extinct	15.97	20.44
Eosteiromys	extinct	15.97	20.44
Branisamyopsis	extinct	15.97	20.44
Steiromys	extinct	16.3	17.5
Perimys	extinct	15.97	20.44
Perimys	extinct	15.97	20.44
Perimys	extinct	15.97	20.44
Perimys	extinct	15.97	20.44
Perimys	extinct	15.97	20.44
Perimys	extinct	15.97	20.44
Prolagostomus	extinct	15.97	20.44
Perimys	extinct	15.97	20.44
Perimys	extinct	16.3	17.5
Perimys	extinct	16.3	17.5
Prolagostomus	extinct	16.3	17.5
Perimys	extinct	16.3	17.5
Prolagostomus	extinct	16.3	17.5
Perimys	extinct	16.3	17.5
Perimys	extinct	16.3	17.5
Picturotherium	extinct	15.97	20.44
Tetramerorhinus	extinct	15.97	20.44
