Species	Status	MinT	MaxT
Abderites	extinct	17.5	21
Abderites	extinct	11.63	15.97
Abderites	extinct	16.3	17.5
Abderites	extinct	16.3	17.5
Abderites	extinct	16.3	17.5
Abderites	extinct	15.5	16.3
Abderites	extinct	16.3	17.5
Abderites	extinct	16.3	17.5
Abderites	extinct	17.5	21
Abderites	extinct	23.03	28.4
Pitheculites	extinct	15.5	16.3
Pitheculites	extinct	12.5	13.5
Pitheculites	extinct	15.5	16.3
Pitheculites	extinct	17.5	21
Abrocoma	extinct	6.8	9
Abrocoma	extinct	6.8	9
Abrocoma	extinct	7.14	7.7
Abrocoma	extinct	6.8	9
Abrocoma	extinct	7.14	8
Abrocoma	extinct	0.0117	0.129
Abrocoma	extinct	0.0117	0.129
Abrocoma	extinct	0.0117	0.129
Ameghinomys	extinct	16.3	17.5
Ameghinomys	extinct	16.3	17.5
Ameghinomys	extinct	16.3	17.5
Ameghinomys	extinct	16.3	17.5
Ameghinomys	extinct	16.3	17.5
Ameghinomys	extinct	16.3	17.5
Ameghinomys	extinct	16.3	17.5
Ameghinomys	extinct	16.3	17.5
Ameghinomys	extinct	16.3	17.5
Protabrocoma	extinct	6.8	9
Protabrocoma	extinct	6.8	9
Protabrocoma	extinct	4.3	4.3001
Protabrocoma	extinct	2.588	5.332
Protabrocoma	extinct	7.246	11.63
Protabrocoma	extinct	5.332	11.63
Acaremys	extinct	16.3	17.5
Acaremys	extinct	16.3	17.5
Acaremys	extinct	16.3	17.5
Acaremys	extinct	16.3	17.5
Acaremys	extinct	16.3	17.5
Acaremys	extinct	17.5	21
Acaremys	extinct	15.97	23.03
Acaremys	extinct	15.97	23.03
Acaremys	extinct	15.97	23.03
Acaremys	extinct	15.97	23.03
Acaremys	extinct	16.3	17.5
Acaremys	extinct	16.3	17.5
Acaremys	extinct	16.3	17.5
Acaremys	extinct	16.3	17.5
Acaremys	extinct	16.3	17.5
Acaremys	extinct	16.3	17.5
Acaremys	extinct	17.5	21
Acaremys	extinct	17.5	21
Acaremys	extinct	16.3	17.5
Acaremys	extinct	16.3	17.5
Acaremys	extinct	16.3	17.5
Acaremys	extinct	16.3	17.5
Acaremys	extinct	16.3	17.5
Changquin	extinct	21	29
Galileomys	extinct	17.5	21
Galileomys	extinct	17.5	21
Galileomys	extinct	21	29
Galileomys	extinct	13.8	15.5
