order;family;genus;accepted_name;status;gen_lvl_status;cc;state;locality;formation;period;epoch;Sub_epoch;stage;min_ma;max_ma;collection_no;authorizer;primary_reference
;;Austropediomys;Austropediomys_marshalli;extinct;extinct;Brazil;Rio de Janeiro;ItaboraÌ;;Paleogene;Eocene;Early Eocene;Early Eocene;47.8;56;118314;P. Mannion;L. M. Carneiro, E. V. Oliveira, and F. J. Goin. 2018. Austropediomys marshalli gen. et sp. nov., a new Pediomyoidea (Mammalia, Metatheria) from the Paleogene of Brazil: paleobiogeographic implications. Revista Brasileira de Paleontologia 21(2):120-131
;;Chulpasia;Chulpasia_mattaueri;extinct;extinct;Peru;Puno;;;Paleogene;Eocene;Thanetian-Ypresian;Thanetian-Ypresian;47.8;59.2;132938;P. Mannion;J.-Y. Crochet and B. SigÈ. 1993. Les mammifËres de Chulpas (Formation Umayo, Transition CrÈtacÈ-Tertiaire, PÈrou): donnÈes prÈliminaires. Documents des Laboratoires de GÈologie de Lyon 125:97-107
;;Eutrochodon;Eutrochodon_inceptus;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Late Eocene;Mustersan;33.9;37.71;176290;J. Zijlstra;S. Roth. 1904. Noticias preliminares sobre nuevos mamÌferos fÛsiles del Cret·ceo superior y Terciario inferior de la Patagonia. Revista del Museo de la Plata 11:135-158
;;Fieratherium;Fieratherium_sorex;extinct;extinct;Argentina;Mendoza;Malarg¸e;;Paleogene;Oligocene;Late Oligocene;Deseadan;23.03;27.82;176466;J. Zijlstra;A. M. Forasiepi, F. J. Goin, and M. A. Abello, E. CerdeÒo. 2014. A unique, Late Oligocene shrew-like marsupial from western Argentina and the evolution of dental morphology. Journal of Systematic Palaeontology 12(5):549-564
;;Florentinoameghinia;Florentinoameghinia_mystica;extinct;extinct;Argentina;Chubut;Escalante;;Paleogene;Eocene;Lutetian;Lutetian;41.3;47.8;44956;M. Uhen;G. G. Simpson. 1967. The beginning of the age of mammals in South America. Part II. Bulletin of the American Museum of Natural History 137:1-260
;;Florentinoameghinia;Florentinoameghinia_mystica;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Middle Eocene;Middle Eocene;37.71;47.8;48176;M. Uhen;G. G. Simpson. 1932. The supposed association of dinosaurs with mammals of Tertiary type in Patagonia. American Museum Novitates 566:1-21
;;Groeberia;Groeberia_minoprioi;extinct;extinct;Argentina;Mendoza;;;Paleogene;Eocene;Late Eocene-Early Oligocene;Late Eocene-Early Oligocene;27.82;37.71;92669;J. Zijlstra;G. G. Simpson, J. L. Minoprio, and B. Patterson. 1962. The mammalian fauna of the Divisadero Largo Formation, Mendoza, Argentina. Bulletin of the Museum of Comparative Zoology 127(4):239-293
;;Groeberia;Groeberia_pattersoni;extinct;extinct;Argentina;Mendoza;;;Paleogene;Eocene;Middle Eocene;Middle Eocene;37.71;47.8;27906;J. Alroy;G. G. Simpson. 1970. Addition to the knowledge of Groeberia (Mammalia, Marsupialia) from the mid-Cenozoic of Argentina. Breviora 362:1-17
;;Groeberia;Groeberia_pattersoni;extinct;extinct;Argentina;Mendoza;;;Paleogene;Eocene;Middle Eocene;Middle Eocene;37.71;47.8;92669;J. Zijlstra;G. M. LÛpez. 2010. Divisaderan: Land Mammal Age or local fauna?.  In R. H. Madden, A. A. Carlini, M. G. Vucetich, R. F. Kay (eds.), The Paleontology of Gran Barranca: Evolution and Environmental Change through the Middle Cenozoic of Patagonia. Cambridge University Press.
;;Lophiodolodus;Lophiodolodus_chaparralensis;extinct;extinct;Colombia;Tolima;;;Neogene;Miocene;Early Miocene;Early Miocene;15.97;23.03;133440;C. Jaramillo;R. A. Stirton. 1947. The first lower Oligocene vertebrate fauna from northern South America. CompilaciÛn de los estudios geolÛgicos oficiales en Colombia 7:327-341
;;Marmosopsis;Marmosopsis;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Late Paleocene-Early Eocene;Late Paleocene-Early Eocene;47.8;59.2;133039;J. Zijlstra;M. F. Tejedor, F. J. Goin, and J. N. Gelfo, G. LÛpez, M. Bond, A. A. Carlini, G. J. Scillato-YanÈ, M. O. Woodburne, L. Chornogubsky, E. AragÛn, M. A. Reguero, N. J. Czaplewski, S. Vincon, G. M. Martin, M. R. Ciancio. 2009. New Early Eocene mammalian fauna from western Patagonia, Argentina. American Museum Novitates 3638:1-43
;;Marmosopsis;Marmosopsis;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Ypresian;Ypresian;47.8;56;133040;P. Mannion;E. V. Oliveira and F. J. Goin. 2011. A reassessment of bunodont metatherians from the Paleogene of Itaborai (Brazil): Systematics and the age of the Itaborian SALMA. Revista Brasileira de Paleontologia 14(2):105-136
;;Marmosopsis;Marmosopsis_juradoi;extinct;extinct;Brazil;Rio de Janeiro;Cabucu;;Paleogene;Eocene;Early Eocene;Early Eocene;47.8;56;118314;C. Jaramillo;"C. Paula Couto. 1962. Didelfidos fosiles del Paleoceno de Brasil. Revista del Museo Argentino de Ciencias Naturales ""Bernardino Rivadavia"" 8:135-166"
;;Monodelphopsis;Monodelphopsis;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Ypresian;Ypresian;47.8;56;133040;P. Mannion;E. V. Oliveira and F. J. Goin. 2011. A reassessment of bunodont metatherians from the Paleogene of Itaborai (Brazil): Systematics and the age of the Itaborian SALMA. Revista Brasileira de Paleontologia 14(2):105-136
;;Monodelphopsis;Monodelphopsis_travassosi;extinct;extinct;Brazil;Rio de Janeiro;Cabucu;;Paleogene;Eocene;Early Eocene;Early Eocene;47.8;56;118314;P. Mannion;C. d. Paula Couto. 1952. Fossil mammals from the beginning of the Cenozoic in Brazil. Marsupialia: Didelphidae. American Museum Novitates 1567:1-26
;;Palaeocladosictis;Palaeocladosictis_mosesi;extinct;extinct;Brazil;Rio de Janeiro;Cabucu;;Paleogene;Eocene;Early Eocene;Early Eocene;47.8;56;118314;J. Zijlstra;"L. G. Marshall. 1981. Review of the Hathlyacyninae, an extinct subfamily of South American ""dog-like"" marsupials. Fieldiana Geology 7:1-120"
;;Picunia;Picunia_nitida;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Late Eocene;Mustersan;33.9;37.71;176286;J. Zijlstra;G. G. Simpson. 1967. The beginning of the age of mammals in South America. Part II. Bulletin of the American Museum of Natural History 137:1-260
;;Plagiocoelus;Plagiocoelus_obliquus;extinct;extinct;Argentina;Santa Cruz;;;Neogene;Miocene;Early Miocene;Santacrucian;15.97;23.03;176570;J. Zijlstra;H. G. McDonald, S. F. VizcaÌno, and M. S. Bargo. 2008. Skeletal anatomy and the fossil history of the Vermilingua.  In S. F. VizcaÌno, W. J. Loughry (eds.), The Biology of the Xenarthra. University of Florida Press.
;;Trilobodon;Trilobodon_brancoi;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Late Eocene;Mustersan;33.9;37.71;176289;J. Zijlstra;G. G. Simpson. 1967. The beginning of the age of mammals in South America. Part II. Bulletin of the American Museum of Natural History 137:1-260
;;Trilobodon;Trilobodon_brancoi;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Late Eocene;Mustersan;33.9;37.71;176290;J. Zijlstra;G. G. Simpson. 1967. The beginning of the age of mammals in South America. Part II. Bulletin of the American Museum of Natural History 137:1-260
